회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치,총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,쭈피처,영업투자현금비율,영업재무현금비율,도입기,성숙기,성장기,쇠퇴기,부실판단
주식회사쿱스토어경기동남부,94446,2022,-6.16,-10.41,-5.32,-1.07,88.15,64.66,631.99,381.63,51.1,-6.18,1.35,45.96,13.66,-75.47,-20.02,-3.32,-17.18,-17.51,-3.29,0.26,-0.3799861452995804,14.930902749556385,14.93,60.09,-7.31,-9.0,1.2,6739.62,62.96,571.64,12.64,-26.3,16.07,4.98274267975227,378.1429999999991,19.99,45.51,6.02,5.33,8.87,12.601799999999958,8.0,0.2692001469293586,0.2506141282505944,-0.1983034289442879,1,0,0,0,0.0
지엘에스이(주),99780,2022,5.51,6.66,3.99,7.74,67.1,38.5,263.58,123.3,59.95,-11.16,11.11,22.76,27.5,4.77,1.12,2.02,4.1,4.09,7.4,4.74,-0.0197930875352469,15.448749903176434,15.45,21.59,13.76,6.87,16.39,3376.92,13.16,20.27,25.48,7.94,52.22,0.5163445272297225,6.06,4.35,0.86,0.56,0.55,0.71,2.49,22.0,0.2388265151778685,0.1610744917926571,-0.0948183918829034,1,0,0,0,0.0
주식회사반석모터스,58830,2022,-1.47,-2.66,-1.07,-13.03,58.83,58.83,267.83,160.8,40.3,-18.0,1.13,25.72,27.19,-26.45,-7.2,-91.71,-1.87,-2.23,-28.39,11.3,-0.3721577217273157,-8.648416182847217,-8.65,-25.04,-1.17,2.84,-1.17,627.86,5.12,6.9,62.29,-147.23,-56.16,0.0822716105810432,10.91,0.27,0.11,0.08,0.08,0.11,0.27,17.0,1.2838720238095238,0.841869506423259,-0.4381543063253277,1,0,0,0,0.0
주식회사영일피혁,46020,2022,0.62,0.76,0.23,0.61,176.64,176.64,56.72,56.11,29.57,27.44,19.85,63.24,63.81,10.18,9.15,16.87,3.81,3.38,8.78,1.18,0.0,0.0,7.07,4.97,10.89,16.15,2.84,16112.84,8.95,172.69,24.02,70.23,85.76,0.0,3.44,0.6,7.29,0.54,0.39,1.07,0.6,19.0,0.0575811425172412,0.0228229360680266,-1.0215000416029685,1,0,0,0,0.0
주식회사세종건설,101121,2022,-13.81,-24.86,-9.2,-15.26,146.91,33.94,199.89,197.09,37.02,30.83,1.36,96.55,33.35,-13.54,-5.37,-8.03,-3.01,-3.32,-4.99,2.76,0.0,0.0,22.75,20.88,115.77,114.21,-34.17,270.31,1.11,587.39,1.84,-436.31,-238.07,0.0,36.85,2.8,253.42,0.67,0.66,23.91,0.68,10.0,0.1755855998512096,5.665329685616248,-1.602912394403489,1,0,0,0,0.0
주식회사에치티앤디,52809,2022,-0.19,-0.2,-0.15,-1.39,8.77,8.17,323.11,111.53,73.54,-24.05,0.24,2.31,23.63,0.29,0.07,0.64,2.98,2.94,26.38,25.33,0.0,0.0,9.4,-43.39,11.87,130.82,11.99,4091.8,4.51,4.64,42.27,1.51,82.93,0.0,99.1,3.42,0.12,0.11,0.11,0.12,3.34,24.0,0.2153217085845467,0.0706715579934276,-0.0672726786812845,1,0,0,0,0.0
나우기연주식회사,52779,2022,-1.89,-2.58,-0.87,-1.51,159.94,103.12,85.95,70.87,33.79,22.85,10.69,60.96,53.78,1.95,1.24,1.8,2.58,2.48,4.12,1.54,-0.0112603931697023,9.247506918667792,9.25,9.07,9.53,-0.21,4.89,5550.06,11.7,48.53,20.29,8.89,29.92,0.5766483634007857,3.29,1.48,2.3,0.69,0.6,1.54,0.99,25.0,0.2832811598391161,0.8699434749259943,-1.1703083923154702,1,0,0,0,0.0
(주)오성기업,65069,2022,-3.54,-4.14,-2.78,-2.11,90.72,37.64,363.31,282.17,66.98,-5.65,6.19,55.25,21.58,2.48,0.59,0.4,4.94,4.9,3.41,0.98,-0.1072545961214123,20.686348899953305,20.69,46.75,-1.02,9.76,-2.44,3470.27,9.43,21.71,7.17,5.61,80.32,1.3144191918828307,7.38,5.98,2.99,1.46,1.44,2.92,2.83,23.0,0.0869794941543192,2.7002024673134124,-0.7082802643270535,1,0,0,0,0.0
대흥코리아(주),52815,2022,-10.38,-12.05,-9.86,-7.09,107.17,13.67,1904.98,1789.19,81.8,6.4,1.51,95.64,4.99,13.95,0.75,0.48,1.57,1.57,1.02,0.57,-0.0266187389597956,23.82436883329479,23.82,25.38,-2.6,3.49,8.01,3192.23,19.15,2205.89,13.77,3.49,21.31,1.391082967855707,13.42,10.16,166.4,1.57,1.54,31.47,1.62,32.0,0.3611117688047662,33.593656359579214,-0.9540769412069326,1,0,0,0,0.0
동화건설주식회사,45605,2014,3.82,9.53,2.58,1.67,137.77,134.53,208.57,148.81,27.09,18.21,3.13,66.44,32.41,-63.23,-34.2,-19.15,-25.56,-26.33,-17.41,0.48,-0.7093541692672289,-4.311681489888472,-4.31,-3.99,-4.95,-30.6,-40.17,-4700.39,-20.771,-154.72,-13.44,0.0,0.0,1.5469579832735552,4.51,2.32,8.62,1.79,1.51,4.49,2.28,31.0,0.0664761635745889,1.6438009309627624,-0.6518455972654861,1,0,0,0,0.0
