,회사명,거래소코드,회계년도,부실판단,기업수명주기
0,글로웨이(주),10037,2014,1.0,쇠퇴기
1,청화산업(주),10042,2015,1.0,성장기
2,홍원제지(주),10062,2014,1.0,도입기
3,주식회사전주원파워,10128,2016,1.0,성숙기
4,주식회사리오인더스트리,10145,2018,1.0,도입기
5,(주)광일,10179,2022,1.0,도입기
6,국민일보(주),10185,2014,1.0,도입기
7,(주)남선기공,10199,2018,1.0,도입기
8,(주)대동주택,10211,2014,1.0,쇠퇴기
9,디와이홀딩스(주),10231,2014,1.0,도입기
10,동남산업주식회사,10240,2014,1.0,쇠퇴기
11,(주)디에스아이씨,10253,2014,1.0,도입기
12,주식회사인희,10257,2016,1.0,쇠퇴기
13,동광기연주식회사,10258,2015,1.0,쇠퇴기
14,(주)동양잉크,10259,2019,1.0,성장기
15,우양산업개발주식회사,10263,2014,1.0,성숙기
16,(주)부라다,10293,2017,1.0,성숙기
17,부원공업(주),10300,2014,1.0,쇠퇴기
18,(주)세중아이앤디,10336,2014,1.0,성숙기
19,주식회사승전상사,10353,2020,1.0,성장기
20,신원금속주식회사,10359,2022,1.0,도입기
21,영화기업(주),10384,2016,1.0,성장기
22,월드건설주식회사,10403,2014,1.0,쇠퇴기
23,제일흥업주식회사,10428,2014,1.0,도입기
24,중앙상선주식회사,10434,2014,1.0,성장기
25,아비코테크(주),10442,2014,1.0,성숙기
26,(주)삼화고속,10451,2022,1.0,도입기
27,(주)어나더필,10467,2016,1.0,쇠퇴기
28,(주)바이오빌,10475,2022,1.0,쇠퇴기
29,주식회사하원제약,10476,2016,1.0,성장기
30,주식회사세아에프에스,10484,2021,1.0,쇠퇴기
31,한국홀딩스(주),10493,2015,1.0,성숙기
32,한국트랜스주식회사,10499,2021,1.0,쇠퇴기
33,(주)협화,10502,2014,1.0,도입기
34,현대모직주식회사,10520,2014,1.0,쇠퇴기
35,(주)호텔캐피탈,10529,2021,1.0,도입기
36,효정건설주식회사,10533,2014,1.0,성숙기
37,디에스디엘주식회사,10555,2014,1.0,성장기
38,(주)삼신,10559,2018,1.0,도입기
39,(주)지오닉스,10586,2021,1.0,쇠퇴기
40,주식회사위스코,10615,2018,1.0,쇠퇴기
41,비아이피(주)[구.부일산업(주)],10627,2022,1.0,도입기
42,키스트론(주),10641,2014,1.0,성숙기
43,홍인화학주식회사,10667,2014,1.0,쇠퇴기
44,(주)대전방송,10668,2015,1.0,성숙기
45,주식회사광주방송,10717,2019,1.0,도입기
46,세원건설주식회사,10724,2014,1.0,쇠퇴기
47,주식회사로얄비엔비,10755,2016,1.0,성장기
48,명신섬유공업(주),10759,2016,1.0,도입기
49,주식회사제주국제컨벤션센터,10777,2014,1.0,성숙기
50,(주)비에스이,10782,2014,1.0,도입기
51,부라운피혁(주),10794,2018,1.0,도입기
52,진광이앤씨(주),10801,2014,1.0,쇠퇴기
53,부광산업주식회사,10802,2017,1.0,성장기
54,주식회사대경바스컴,10822,2017,1.0,성장기
55,(주)우리교육,10846,2014,1.0,성숙기
56,주식회사태화정공,10854,2020,1.0,성숙기
57,삼우산기주식회사,10855,2021,1.0,도입기
58,신한중공업주식회사,10859,2015,1.0,도입기
59,화이버텍(주),10871,2014,1.0,도입기
60,정도건설주식회사,10892,2014,1.0,쇠퇴기
61,주식회사후이즈글로벌네트워크,11076,2019,1.0,성숙기
62,(주)넷피아,11098,2016,1.0,성장기
63,(주)지란지교소프트,11107,2016,1.0,쇠퇴기
64,(주)마이크로사이언스테크,11128,2014,1.0,쇠퇴기
65,(주)휴스토리,11138,2020,1.0,쇠퇴기
66,주식회사포앤티,11225,2020,1.0,도입기
67,주식회사이매진,11244,2014,1.0,성장기
68,(주)자스텍,11258,2015,1.0,쇠퇴기
69,(주)패션플러스,11328,2014,1.0,쇠퇴기
70,안국바이오진단(주),11335,2016,1.0,쇠퇴기
71,서림비앤에스(주),11337,2014,1.0,성숙기
72,성진씨앤티(주),11373,2014,1.0,쇠퇴기
73,영진하이테크주식회사,11395,2017,1.0,도입기
74,(주)코리아2000,11397,2014,1.0,쇠퇴기
75,(주)매지링크,11419,2014,1.0,쇠퇴기
76,(주)글라소울,11431,2014,1.0,성숙기
77,주식회사유니텍,11447,2016,1.0,쇠퇴기
78,한림오스람임플란트(주),11543,2016,1.0,도입기
79,주식회사제일테크,11635,2022,1.0,도입기
80,주식회사애니셀,11698,2018,1.0,쇠퇴기
81,주식회사비전홀딩스코퍼레이션,11746,2019,1.0,쇠퇴기
82,아이에스테크놀로지(주),11770,2015,1.0,성장기
83,(주)마프로,11821,2014,1.0,도입기
84,(주)제이테크놀러지,11851,2014,1.0,성숙기
85,유한회사코캄,11858,2018,1.0,도입기
86,주식회사부산극장,11885,2016,1.0,성장기
87,(주)시벨코코리아,11886,2022,1.0,도입기
88,(주)제이앤컴퍼니,11903,2016,1.0,쇠퇴기
89,(주)고산,11910,2017,1.0,도입기
90,창림모아츠(주),11997,2020,1.0,도입기
91,(주)이지시스템,12043,2015,1.0,성숙기
92,아주엠씨엠(주),12046,2022,1.0,도입기
93,월드파워텍(주),12093,2014,1.0,도입기
94,(주)새롬정보시스템,12266,2019,1.0,도입기
95,(주)올메디쿠스,12386,2021,1.0,쇠퇴기
96,갤럭시게이트주식회사,12429,2014,1.0,쇠퇴기
97,(주)네트워크케이블,12550,2022,1.0,도입기
98,(주)프리젠,12603,2019,1.0,도입기
99,(주)코우,12617,2021,1.0,도입기
100,(주)네오슈테른테크놀로지,12629,2014,1.0,쇠퇴기
101,(주)휘라포토닉스,12641,2017,1.0,도입기
102,(주)동일씨앤이,12647,2014,1.0,쇠퇴기
103,(주)에프알제이,12665,2016,1.0,쇠퇴기
104,(주)아세아이엔티,12670,2017,1.0,도입기
105,호남식품주식회사,12794,2014,1.0,쇠퇴기
106,가산토건주식회사,12819,2019,1.0,쇠퇴기
107,(주)가야미디어,12820,2018,1.0,도입기
108,강동수산주식회사,12838,2019,1.0,도입기
109,강원고속주식회사,12851,2022,1.0,성숙기
110,강원여객자동차주식회사,12856,2014,1.0,성숙기
111,(주)벽산엔터프라이즈,12891,2022,1.0,쇠퇴기
112,건화공업(주),12894,2014,1.0,성장기
113,주식회사알멕,12903,2019,1.0,도입기
114,(주)경동,12913,2015,1.0,도입기
115,경동시장주식회사,12915,2017,1.0,성장기
116,경산개발주식회사,12932,2014,1.0,성장기
117,경양석유주식회사,12940,2014,1.0,도입기
118,경오건설주식회사,12941,2014,1.0,쇠퇴기
119,경인실업주식회사,12957,2014,1.0,쇠퇴기
120,(주)경인일보,12960,2017,1.0,도입기
121,경인포장주식회사,12964,2014,1.0,성장기
122,경일석유주식회사,12970,2014,1.0,성장기
123,케이씨더블류(주),12980,2018,1.0,성숙기
124,고려농상(주),13000,2018,1.0,쇠퇴기
125,고려여객자동차주식회사,13015,2014,1.0,성장기
126,고원기술(주),13030,2014,1.0,쇠퇴기
127,에이에프씨주식회사,13036,2014,1.0,도입기
128,광남개발주식회사,13051,2017,1.0,쇠퇴기
129,광주문화방송주식회사,13093,2019,1.0,쇠퇴기
130,에이제이아이씨티주식회사,13172,2019,1.0,성숙기
131,극동수산(주),13181,2014,1.0,쇠퇴기
132,(주)근화씨엔씨,13189,2014,1.0,성숙기
133,(주)글로벌아이엔씨,13193,2016,1.0,쇠퇴기
134,금강기업(주),13197,2021,1.0,성숙기
135,(주)금강B&F,13200,2014,1.0,성숙기
136,(주)진오,13203,2014,1.0,성장기
137,금성수산(주),13223,2017,1.0,쇠퇴기
138,금성제어기주식회사,13225,2021,1.0,도입기
139,금아산업주식회사,13228,2020,1.0,도입기
140,(주)금자탑,13237,2019,1.0,성장기
141,금한냉동주식회사,13244,2022,1.0,쇠퇴기
142,기흥관광개발,13288,2014,1.0,도입기
143,(주)기흥기계,13289,2019,1.0,도입기
144,김포교통주식회사,13297,2014,1.0,성장기
145,주식회사나눅스,13305,2014,1.0,도입기
146,나진산업주식회사,13322,2014,1.0,쇠퇴기
147,남광석유판매(주),13337,2014,1.0,성장기
148,한국코스틱주식회사,13344,2021,1.0,쇠퇴기
149,남선산업주식회사,13348,2017,1.0,성숙기
150,남성기계산업주식회사,13352,2018,1.0,쇠퇴기
151,(주)아이에스테크,13353,2018,1.0,성숙기
152,남양진흥기업주식회사,13371,2014,1.0,쇠퇴기
153,남영산업주식회사,13374,2014,1.0,도입기
154,(주)남영전구,13377,2014,1.0,쇠퇴기
155,(주)남우,13379,2014,1.0,쇠퇴기
156,남유산업주식회사,13383,2017,1.0,도입기
157,남척석유(주),13389,2019,1.0,성숙기
158,(주)남청,13390,2014,1.0,쇠퇴기
159,남해종합건설주식회사,13394,2020,1.0,도입기
160,남화통상주식회사,13400,2019,1.0,쇠퇴기
161,남흥건설주식회사,13401,2019,1.0,도입기
162,(주)셀랩,13411,2018,1.0,쇠퇴기
163,주식회사넥서스,13422,2014,1.0,쇠퇴기
164,뉴경기관광주식회사,13465,2014,1.0,쇠퇴기
165,(주)다다,13486,2014,1.0,성숙기
166,주식회사다다씨앤씨,13487,2014,1.0,도입기
167,(주)다원종합개발,13496,2014,1.0,도입기
168,다이노나(주),13500,2014,1.0,도입기
169,(주)그레이프커뮤니케이션즈,13502,2016,1.0,쇠퇴기
