,회사명,거래소코드,회계년도,부실판단
0,글로웨이(주),10037,2014,1
1,청화산업(주),10042,2015,1
2,홍원제지(주),10062,2014,1
3,주식회사전주원파워,10128,2016,1
4,주식회사리오인더스트리,10145,2018,1
5,시크리티스,10158,2014,1
6,(주)광일,10179,2022,1
7,국민일보(주),10185,2014,1
8,주식회사국제종합토건,10187,2014,1
9,(주)남선기공,10199,2018,1
10,(주)대동주택,10211,2014,1
11,(주)대신EDI,10225,2015,1
12,디와이홀딩스(주),10231,2014,1
13,동남산업주식회사,10240,2014,1
14,(주)디에스아이씨,10253,2014,1
15,주식회사인희,10257,2016,1
16,동광기연주식회사,10258,2015,1
17,(주)동양잉크,10259,2019,1
18,우양산업개발주식회사,10263,2014,1
19,(주)부라다,10293,2017,1
20,부원공업(주),10300,2014,1
21,삼능건설주식회사,10306,2014,1
22,(주)세중아이앤디,10336,2014,1
23,(주)세모,10343,2014,1
24,주식회사승전상사,10353,2020,1
25,신원금속주식회사,10359,2022,1
26,신한모방(주),10362,2014,1
27,영화기업(주),10384,2016,1
28,월드건설주식회사,10403,2014,1
29,제일흥업주식회사,10428,2014,1
30,중앙상선주식회사,10434,2014,1
31,아비코테크(주),10442,2014,1
32,(주)삼화고속,10451,2022,1
33,(주)어나더필,10467,2016,1
34,(주)바이오빌,10475,2022,1
35,주식회사하원제약,10476,2016,1
36,주식회사세아에프에스,10484,2021,1
37,한국홀딩스(주),10493,2015,1
38,한국트랜스주식회사,10499,2021,1
39,(주)협화,10502,2014,1
40,현대모직주식회사,10520,2014,1
41,(주)호텔캐피탈,10529,2021,1
42,효정건설주식회사,10533,2014,1
43,디에스디엘주식회사,10555,2014,1
44,(주)삼신,10559,2018,1
45,(주)일성하이스코,10561,2014,1
46,(주)지오닉스,10586,2021,1
47,주식회사위스코,10615,2018,1
48,비아이피(주)[구.부일산업(주)],10627,2022,1
49,우림건설(주),10634,2014,1
50,키스트론(주),10641,2014,1
51,홍인화학주식회사,10667,2014,1
52,(주)대전방송,10668,2015,1
53,주식회사광주방송,10717,2019,1
54,세원건설주식회사,10724,2014,1
55,주식회사무영종합건축사사무소,10740,2014,1
56,주식회사로얄비엔비,10755,2016,1
57,명신섬유공업(주),10759,2016,1
58,주식회사제주국제컨벤션센터,10777,2014,1
59,(주)비에스이,10782,2014,1
60,(주)다성,10785,2020,1
61,부라운피혁(주),10794,2018,1
62,주식회사유니엘,10799,2014,1
63,진광이앤씨(주),10801,2014,1
64,부광산업주식회사,10802,2017,1
65,주식회사대경바스컴,10822,2017,1
66,(주)우리교육,10846,2014,1
67,주식회사태화정공,10854,2020,1
68,삼우산기주식회사,10855,2021,1
69,신한중공업주식회사,10859,2015,1
70,화이버텍(주),10871,2014,1
71,한국머스크(주),10880,2020,1
72,주식회사한라산,10891,2020,1
73,정도건설주식회사,10892,2014,1
74,주식회사성호철관,10941,2018,1
75,주식회사후이즈글로벌네트워크,11076,2019,1
76,(주)넷피아,11098,2016,1
77,주식회사파이널데이터,11104,2014,1
78,(주)지란지교소프트,11107,2016,1
79,(주)마이크로사이언스테크,11128,2014,1
80,(주)휴스토리,11138,2020,1
81,주식회사포앤티,11225,2020,1
