회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,제품비율(매출채권 대 상),매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,제품회전률(상품),부재료회전률(원),재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수
(주)가겐투안,043566,2012/12,4.11,-99.94,27.81,38.62,0,-23.93,0,4.57,29.36,0,0,-0.01,0,0,9.52,3.36,0,3.43,4.53,3.58,0,3.66,4.6,0,4.7,122.13,0,124.86,8.01,0,0,3.29,21.28,21.76,90.48,96.64,0.34,-0.34,0,0.08,96.34,4.12,0.04,-0.35,0.04,70.48,1172.07,-1.65,5.9,5.52,0,96.32,96.32,0,0,0,181969.31,6243,0,4790.72,135719.84,2614.4,0,6106.43,18.17,0,22.21,18.17,81.83,77.99,22.01,2714.4,104.92,99.41,102.75,102.75,49.34,0,0,0,0,0,0,28.22,22.68,66.81,5.55,889.99,0.49,9.63,12.35,6.17,999999999,75.12,26.14,15.49,78.26,17.64,19.39,44.31,4.27,4.08,0,1.07,6.34,1.37,36.39,4.81,0,0,6.46,6.46,6416.41,0.06,6416.41,0,0,12.91,28.28,1.28,5689.21,3.15,0,0.04,1415.67,0,0,0,0,0,0,0,0,8.13,35391825,0,7.78,51.54,48.46,44.1,1415.67,672.08,729.61,-62.61,62.73,6.58,7.28,,8.13,,7.78,
(주)가겐투안,043566,2013/12,-8.5,428200,-47.83,0,0,0,0,-5.67,-14.28,0,0,0.23,0,0,2.2,-4.82,0,-4.93,-3.58,-4.51,0,-4.62,-5.7,0,-5.83,-150.36,0,-153.85,0,0,0,-5.13,-30.4,-31.1,97.8,104.82,0.56,-0.55,0,0.03,104.22,4.34,0.02,-0.52,0.07,66.18,333.5,-2.47,4.59,4.37,0,96.09,96.09,0,0,0,155977.75,-7693,0,-4517.92,128027.14,2460.54,0,-7518,10.36,0,11.56,10.36,89.64,80.4,19.6,2560.54,111.49,108.69,59.12,59.12,31.24,0,0,0,0,0,0,24.37,21.79,0,2.58,0,-7.16,9.59,11.92,-10.73,999999999,77.26,24.61,15.42,91.4,11.13,0.44,0.89,0.09,0.09,0,0.94,6.31,1.18,31.2,4.49,0,0,6.48,6.48,0,0,0,0,0,13.1,27.86,1.09,1820.47,2.92,0.08,0.04,81.24,0,0,0,0,0,0,0,0,0.51,474.21,0,0.52,876.58,-776.58,-946.9,81.24,-664.75,712.15,-85.97,104.79,2.95,12.07,0,0.51,0,0.52,0
(주)가겐투안,043566,2014/12,0.05,207.42,-1.39,0,0,0,0,-4.98,-27.79,0,0,0.22,0,0,2.93,-5.81,0,-5.67,-3.23,-4.11,0,-4.01,-5.24,0,-5.11,-130.93,0,-127.63,0,0,0,-4.52,-37.61,-36.66,97.07,105.81,0.73,-0.73,0,0.01,105.01,5.95,0.02,-0.69,0.15,35.61,163.54,-2.38,4.12,3.98,0,95.89,95.89,0,0,0,112639.06,-6381,0,-391.41,121645.77,2332.92,0,-6546.71,10.21,0,11.37,10.21,89.79,76.36,23.64,2432.92,117.59,110.97,53.49,53.49,22.49,0,0,0,0,0,0,30.96,25,0,5.96,0,-8.88,8.95,11.73,-11.14,999999999,73.22,23.33,14.54,126.85,15.49,-6.52,-17.21,-1.54,-2.18,0,0.71,6.47,0.9,22.53,3.27,0,0,6.88,6.88,0,0,0,0,0,13.35,27.34,0.79,322.75,2.47,0.07,0.04,207.46,0,0,0,0,0,0,0,0,1.3,393.91,0,1.84,343.71,-243.71,-307.59,207.46,-571.91,713.07,-82.06,128.37,2.25,17.74,0,1.3,0,1.84,0
(주)가겐투안,043566,2015/12,-0.21,-45.1,-0.56,0,0,0,0,-1.5,25.41,0,0,-0.17,0,0,4.6,-1.9,0,-1.29,-0.81,-1.69,0,-1.14,-2.22,0,-1.51,-53.66,0,-36.41,0,0,0,-1.69,-15.52,-10.53,95.4,101.9,0.61,-0.61,0,0.03,101.28,4.6,0.03,-0.6,0.16,38.6,263.7,-2.24,3.6,3.64,0,95.83,95.83,0,0,0,141255.93,-1821,0,-2323.32,119825.06,2296.5,0,-2683.06,10.18,0,11.33,10.18,89.82,75.37,24.63,2396.5,119.18,112.71,50.12,50.12,15.03,0,0,0,0,0,0,32.68,26.94,0,5.74,0,-10.13,9.18,12.18,-5.11,999999999,72.23,22.97,11.48,101.18,12.12,-3.47,-9.3,-0.85,-0.96,0,0.89,8.17,1.17,28.25,3.68,0,0,8.71,8.71,0,0,0,0,0,13.73,26.59,0.99,346.29,2.97,0.07,0.04,552.59,0,0,0,0,0,0,0,0,3.48,1911.03,0,3.91,120.14,-20.14,-32.95,552.59,-182.07,663.86,-86.21,129.25,4.01,23.75,0,3.48,0,3.91,0
(주)가겐투안,043566,2016/12,3.49,89.7,32.87,0,0,0,0,0.04,23.09,0,0,0.16,0,0,4.92,-0.54,0,0.02,0.28,-0.58,0,0.03,-0.79,0,0.04,-18.92,0,0.85,55.4,0,0,-0.59,-4.76,0.21,95.08,100.54,0.57,-0.57,0,0.02,99.98,3.75,0.03,-0.57,0.19,46.93,195.69,-2.36,2.96,2.85,0,95.83,95.83,0,0,0,173878.16,42,0,4205.02,119867.52,2297.35,0,-945.94,13.06,0,15.03,13.06,86.94,72.86,27.14,2397.35,119.32,110.34,61.59,61.59,21.21,0,0,0,0,0,0,37.25,29.12,0,8.14,0,-8.15,8.27,11.35,-2.35,999999999,69.82,22.97,10.83,82.19,13.03,2.11,6.92,0.57,0.54,0,1.07,8.74,1.45,34.78,4.15,0,0,9.23,9.23,0,0,0,0,0,13.92,26.22,1.22,415.13,3.32,0.07,0.04,729.61,0,0,0,0,0,0,0,0,4.43,1330.09,0,4.2,90.06,9.94,0.58,729.61,4.25,657.09,-99.03,129.06,5.27,32.96,0,4.43,0,4.2,0
(주)가겐투안,043566,2017/12,1.97,-29.27,15.8,0,0,11245.17,0,4.02,0.78,0,0,-0.11,0,0,8.2,2.18,0,2.75,3.13,2.3,0,2.9,3.12,0,3.94,76.31,0,96.34,3.7,0,0,2.29,15.71,19.84,91.8,97.82,0.57,-0.57,0,0.05,97.27,4.36,0.11,-0.59,0.17,38.27,293.47,-2.29,2.95,2.84,0,95.99,95.99,0,0,0,175239.21,4817,0,4026.66,124684.68,2393.69,0,3815.26,14.84,0,17.42,14.84,85.16,74.32,25.68,2493.69,114.58,105.47,77.07,77.07,31.86,0,0,0,0,0,0,34.55,25.9,0,8.64,0,-4.41,7.51,10.11,10.26,999999999,71.34,23.94,13.23,81.57,14.78,9.56,32.67,2.45,2.35,0,1.05,7.22,1.43,35.05,3.99,0,0,7.56,7.56,0,0,0,0,0,12.47,29.26,1.23,374.23,3.09,0.08,0.03,1308.44,0,0,0,0,0,0,0,0,7.8,3372.27,0,7.47,57.21,42.79,36.82,1308.44,481.72,748.52,-100.64,130.37,18.51,29.97,0,7.8,0,7.47,0
(주)가겐투안,043566,2018/12,0.73,-59.58,5.82,-12.85,,-0.24,0,3.85,3.42,0,0,-0.16,0,0,7.75,1.83,,2.65,3.61,1.97,,2.85,2.62,,3.78,66.5,,96.11,17.98,,,1.37,12.54,18.13,92.25,98.17,1.39,-1.38,0,0.01,96.83,4.42,0.01,-1.4,0.08,29.19,700.64,-6.06,5.28,2.82,0,96.14,96.14,0,0,0,181225.62,4805,,7181.99,129490.05,2489.8,0,3325.03,15.59,0,18.46,15.59,84.41,76.63,23.37,2589.8,110.16,101.32,93.42,93.42,33.81,0,0,0,0,0,0,30.5,21.77,0,8.72,0,-1.1,2.72,3.55,13.69,999999999,73.67,24.9,14.13,78.77,14.96,14.19,121.83,3.32,3.09,0,1.08,6.84,1.43,36.25,4.39,0,0,7.08,7.08,0,0,0,0,0,11.78,30.97,1.27,665.26,3.24,0.08,0.03,1268.94,0,0,,0,0,0,0,0,7.51,8091.18,0,7,62.08,37.92,37.87,1268.94,583.8,787.75,-250.36,131.22,2.09,14.43,0,7.51,0,7,0
(주)가겐투안,043566,2019/12,1.17,209.22,6.26,-86.93,,-26.7,0,2.72,3.7,0,0,0.23,0,0,6.25,0.23,,1.87,2.69,0.26,,2.07,0.33,,2.68,8.69,,70.45,27.27,,,-0.31,1.55,12.53,93.75,99.77,2.29,-2.15,0,0.01,97.53,4.37,0.05,-2.15,0.07,27.7,228.65,-10.44,0,4.45,0,96.24,96.24,0,0,0,187923.05,3522,,9087.24,133012.43,2560.25,0,434.65,16.37,0,19.58,16.37,83.63,77.8,22.2,2660.25,107.49,97.37,115.99,115.99,56.97,0,0,0,0,0,0,28.53,18.14,0,10.39,358.05,2.26,0,0,4.24,999999999,74.88,25.6,14.45,75.99,15.48,21.44,0,4.76,4.33,0,1.11,6.69,1.43,37.58,4.85,0,0,6.92,6.92,0,0,0,0,0,12.36,29.54,1.32,585.63,3.52,0.08,0.03,1043.69,0,0,,0,0,0,0,0,6.1,2152.14,0,5.55,78.54,21.46,33.75,1043.69,474.35,819.73,-404.15,131.13,9.99,12.64,0,6.1,0,5.55,0
(주)가겐투안,043566,2020/12,-2.12,-43.73,-12.31,0,,-87.9,0,0.32,-11.82,0,0,-0.13,0,0,5.42,-2.43,,0.26,0.08,-2.38,,0.25,-3.02,,0.32,-80.53,,8.53,10.37,,,-2.21,-14.76,1.56,94.58,102.43,2.69,-2.51,0,0.05,99.75,4.91,0.03,-2.45,0.13,39.88,311.89,-11.58,0,0,0,96.25,96.25,0,0,0,165714.99,426,,-1107.34,133417.28,2568.78,0,-4026.48,14.67,0,17.19,14.67,85.33,79.75,20.25,2668.78,107,97.01,121.83,121.83,52.82,0,0,0,0,0,0,25.4,15.1,0,10.3,312.56,2.63,0,0,999999999,999999999,76.76,25.69,15.85,86.22,15.37,11.77,0,2.38,2.41,0,0.98,6.07,1.24,33.14,4.61,0,0,6.31,6.31,0,0,0,0,0,12.97,28.13,1.16,437.33,3.42,0.08,0.04,623.69,0,0,,0,0,0,0,0,3.73,2285.5,0,3.76,133.73,-33.73,6.84,623.69,42.64,834.08,-415.76,135.24,4.93,22.56,0,3.73,0,3.76,0
(주)가겐투안,043566,2021/12,3.57,-40.34,24.83,0,,903.1,0,3.21,3.44,0,0,-0.09,0,0,8.64,-0.44,,2.5,1.98,-0.44,,2.51,-0.56,,3.15,-15.1,,85.54,2.9,,,0.09,-2.65,15.03,91.36,100.44,2.95,-2.41,0,0.69,97.56,5.13,0.06,-2.4,0.11,42.81,486.08,-11.89,0,0,0,96.37,96.37,0,0,0,171412.25,4277,,3958.63,137704.05,2654.32,0,-754.78,17.68,0,21.48,17.68,82.32,79.47,20.53,2754.32,103.59,96.97,117.05,117.05,63.32,0,0,0,0,0,0,25.84,19.01,0,6.83,210.86,2.58,0,0,999999999,999999999,76.58,26.54,16.1,83.26,18.34,4.01,0,0.82,0.83,0,1.01,6.02,1.26,34.28,4.93,0,0,6.21,6.21,0,0,0,0,0,13.52,27.01,1.2,786.84,3.38,0.07,0.04,1065.62,0,0,,0,0,0,0,0,6.15,6545.25,0,6.22,82.84,17.16,40.14,1065.62,429.96,882.73,-413.17,136.67,10.52,18.92,0,6.15,0,6.22,0
