회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,제품비율(매출채권 대 상),매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,제품회전률(상품),부재료회전률(원),재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수
(주)가가이엔지,093545,2019/12,0,0,0,0,,0,0,0,0,0,0,0,0,0,61.96,4.45,,2.67,9.02,8.59,,5.15,40.15,,24.07,151.9,,91.06,41.47,,,8.7,9.12,5.47,38.04,95.55,-1.47,1.84,0,0,97.04,45.43,1.61,1.88,1.55,17.89,23.4,4.51,2.76,5.53,0,73.57,73.57,0,0,0,341548.21,4553,,-4817.7,75669.11,278.35,0,15190.12,21.74,0.26,27.78,21.68,78.26,21.4,78.6,378.35,365.68,82.52,420.86,419.78,214.26,0,18257.03,0.34,749.22,18257.03,2436.8,367.26,24.14,0,343.12,443.05,16.57,71.99,336.39,2.16,2.62,15.74,2.78,11.25,40.51,97.53,-0.87,-0.95,-0.68,-0.71,2.42,1.93,2.05,9.03,34.15,2.46,142.02,2.57,8.89,8.91,3460.63,0.11,3460.63,0,0,18.96,19.26,2.47,2.97,7.18,0,0.06,4945.65,0,0,,0,0,0,0,0,50.86,78.1,9202.53,52.65,84.28,15.72,5.06,4945.65,279.9,4168.13,172.42,35.25,147.91,142.04,0,50.86,9202.53,52.65,0
(주)가가이엔지,093545,2020/12,20.22,29.62,1.67,-36.32,,-62.55,0,-4.07,-48.35,0,0,25.37,0,0,56.63,5.48,,1.93,2.65,2.48,,0.88,13.05,,4.6,48.36,,17.05,53.31,,,2.56,2.63,0.93,43.37,94.52,-3.25,3.72,0,0,97.8,40.51,1.93,3.77,3.7,7.86,16.78,2.09,2.21,2.48,0,72.45,72.45,0,0,0,88213.35,1705,,12468.02,36296.36,262.96,0,4836.37,18.39,0,22.53,18.39,81.61,17.08,82.92,362.96,477.87,84.57,525.68,525.68,223.15,0,0,0,125.94,0,0,485.52,20.48,0,465.04,533.48,14.89,76.83,449.85,1.34,1.6,12.37,2.63,43.93,176.73,228.22,2.85,3.08,2.37,5.7,1.47,0.45,0.48,2.38,8.82,0.56,22.45,16.26,2.28,2.28,1787.59,0.2,1787.59,0,0,7.09,51.49,0.57,0.67,1.88,0,0.03,2536.99,0,0,,0,0,0,0,0,21.7,30.91,1532.41,52.29,76.58,23.42,3.7,2536.99,108.1,1942.89,180.72,35.09,92.76,177.44,0,21.7,1532.41,52.29,0
(주)강일기업,096822,2019/12,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.65,,2.78,6.93,6.82,,28.96,10.96,,46.51,41.04,,174.16,19.55,,,29.06,6.86,29.12,0,99.35,2.12,0.01,0,0.01,97.28,93.84,0.68,0.01,0.03,40.6,294.56,0.25,0.6,1.2,0,72.27,73.33,0,0,0,313714.2,4354,,-9654.33,37448.88,274.49,0,2051.82,96.89,0,3118.2,96.89,3.11,62.28,37.72,374.49,4.99,3.94,459.4,459.4,66.13,0,0,0,0,0,0,60.57,33.87,0,26.7,21.94,75.8,16.63,26.7,34.2,308.6,45.65,2.74,9.29,0.3,19.06,-21.28,-48.27,-8.03,-1.54,72.48,10.43,10.49,16.75,62.74,27.66,0,0,10.77,10.77,0,0,0,0,0,15.41,23.69,335.8,1493.07,8.84,0.06,0.04,30404.34,0,0,,0,0,0,0,0,505.63,72352.13,162563.98,96.92,96.24,3.76,2.86,30404.34,870.82,29260.51,2.83,47.86,211.62,10.7,0,505.63,162563.98,96.92,0
(주)강일기업,096822,2020/12,-19.15,31.61,-19.37,0,,0,0,-54.79,-24.03,0,0,-12.21,0,0,0,-5.53,,-3.93,-24.25,-24.25,,-17.21,-48.49,,-34.42,-131.86,,-93.6,0,,,-16.48,-24.39,-17.31,0,105.53,1.61,0.17,0,0.01,103.86,94.92,0.72,0.16,0.02,9.8,258.81,1.46,2.81,3.3,0,38.66,41.01,0,0,0,119156.75,-4680,,-6148.78,8465.89,69.32,0,-6592.82,96.63,0,2863.98,96.63,3.37,34.83,65.17,169.32,9.69,4.4,415.37,415.37,10.06,0,0,0,0,0,0,187.14,66.8,29.65,120.34,57.13,73.36,29.24,83.95,-33.03,-22.57,14.26,0.69,22.08,0.74,20.28,-34.64,-77.22,-22.58,-4.61,-33.2,4.38,4.41,8.76,23.83,8.77,0,0,4.53,4.53,0,0,0,0,0,6.06,60.25,135.84,489.72,3.69,0.17,0.02,23256,0,0,,0,0,0,0,0,478.34,42050.84,124343.67,97.59,102.87,-2.87,-4.02,23256,-936.02,23924.29,39.71,40.77,181.67,5.57,0,478.34,124343.67,97.59,0
(주)강일기업,096822,2021/12,-2.54,4.29,-2.39,0,,0,0,-25.58,-2.8,0,0,-6.84,0,0,0,-3.37,,-1.87,-16.25,-16.25,,-9.02,-52.84,,-29.34,-78.02,,-43.32,0,,,-7.87,-16.36,-9.08,0,103.37,1.5,0.24,0,0.01,101.84,94.99,0.75,0.23,0.06,22.11,208.14,1.66,3.26,3.55,0,17.57,20.73,0,0,0,115824.21,-2166,,-2046.85,6299.92,26,0,-3900.99,96.78,0,3000.84,96.78,3.22,26.59,73.41,126,12.13,6.48,192.64,192.64,5.55,0,0,0,0,0,0,276.06,188.92,0,87.14,49.79,46.54,35.86,134.85,-14.08,-6.83,5.49,0.26,20.04,0.68,20.33,-23.56,-48.23,-17.3,-3.54,-14.1,4.83,4.86,15.69,23.16,6.97,0,0,4.99,4.99,0,0,0,0,0,6.09,59.89,146.23,410.07,3.62,0.16,0.02,22655.37,0,0,,0,0,0,0,0,478.13,39280.4,121151.73,97.8,100.63,-0.63,-1.91,22655.37,-433.19,22798.72,55.32,40.16,179.64,14.73,0,478.13,121151.73,97.8,0
(주)강일기업,096822,2022/12,3.62,-19.28,3.93,0,,0,0,-25.88,14.23,0,0,-5.73,0,0,0,-2.08,,-1.23,-11.4,-11.4,,-6.76,-50.14,,-29.73,-55,,-32.61,0,,,-4.7,-11.47,-6.8,0,102.08,0.85,0.38,0,0.02,101.22,96.07,0.27,0.37,0.06,23.53,266.86,2.67,5.57,5.71,0,-11.22,-6.96,0,0,0,132300.84,-1631,,-520.85,4669.39,-6.61,0,-2750.03,97.07,0,3308.35,97.07,2.93,19.02,80.98,93.39,15.42,4.84,246.22,246.22,11.34,0,0,0,0,0,0,425.73,207.26,55.32,218.47,72.09,57.64,36.47,191.75,-5.52,-2.27,-1.35,-0.07,17.67,0.56,18.44,-6.46,-14.34,-5.23,-0.97,-5.52,5.49,5.52,24.12,26.46,7.1,0,0,5.66,5.66,0,0,0,0,0,6.77,53.91,178.27,507.71,3.87,0.15,0.02,25961.59,0,0,,0,0,0,0,0,528.78,55762.61,138832.06,98.12,100.33,-0.33,-1.26,25961.59,-326.11,26047.45,99.61,51.85,72.92,15.87,0,528.78,138832.06,98.12,0
(주)거성지엠에스,096268,2019/12,0,0,0,0,,0,0,0,0,0,0,0,0,0,12.35,1.57,,1.86,12.39,9.32,,11.05,17.3,,20.54,165.83,,196.8,61.86,,,7.98,9.32,11.05,87.65,98.43,0.84,-0.52,0,0.03,97.62,4.6,2.51,-0.53,0.41,61.66,223.93,-6.67,0,0,0,87.74,89.57,0,0,0,1058524.7,9840,,4561.64,191132.53,858.33,0,16583.37,83.31,0,499.33,83.31,16.69,53.83,46.17,958.33,30.99,21.9,349.64,349.64,100.34,0,0,0,6755.18,0,0,85.76,44.26,0,41.5,37.55,59.49,0,0,999999999,999999999,48.21,8.58,14.01,2.81,33.64,1.39,0,0.64,0.22,0,5.95,5.95,11.05,105.85,12.88,870.36,0.42,7.14,7.14,0,0,0,0,0,12.88,28.33,35.64,236.07,5.55,0,0.04,1474.62,0,0,,0,0,0,0,0,27.61,1096.2,73730942,9.29,48.78,51.22,20.02,1474.62,381.78,719.29,-82.19,0,392.21,63.52,0,27.61,73730942,9.29,0
(주)거성지엠에스,096268,2020/12,-7.85,-15.37,-14.86,-28.08,,-27.87,0,7.41,-34.79,0,0,27.14,0,0,19.28,1.73,,2.06,4.65,3.49,,4.15,6,,7.14,59.63,,70.98,65.08,,,2.98,3.6,4.28,80.72,98.27,1.37,-0.58,0,0.06,96.95,9.35,2.83,-0.59,0.53,29.05,294.43,-2.79,0,0,0,88.58,90.28,0,0,0,345150.95,7098,,-13115.31,102930.44,929.3,0,5963.44,76.98,0,334.4,76.98,23.02,62.74,37.26,1029.3,36.69,26.49,587.78,587.78,37.59,0,0,0,4160.04,0,0,59.38,20.87,0,38.51,37.82,63.88,0,0,999999999,999999999,56.65,9.29,39.78,9.77,44.51,-8.86,0,-3.3,-1.57,0,2.02,2.08,3.47,34.52,4.82,213.48,1.71,2.51,2.51,0,0,0,0,0,4.16,87.82,10.23,83.38,2.04,0,0.01,1569.52,0,0,,0,0,0,0,0,31.89,1378.57,7549.31,15.16,60.69,39.31,13.57,1569.52,320.97,952.57,-59.92,12.8,288.74,54.36,0,31.89,7549.31,15.16,0
(주)거성지엠에스,096268,2021/12,-2.52,76.05,-1.57,0,,0,0,-11.71,2.2,0,0,-5.7,0,0,17.21,-3.92,,-3.42,-7.34,-8.53,,-7.44,-14.26,,-12.44,-138.17,,-120.58,0,,,-8.41,-9.15,-7.98,82.79,103.92,0.5,-0.44,0,0.13,103.38,11.09,2.66,-0.42,0.49,25.62,172.04,-2.41,0,0,0,87.07,89,0,0,0,352746.33,-12058,,8393.1,90872.74,808.73,0,-13817.04,77.73,0,349.04,77.73,22.27,56.83,43.17,908.73,39.19,27.54,406.19,406.19,49.03,0,0,0,1255.76,0,0,75.97,33.67,0,42.3,41.02,58.59,0,0,-38.55,999999999,50.57,8.09,35.52,10.4,42.1,-3.42,0,-1.48,-0.67,0,2.18,2.34,3.64,35.27,5.42,91.43,3.99,2.82,2.82,0,0,0,0,0,4.54,80.44,9.61,67.34,2.33,0,0.01,1244.95,0,0,,0,0,0,0,0,25.95,621.12,10906.5,11.76,98.64,1.36,-29.06,1244.95,-361.73,1228.03,-47.05,76.8,294.73,54.16,0,25.95,10906.5,11.76,0
(주)거성지엠에스,096268,2022/12,-9.92,-26.35,-5.68,0,,0,0,1.97,-6.31,0,0,-24.75,0,0,22.61,-0.26,,0.54,0.77,-0.56,,1.18,-0.93,,1.95,-8.52,,17.9,84.22,,,-0.15,-0.61,1.29,77.39,100.26,0.8,-0.61,0,0.14,99.46,13.7,2.88,-0.61,0.6,25.89,239.99,-3.36,0,0,0,87.32,89.21,0,0,0,330496.98,1790,,-12988.67,92662.25,826.62,0,-851.8,81.4,0,437.5,81.4,18.6,64.33,35.67,926.62,28.92,21.97,531.9,531.9,39.57,0,0,0,1630.95,0,0,55.45,23.79,0,31.66,30.82,66.09,0,0,-4587.78,999999999,57.39,8.27,36.54,9.44,39.34,-4.47,0,-1.6,-0.7,0,2.17,2.37,3.6,33.05,5.49,66.35,5.5,2.74,2.74,0,0,0,0,0,4.68,77.92,10.59,56.97,2.25,0,0.01,1779.87,0,0,,0,0,0,0,0,41.19,1205.66,15577.34,17.95,76.61,23.39,3.02,1779.87,53.69,1363.62,-60.66,76.8,286.62,59.81,0,41.19,15577.34,17.95,0
