회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(유)한국타코닉,093116,2019/12,NA,15300142,,,76.55,999999999
(유)한국타코닉,093116,2020/12,UQ,1830188,,,81.66,999999999
(유)한국타코닉,093116,2021/12,UQ,-9026567,,,33.5,111.19
(유)한국타코닉,093116,2022/12,UQ,-4963869,,,-1.94,-1.73
(유)해송,093737,2019/12,NA,407239,,,2.76,2.97
(유)해송,093737,2020/12,UQ,551654,,,0.73,1.13
(주)A.M.C,064118,2012/12,UQ,3451243,,,14.7,25.28
(주)A.M.C,064118,2013/12,UQ,1957925,,,19.68,52.48
(주)A.M.C,064118,2014/12,UQ,914504,,,0.45,-14.12
(주)A.M.C,064118,2015/12,UQ,-1507090,,,-2.77,-6.65
(주)A.M.C,064118,2016/12,UQ,156083,,,-4.04,-5.54
(주)A.M.C,064118,2017/12,UQ,445831,,,0.21,-1.04
(주)A.M.C,064118,2018/12,UQ,-40777,,,0.86,1.26
(주)A.M.C,064118,2019/12,UQ,780397,,,1.01,0.27
(주)A.M.C,064118,2020/12,UQ,-1124415,,,-6.82,-18.68
(주)KH엘텍,043023,2012/12,UQ,-2315507,-2315507,,-14.25,-12.95
(주)KH엘텍,043023,2013/12,UQ,4081781,4081781,,13.75,15.21
(주)KH엘텍,043023,2014/12,UQ,-1189266,-1189266,,-10.85,-10.42
(주)KH엘텍,043023,2015/12,UQ,775442,775442,,-5.42,-3.53
(주)KH엘텍,043023,2016/12,UQ,1072021,1072021,,-5.43,-4.92
(주)KH엘텍,043023,2017/12,UQ,2536572,2536572,,5.47,3.58
(주)KH엘텍,043023,2018/12,UQ,1600610,1600610,,6.56,6.34
(주)KH엘텍,043023,2019/12,UQ,-111199,-111199,,12.06,12.17
(주)KH엘텍,043023,2020/12,UQ,-1204194,-1204194,,-6.91,-14.24
(주)KH엘텍,043023,2021/12,UQ,604362,604362,,-2.77,3.24
(주)KH엘텍,043023,2022/12,UQ,-432842,-432842,,0.44,-6.72
(주)KJ컴텍,038835,2012/12,UQ,-343188,,,1.37,1.78
(주)KJ컴텍,038835,2013/12,UQ,964929,,,2.52,2.63
(주)KJ컴텍,038835,2014/12,UQ,572518,,,-1.18,-0.98
(주)MG전자,063566,2012/12,QS,119609,,,1.91,1.41
(주)MG전자,063566,2013/12,UQ,2420435,,,7.21,6.82
(주)MG전자,063566,2019/12,UQ,1689214,,,4.34,7.98
(주)MG전자,063566,2020/12,UQ,2758828,,,7.04,10.78
(주)MG전자,063566,2021/12,UQ,1238066,,,2.65,3.22
(주)MG전자,063566,2022/12,UQ,1147336,,,1.01,1.15
(주)MS이엔지,042524,2012/12,UQ,1021509,,,1.48,2.34
(주)MS이엔지,042524,2013/12,UQ,30262,,,2.93,11.44
(주)MS이엔지,042524,2014/12,UQ,-1294184,,,1.78,1.89
(주)MS이엔지,042524,2015/12,UQ,640039,,,1.26,1.54
(주)MS이엔지,042524,2016/12,UQ,-508407,,,2.35,1.6
(주)MS이엔지,042524,2017/12,UQ,-253620,,,-1.54,6.46
(주)MS이엔지,042524,2018/12,UQ,424220,,,1.63,1.69
(주)MS이엔지,042524,2019/12,UQ,-1127313,,,1.21,1.61
(주)MS이엔지,042524,2020/12,UQ,-1573207,,,-5.18,-6.36
(주)MS이엔지,042524,2021/12,UQ,136449,,,2.9,4.27
(주)MS이엔지,042524,2022/12,UQ,-825531,,,0.06,0.24
(주)SCISP,101830,2021/12,NA,3927860,,,28.13,47.22
(주)SCISP,101830,2022/12,QS,-822810,,,8.75,10.73
(주)SJ테크,041396,2012/12,UQ,21848345,,,3.87,3.64
(주)SJ테크,041396,2013/12,UQ,3444845,,,8.58,10.04
(주)SJ테크,041396,2014/12,UQ,26011988,,,4.83,5.54
(주)SJ테크,041396,2015/12,UQ,-10733233,,,3,3.9
(주)SJ테크,041396,2016/12,UQ,-4214646,,,-2.17,-3.33
(주)SJ테크,041396,2017/12,UQ,-6232738,,,1.19,2.68
(주)SJ테크,041396,2018/12,UQ,8518048,,,-1.31,1.1
(주)SJ테크,041396,2019/12,UQ,7839192,,,0.16,4.57
(주)SJ테크,041396,2020/12,UQ,5373402,,,-0.43,0.54
(주)SJ테크,041396,2021/12,UQ,4456687,,,0.78,1.65
(주)SJ테크,041396,2022/12,UQ,8048347,,,1.78,1.6
(주)가람솔루션,043426,2012/12,QS,37112,,,-2.55,6.84
(주)가야중공업,020634,2012/12,UQ,4332283,,,1.38,2.44
(주)가야중공업,020634,2013/12,UQ,-6689893,,,1.76,2.73
