회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(유)가든주류,097082,2019/12,NA,138498,,,3.17,4.17
(유)가든주류,097082,2020/12,QS,-341826,,,1.29,2.26
(유)가든주류,097082,2021/12,UQ,130657,,,0.29,2.92
(유)가든주류,097082,2022/12,DU,-26425950,,,-1.44,-1.37
(유)남부상사,095606,2019/12,NA,-952217,,,1.72,3.51
(유)남부상사,095606,2020/12,QS,4016775,,,10.34,-3.45
(유)남부상사,095606,2021/12,UQ,46356,,,2.31,3.3
(유)대인계육유통,096685,2019/12,NA,11928455,,,999999999,999999999
(유)대인계육유통,096685,2020/12,QS,13760379,,,999999999,999999999
(유)대인계육유통,096685,2021/12,UQ,10892339,,,999999999,999999999
(유)대인계육유통,096685,2022/12,UQ,1103416,,,999999999,999999999
(유)라온,093415,2019/12,NA,785775,,,1.59,6.06
(유)라온,093415,2020/12,QS,60782,,,-2.04,-8.56
(유)송정주류,093050,2019/12,NA,2047149,,,4.04,6.08
(유)송정주류,093050,2020/12,QS,-1744458,,,1.08,2.18
(유)송정주류,093050,2021/12,UQ,914956,,,-3.28,-2.26
(유)송정주류,093050,2022/12,UQ,1300748,,,2,3.17
(유)신합상사,096306,2019/12,NA,-921864,,,2.11,-0.69
(유)신합상사,096306,2020/12,QS,-1893843,,,1.28,1.72
(유)신합상사,096306,2021/12,UQ,1240597,,,-0.07,-2.19
(유)신합상사,096306,2022/12,UQ,95843,,,2.79,2.46
(유)워터스코리아,093395,2019/12,NA,7643719,,,999999999,999999999
(유)워터스코리아,093395,2020/12,UQ,-1846174,,,999999999,999999999
(유)워터스코리아,093395,2021/12,UQ,5980038,,,999999999,999999999
(유)워터스코리아,093395,2022/12,UQ,11405625,,,999999999,999999999
(유)임페리얼스포츠,093104,2019/12,NA,1108058,,,-2.63,-2.16
(유)임페리얼스포츠,093104,2020/12,QS,-902226,,,-0.64,-3.31
(유)임페리얼스포츠,093104,2021/12,UQ,959648,,,-2.08,-1.05
(유)임페리얼스포츠,093104,2022/12,UQ,1048215,,,3.78,4.06
(유)짐머바이오메트코리아,018711,2012/12,UQ,1790498,,,999999999,999999999
(유)짐머바이오메트코리아,018711,2013/12,UQ,2384714,,,999999999,999999999
(유)짐머바이오메트코리아,018711,2014/12,UQ,-804781,,,999999999,999999999
(유)짐머바이오메트코리아,018711,2015/12,UQ,2324582,,,999999999,999999999
(유)짐머바이오메트코리아,018711,2016/12,UQ,-3977027,,,6.53,10.39
(유)짐머바이오메트코리아,018711,2017/12,UQ,-206235,,,999999999,999999999
(유)짐머바이오메트코리아,018711,2019/12,NA,-7901813,,,999999999,999999999
(유)짐머바이오메트코리아,018711,2020/12,UQ,-1734950,,,999999999,999999999
(유)짐머바이오메트코리아,018711,2021/12,UQ,7334165,,,999999999,999999999
(유)짐머바이오메트코리아,018711,2022/12,UQ,-4746079,,,999999999,999999999
(유)케이에스메디컬,102010,2021/12,NA,995400,,,3.25,3.27
(유)케이에스메디컬,102010,2022/12,UQ,1943724,,,2.54,2.57
(유)하늘산업,101984,2021/12,NA,413266,,,39.58,311.3
(유)하늘산업,101984,2022/12,UQ,-10677853,,,32.07,999999999
(유)하이코스,093414,2019/12,NA,2285883,,,2826.58,999999999
(유)하이코스,093414,2020/12,UQ,4736988,,,999999999,999999999
(유)하이코스,093414,2021/12,UQ,1149919,,,999999999,999999999
(주)DKASTEEL,059783,2012/12,UQ,-4222264,,,-10.3,-5.03
(주)E-유로,077458,2015/12,NA,3833020,,,21.81,58.59
(주)E-유로,077458,2016/12,UQ,-1350151,,,34.25,999999999
(주)E-유로,077458,2017/12,UQ,-860029,,,24.01,999999999
(주)E-유로,077458,2018/12,UQ,3016853,,,13.1,999999999
(주)E-유로,077458,2019/12,UQ,-1316428,,,2.45,9.92
(주)E-유로,077458,2020/12,UQ,-1995893,,,0.31,999999999
(주)E-유로,077458,2021/12,UQ,895585,,,3.34,999999999
(주)E-유로,077458,2022/12,UQ,1190430,,,4.87,999999999
(주)G1네트웍스,061218,2012/12,UQ,83680,,,-7.87,999999999
(주)G1네트웍스,061218,2013/12,UQ,132367,,,-26.82,-42.62
(주)G1네트웍스,061218,2014/12,UQ,23481,,,999999999,999999999
(주)G1네트웍스,061218,2015/12,UQ,493602,,,999999999,999999999
(주)G1네트웍스,061218,2016/12,UQ,756413,,,999999999,999999999
(주)G1네트웍스,061218,2017/12,UQ,340066,,,999999999,999999999
(주)G1네트웍스,061218,2018/12,UQ,-88213,,,999999999,999999999
(주)G1네트웍스,061218,2019/12,UQ,-364567,,,999999999,999999999
(주)G1네트웍스,061218,2020/12,UQ,2360503,,,999999999,999999999
(주)G1네트웍스,061218,2021/12,UQ,499288,,,999999999,999999999
(주)G1네트웍스,061218,2022/12,UQ,246643,,,999999999,999999999
(주)KM철강,104081,2021/12,NA,689963,,,999999999,999999999
(주)KM철강,104081,2022/12,QS,2842877,,,999999999,999999999
(주)MK,087267,2017/12,NA,0,,,259.23,340.41
(주)MK,087267,2018/12,QS,892397,,,16.11,20.76
(주)MK,087267,2019/12,UQ,3098986,,,24.58,27.31
(주)MK,087267,2020/12,UQ,4603048,,,34.08,42.27
(주)MK,087267,2021/12,UQ,2380115,,,12.92,15.36
(주)MK,087267,2022/12,UQ,-4827355,,,1.75,4.27
(주)NKG,064781,2012/12,QS,563378,,,3.28,3.71
(주)NKG,064781,2013/12,UQ,-961994,,,2.27,2.62
(주)NKG,064781,2014/12,UQ,1207737,,,2.65,2.89
(주)NKG,064781,2015/12,UQ,290564,,,3.39,2.89
(주)NKG,064781,2016/12,UQ,-1340171,,,2.51,2.9
(주)NKG,064781,2017/12,UQ,4748101,,,3.05,4.08
(주)NKG,064781,2018/12,UQ,-288481,,,2.82,3.3
(주)NKG,064781,2019/12,UQ,2324253,,,2.75,2.92
(주)NKG,064781,2020/12,UQ,6280930,,,2.3,2.91
(주)NKG,064781,2021/12,UQ,1616193,,,4.23,3.6
(주)NKG,064781,2022/12,UQ,1813488,,,3.2,3.07
(주)SH글라스,076345,2015/12,NA,-775388,,,5.42,5.48
(주)SH글라스,076345,2016/12,UQ,357768,,,5.88,1.46
(주)SYNETWORKS,096355,2019/12,NA,-1949071,,,20.12,35.75
(주)SYNETWORKS,096355,2020/12,UQ,4488163,,,53.08,67.05
(주)SYNETWORKS,096355,2021/12,UQ,2923773,,,37.08,50.91
(주)SYNETWORKS,096355,2022/12,UQ,1133675,,,15.78,346.85
(주)가나스틸,042318,2012/12,UQ,2606003,,,24.81,49.86
(주)가나스틸,042318,2013/12,UQ,-8344885,,,16.56,30.36
(주)가나스틸,042318,2014/12,UQ,3321431,,,11.4,10.06
(주)가나스틸,042318,2015/12,UQ,5811765,,,2.81,3.41
(주)가나스틸,042318,2016/12,UQ,10018418,,,-4.15,-3.58
(주)가나스틸,042318,2017/12,UQ,2659806,,,-8.06,-8.15
(주)가나스틸,042318,2018/12,UQ,2240570,,,2.64,1.46
(주)가나스틸,042318,2019/12,UQ,-3026333,,,2.96,1.64
(주)가나스틸,042318,2020/12,UQ,5248088,,,2.63,1.81
(주)가나스틸,042318,2021/12,UQ,-2111866,,,2.79,2.26
(주)가나스틸,042318,2022/12,UQ,-4324996,,,5.98,5.9
(주)가람유통,074090,2014/12,NA,-2837286,,,1.55,1.55
(주)가람유통,074090,2015/12,QS,-1847077,,,1.47,1.48
(주)가리온,095282,2019/12,NA,481595,,,23.67,17.48
(주)가리온,095282,2020/12,UQ,-1388801,,,-14.14,-9.92
(주)가림아이앤씨,094329,2019/12,NA,2935107,,,-4.1,-4.05
(주)가림아이앤씨,094329,2020/12,UQ,783005,,,-1.21,-5.24
(주)가림아이앤씨,094329,2021/12,NA,604615,,,-2.14,-2.05
(주)가림아이앤씨,094329,2022/12,UQ,1295085,,,2.59,-1.82
(주)가야특수강,049005,2012/12,UQ,3460640,,,4.87,5.41
(주)가야특수강,049005,2013/12,UQ,4045016,,,5.19,5.66
(주)가야특수강,049005,2014/12,UQ,3143057,,,3.17,4.8
(주)가야특수강,049005,2015/12,UQ,1687691,,,3.8,8.13
(주)가야특수강,049005,2016/12,UQ,1949717,,,4.21,-38.46
(주)가야특수강,049005,2017/12,UQ,2555879,,,-191.71,999999999
(주)가야특수강,049005,2018/12,UQ,1147605,,,999999999,999999999
(주)가야특수강,049005,2019/12,UQ,1634737,,,999999999,999999999
(주)가영세라믹스,095959,2019/12,NA,-179962,,,40.54,54.01
(주)가영세라믹스,095959,2020/12,UQ,157771,,,62.5,65.1
(주)가영세라믹스,095959,2021/12,UQ,-1303447,,,114.59,119.38
(주)가영세라믹스,095959,2022/12,UQ,13887909,,,160.39,211.88
(주)가온피앤이,079480,2015/12,NA,-4690182,,,2.08,2.04
(주)가온피앤이,079480,2016/12,AG,-246488,,,-3.24,-3.31
(주)가우넷,053709,2012/12,UQ,536965,,,0.66,4.21
(주)가우넷,053709,2013/12,UQ,742446,,,0.06,2.18
(주)가우넷,053709,2014/12,UQ,344986,,,-27.31,999999999
(주)가을디에스,096071,2019/12,NA,457058,,,0.82,1.68
(주)가을디에스,096071,2020/12,UQ,439541,,,2.27,3.06
(주)가을디에스,096071,2021/12,UQ,1395605,,,2.9,4.07
(주)가을디에스,096071,2022/12,UQ,-1751625,,,2.11,2.55
(주)가이아코퍼레이션,082911,2017/12,UQ,-4792134,-4792134,,13.58,16.7
(주)가이아코퍼레이션,082911,2018/12,UQ,-254065,-254065,,-15.91,-23.09
(주)가이아코퍼레이션,082911,2019/12,UQ,-587682,-587682,,-25.06,-39.33
(주)가이아코퍼레이션,082911,2020/12,UQ,2608206,2608206,,3.24,1.59
(주)가이아코퍼레이션,082911,2021/12,UQ,2186288,2186288,2456518,4.33,9.01
(주)가이아코퍼레이션,082911,2022/12,UQ,892761,892761,1192379,10.99,6.02
(주)가인철강,047446,2012/12,UQ,2343097,,,8.23,18.54
(주)가인철강,047446,2013/12,UQ,1562225,,,-13.46,-16.27
(주)가인철강,047446,2014/12,UQ,-664706,,,23.12,92.34
(주)가인철강,047446,2015/12,UQ,2579767,,,165.47,999999999
(주)가인철강,047446,2016/12,UQ,-227502,,,50.88,999999999
(주)가인철강,047446,2017/12,UQ,-1517679,,,11.32,21.23
(주)가인철강,047446,2018/12,UQ,1760526,,,1.68,999999999
(주)가인철강,047446,2019/12,UQ,499112,,,9.78,-1.84
(주)가인철강,047446,2020/12,UQ,2973787,,,43.15,999999999
(주)가인철강,047446,2021/12,UQ,-163125,,,118.43,999999999
(주)가인철강,047446,2022/12,UQ,374402,,,2.76,16.34
(주)강남수산,104986,2021/12,NA,1044497,,,0.77,1.49
(주)강남수산,104986,2022/12,UQ,59066,,,1.07,1.15
(주)강남텔레콤,089580,2018/12,NA,-556397,,,1.3,0.67
(주)강남텔레콤,089580,2019/12,QS,954694,,,1.28,1.05
(주)거산,076358,2015/12,NA,429305,,,1.01,999999999
(주)거산,076358,2016/12,QS,33656,,,-2.49,-10.84
(주)거산특수강,053463,2012/12,UQ,-3250117,,,9.13,15.7
(주)거산특수강,053463,2013/12,UQ,700856,,,9.65,17.67
(주)거산특수강,053463,2014/12,UQ,-1704100,,,4.04,5.86
(주)거산특수강,053463,2015/12,UQ,454706,,,2.59,4.62
(주)거산특수강,053463,2016/12,UQ,238624,,,2.87,2.79
(주)거산특수강,053463,2017/12,UQ,21219,,,2.1,1.83
(주)거산특수강,053463,2018/12,UQ,-2405892,,,1.89,1.34
(주)거산특수강,053463,2019/12,UQ,1734228,,,1.5,1.35
(주)거산특수강,053463,2020/12,UQ,1298430,,,2.05,2.12
(주)거산특수강,053463,2021/12,UQ,-1801485,,,0.36,20.44
(주)거산특수강,053463,2022/12,UQ,-2025243,,,1.39,2.11
(주)거영코포레이션,086358,2017/12,NA,-983441,,,3.66,7.48
(주)거영코포레이션,086358,2018/12,QS,261812,,,4.45,-0.86
(주)거원유통,099779,2020/12,NA,2489581,,,-5.4,-5.65
(주)거원유통,099779,2021/12,QS,1619461,,,5.27,34.03
(주)거원유통,099779,2022/12,UQ,1545768,,,7.3,39.98
(주)건강과행복,068013,2012/12,NA,1004758,,,-1.69,-1.71
(주)건강과행복,068013,2013/12,QS,-1144118,,,-1.24,-1.77
(주)건설자재산업,091052,2018/12,NA,863093,,,5.33,5.6
(주)건설자재산업,091052,2019/12,QS,1284490,,,2.07,-5.03
(주)건설자재산업,091052,2020/12,UQ,-882994,,,1.94,15.1
(주)건종,081136,2016/12,NA,5402667,,,999999999,999999999
(주)건종,081136,2017/12,QS,-6228875,,,999999999,999999999
(주)건종,081136,2018/12,UQ,5233934,,,999999999,999999999
(주)건종,081136,2019/12,UQ,1229224,,,999999999,999999999
(주)건종,081136,2020/12,UQ,-484918,,,999999999,999999999
(주)건종,081136,2021/12,UQ,6469844,,,220.03,999999999
(주)건종,081136,2022/12,UQ,-237575,,,31.11,999999999
(주)건화코포레이션,083381,2017/12,NA,2030866,,,-1.12,-1.84
