회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(주)일성아이엔디,096058,2019/12,NA,-356174,,,-4.69,-1.3
(주)일성아이엔디,096058,2020/12,UQ,-100821,,,-0.3,1.16
(주)일성아이엔디,096058,2021/12,UQ,327017,,,-0.38,-9.48
(주)일성아이엔디,096058,2022/12,UQ,-74237,,,-0.15,-0.22
(주)일신미래대토,098635,2020/12,NA,1252177,,,999999999,999999999
(주)일신미래대토,098635,2021/12,UQ,-1016732,,,999999999,999999999
(주)일신미래대토,098635,2022/12,UQ,76475,,,999999999,999999999
(주)일신피앤씨,077033,2015/12,NA,-4509372,,,-2.96,-2.97
(주)일신피앤씨,077033,2016/12,UQ,-3912668,,,-0.58,-0.58
(주)일신피앤씨,077033,2017/12,UQ,47210657,,,-0.44,-0.45
(주)일신피앤씨,077033,2018/12,UQ,956652,,,0.12,0.13
(주)일신피앤씨,077033,2019/12,UQ,-5678009,,,0.23,0.21
(주)일신피앤씨,077033,2020/12,UQ,923364,,,0.26,0.26
(주)일신피앤씨,077033,2021/12,UQ,-474601,,,0.46,0.45
(주)일신피앤씨,077033,2022/12,UQ,4725,,,0.64,0.64
(주)일우산업개발,083209,2016/12,NA,5219118,,,-0.01,-0.01
(주)일우산업개발,083209,2017/12,UQ,2068937,,,10.34,9.47
(주)임광아이앤씨,059655,2016/12,QG,149701,,,93.58,95.82
(주)임광아이앤씨,059655,2017/12,QG,-261220,,,506.54,557.38
(주)자광,085178,2017/12,NA,-20774498,,,-2.99,-3.12
(주)자광,085178,2018/12,UQ,-196361613,,,-0.32,-0.49
(주)자광,085178,2019/12,UQ,-17804150,,,-0.23,-0.29
(주)자광,085178,2020/12,UQ,-16720892,,,-0.26,-0.19
(주)자광,085178,2021/12,UQ,-19798853,,,-0.34,-0.46
(주)자광,085178,2022/12,UQ,-29015825,,,-1.95,-2.35
(주)자사제이에스엠,059670,2012/12,DS,0,,,-2.67,0.82
(주)자연디앤씨,069858,2013/12,NA,-7208896,,,-14,-13.6
(주)자연디앤씨,069858,2014/12,QS,-10254277,,,12.59,13.12
(주)자연디앤씨,069858,2015/12,QS,22274343,,,4.97,5.46
(주)자이코리아,052588,2012/12,UQ,146507,,,999999999,999999999
(주)자이코리아,052588,2013/12,UQ,80920,,,999999999,999999999
(주)자이코리아,052588,2014/12,UQ,93955,,,999999999,999999999
(주)자인텍,091593,2018/12,NA,0,,,-0.54,-0.55
(주)자인텍,091593,2019/12,DS,0,,,0.68,1.33
(주)장위홀딩스,089964,2018/12,NA,-14558379,,,-1.73,-1.79
(주)장위홀딩스,089964,2019/12,UQ,-3777856,,,3.11,3.24
(주)장위홀딩스,089964,2020/12,UQ,-3707782,,,4.09,4.47
(주)장위홀딩스,089964,2021/12,UQ,8553427,,,-2.25,-2.39
(주)장위홀딩스,089964,2022/12,UQ,-616754,,,0.13,0.17
(주)장한산업,067310,2012/12,NA,37423,,,0.57,0.57
(주)장한산업,067310,2013/12,UQ,179381,,,1.17,1.17
(주)장한산업,067310,2014/12,UQ,167485,,,1.01,1.05
(주)장한산업,067310,2015/12,UQ,407549,,,0.82,0.84
(주)장한산업,067310,2016/12,UQ,183312,,,0.5,0.96
(주)장한산업,067310,2017/12,UQ,208562,,,0.96,0.94
(주)장한산업,067310,2018/12,UQ,269688,,,1.1,1.14
(주)장한산업,067310,2019/12,UQ,246324,,,1.17,1.2
(주)장형,087550,2017/12,NA,4358070,,,3.55,6.78
(주)장형,087550,2018/12,UQ,5226012,,,3.02,4.95
(주)장형,087550,2019/12,UQ,2413652,,,4.36,6.77
(주)장형,087550,2020/12,UQ,3356233,,,4.15,4.38
(주)장형,087550,2021/12,UQ,2018001,,,5.87,5.89
(주)장형,087550,2022/12,UQ,648322,,,4.26,4.39
(주)재경이앤지,074194,2014/12,NA,2533779,,,-6.45,-6.55
(주)재경이앤지,074194,2015/12,UQ,-4636301,,,13.58,14.94
(주)재경이앤지,074194,2016/12,UQ,-1609902,,,2.98,2.7
(주)재경이앤지,074194,2017/12,UQ,-306496,,,5.02,5.34
(주)재경이앤지,074194,2018/12,UQ,-3998140,,,6.69,7.05
(주)재경이앤지,074194,2019/12,UQ,10590926,,,1.95,2.39
(주)재경이앤지,074194,2020/12,UQ,1418659,,,-3.57,-4.01
(주)재경이앤지,074194,2021/12,UQ,3402190,,,5.04,112.78
(주)재경이앤지,074194,2022/12,UQ,816449,,,-0.07,999999999
(주)재경홀딩스,062027,2012/12,UQ,157849,,,1.23,1.3
(주)재경홀딩스,062027,2013/12,UQ,293826,,,0.88,1.03
(주)재경홀딩스,062027,2014/12,UQ,258131,,,1.13,1.3
(주)재경홀딩스,062027,2015/12,UQ,249855,,,2.83,3.29
(주)재경홀딩스,062027,2016/12,UQ,6437330,,,-0.46,0.53
(주)재경홀딩스,062027,2017/12,UQ,-122020,,,2.18,3.1
(주)재경홀딩스,062027,2018/12,UQ,-5725406,,,3.55,4.35
(주)재경홀딩스,062027,2019/12,UQ,326716,,,3.3,4.67
(주)재림통상,081311,2016/12,NA,170009,,,1.59,3.31
(주)재림통상,081311,2017/12,UQ,273896,,,1.13,1.8
(주)재림통상,081311,2018/12,UQ,158540,,,0.79,2.88
(주)재림통상,081311,2019/12,UQ,71930,,,1.11,1.14
(주)재림통상,081311,2020/12,UQ,775621,,,1.15,1.32
(주)재림통상,081311,2021/12,UQ,547816,,,0.93,2.26
(주)재림통상,081311,2022/12,UQ,524640,,,0.12,0.34
(주)재승디넥스,077701,2015/12,NA,-578760,,,7.56,10.2
(주)재승디넥스,077701,2016/12,UQ,1794672,,,-0.16,999999999
(주)재승디넥스,077701,2017/12,UQ,10654755,,,-35.59,999999999
(주)재원,073782,2014/12,NA,-1170857,,,1.7,4.46
(주)재원,073782,2015/12,UQ,38852,,,1.44,1.56
(주)재원,073782,2016/12,UQ,455219,,,2.42,2.46
(주)재원,073782,2017/12,UQ,356625,,,3.11,5.55
(주)재이디개발,102877,2021/12,NA,4678921,,,999999999,999999999
(주)재이디개발,102877,2022/12,UQ,-693410,,,999999999,999999999
(주)재인에스테이트,099419,2020/12,NA,56779,,,0.92,0.98
(주)재인에스테이트,099419,2021/12,UQ,145833,,,1.4,1.42
(주)재인에스테이트,099419,2022/12,UQ,169659,,,1.73,1.76
(주)재찬,082640,2016/12,NA,-521769,,,999999999,999999999
(주)재찬,082640,2017/12,UQ,-1157446,,,-0.73,4.65
(주)재형개발,083303,2016/12,NA,-11167278,,,-0.38,-1.38
(주)재형개발,083303,2017/12,UQ,15489754,,,14.69,15.77
(주)저스트원디앤씨,073553,2014/12,NA,-24059187,,,1.03,1.05
(주)저스트원디앤씨,073553,2015/12,UQ,5931477,,,8.11,8.8
(주)저스트원디앤씨,073553,2016/12,UQ,-6476894,,,11.1,11.24
(주)저스트원디앤씨,073553,2017/12,UQ,52678283,,,127.79,223.68
(주)저스트원디앤씨,073553,2018/12,UQ,-5276304,,,999999999,999999999
(주)저스트원디앤씨,073553,2019/12,UQ,700122,,,999999999,999999999
(주)정도,104498,2021/12,NA,-4812797,,,-1.27,-1.3
(주)정도,104498,2022/12,UQ,-5331802,,,999999999,999999999
(주)정도개발,095322,2019/12,NA,-18794583,,,999999999,999999999
(주)정도개발,095322,2020/12,UQ,-8640636,,,-0.1,-0.1
(주)정도개발,103157,2021/12,NA,-11448939,,,-1.23,-1.23
(주)정도개발,095322,2021/12,UQ,-7465249,,,-0.28,-0.28
(주)정도개발,103157,2022/12,QS,4450225,,,3.54,3.43
(주)정도개발,095322,2022/12,UQ,-742804,,,-0.22,-0.19
(주)정도산업개발,100509,2020/12,NA,-5242115,,,1.78,5.18
(주)정도산업개발,100509,2021/12,QS,-809853,,,2.44,1.81
(주)정도산업개발,100509,2022/12,UQ,2913569,,,2.08,2.11
(주)정림종합건설,049222,2012/12,UQ,-6808947,,,-4.75,-0.58
(주)정무이앤에이,087086,2017/12,NA,15378946,,,999999999,999999999
(주)정무이앤에이,087086,2018/12,QS,1174286,,,999999999,999999999
(주)정무이앤에이,087086,2019/12,UQ,-839431,,,-133.48,999999999
(주)정무이앤에이,087086,2020/12,UQ,-3287291,,,26.6,69.98
(주)정무이앤에이,087086,2021/12,UQ,-1596129,,,1.78,2.11
(주)정무이앤에이,087086,2022/12,DS,-1305564,,,-2.26,-2.94
(주)정민디앤씨,087608,2017/12,NA,-11350105,,,-2.84,-3.44
(주)정민디앤씨,087608,2018/12,UQ,-4796958,,,3.13,3.17
(주)정민디앤씨,087608,2019/12,UQ,-2746796,,,-3.32,-3.34
(주)정상개발,052408,2012/12,UQ,1070438,,,1.75,1.78
(주)정상개발,052408,2013/12,UQ,1418923,,,1.23,1.23
(주)정상개발,052408,2014/12,UQ,2357698,,,1.49,1.5
(주)정상개발,052408,2015/12,UQ,1902968,,,1.55,1.69
