회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(유)로젠택배광주지점,100026,2020/12,NA,1194285,,,3.89,4.18
(유)로젠택배광주지점,100026,2021/12,UQ,2684537,,,3.9,4.97
(유)로젠택배광주지점,100026,2022/12,UQ,1045530,,,2.43,2.68
(유)새천안교통,089201,2018/12,NA,1498753,,,-0.08,0.26
(유)새천안교통,089201,2019/12,UQ,374252,,,-2.56,-2.15
(유)새천안교통,089201,2020/12,UQ,-689775,,,-5.25,-3.84
(유)새천안교통,089201,2021/12,UQ,809702,,,0.14,0.84
(유)새천안교통,089201,2022/12,UQ,1293797,,,-0.91,-0.4
(유)전일여객,096194,2019/12,NA,1326351,,,-0.78,-0.31
(유)전일여객,096194,2020/12,QS,88014,,,-2.46,-2.84
(유)전일여객,096194,2021/12,UQ,1074353,,,-5.73,-6.59
(유)전일여객,096194,2022/12,UQ,3557670,,,-1.9,-2.23
(유)호남고속,096438,2019/12,NA,5152926,,,10.84,999999999
(유)호남고속,096438,2020/12,QS,1592949,,,-20.25,-18.44
(유)호남고속,096438,2021/12,UQ,1189296,,,-19.58,999999999
(유)호남고속,096438,2022/12,UQ,1220210,,,-11.38,-36.78
(주)GC케어,093093,2020/12,UQ,-2205670,-2205670,,-0.06,-0.18
(주)GC케어,093093,2021/12,UQ,13047528,13047528,,-0.55,0
(주)GC케어,093093,2022/12,UQ,-5294464,-5294464,-1298169,-1,-1.26
(주)SH로지스틱스&테크놀로지,063199,2012/12,UQ,-387311,,,1.38,1.93
(주)SH로지스틱스&테크놀로지,063199,2013/12,UQ,65442,,,2.67,3.86
(주)SH로지스틱스&테크놀로지,063199,2014/12,UQ,921598,,,2.7,6.59
(주)SH로지스틱스&테크놀로지,063199,2015/12,UQ,254569,,,2.35,999999999
(주)SPL,094399,2019/12,NA,-396569,,,-0.05,-0.05
(주)SPL,094399,2020/12,UQ,1004291,,,0.36,0.36
(주)SPL,094399,2021/12,UQ,1613549,,,1.57,1.58
(주)SPL,094399,2022/12,UQ,1732542,,,0.8,0.81
(주)가나마린,061723,2012/12,UQ,806640,,,-1.69,0.72
(주)가나마린,061723,2013/12,UQ,738090,,,0.03,1.91
(주)가나마린,061723,2014/12,UQ,-1009668,,,0.79,-13.59
(주)가나마린,061723,2018/12,UQ,1252225,,,8.39,8.89
(주)가나마린,061723,2019/12,UQ,-180328,,,3.11,3.64
(주)가나마린,061723,2020/12,UQ,2384049,,,1.67,8.06
(주)가나마린,061723,2021/12,UQ,72835,,,12.25,8.79
(주)가나마린,061723,2022/12,UQ,1055410,,,4.42,2.5
(주)가나아트갤러리,017417,2012/12,UQ,-5282810,,,-0.14,1.11
(주)가나아트갤러리,017417,2013/12,UQ,1598488,,,1.71,1.87
(주)가나아트갤러리,017417,2014/12,UQ,352024,,,2.07,2.33
(주)가나아트갤러리,017417,2015/12,UQ,3650982,,,3.01,2.17
(주)가나아트갤러리,017417,2016/12,UQ,-2455058,,,2.47,1.78
(주)가나아트갤러리,017417,2017/12,UQ,2648704,,,4.49,4.82
(주)가나아트갤러리,017417,2018/12,UQ,1154862,,,2.1,3.1
(주)가나아트갤러리,017417,2019/12,UQ,-5372131,,,-2.01,-2.72
(주)가나아트갤러리,017417,2020/12,UQ,-5366555,,,-0.15,1.42
(주)가나아트갤러리,017417,2021/12,UQ,949899,,,1.51,8.2
(주)가나아트갤러리,017417,2022/12,UQ,-1027303,,,2.05,3.23
(주)가보관광산업,064248,2012/12,UQ,229254,,,1.11,1.16
(주)가보관광산업,064248,2013/12,UQ,358343,,,1.37,1.41
(주)가보관광산업,064248,2014/12,UQ,260778,,,0.86,1.07
(주)가보관광산업,064248,2015/12,UQ,2982,,,-0.66,-0.62
(주)가보관광산업,064248,2016/12,UQ,130259,,,0.06,0.12
(주)가보관광산업,064248,2017/12,UQ,-577128,,,-7.25,6.8
(주)가야호텔,058439,2012/12,UQ,-259358,,,1.73,1.73
(주)가야호텔,058439,2013/12,UQ,653134,,,2.29,2.32
(주)가야호텔,058439,2014/12,QG,178661,,,1.42,0.75
(주)가야호텔,058439,2015/12,QG,540013,,,2.05,1.95
(주)가야호텔,058439,2016/12,QG,-65187,,,-2.24,-2.13
(주)가야호텔,058439,2017/12,QU,-864936,,,-2.35,17.51
(주)가야호텔,058439,2018/12,UQ,87064,,,-2.36,-2.02
(주)가야호텔,058439,2019/12,UQ,-187949,,,-2.75,-2.35
(주)가야호텔,058439,2020/12,UQ,-1340876,,,-105.64,-150.13
(주)가이아로지스,071083,2013/12,NA,-77658,,,999999999,999999999
(주)가이아로지스,071083,2014/12,UQ,-42793,,,-0.16,-0.17
(주)가이아로지스,071083,2015/12,UQ,542008,,,1.55,1.57
(주)가이아로지스,071083,2016/12,UQ,444110,,,1.4,1.32
(주)가이아로지스,071083,2017/12,UQ,302532,,,1.14,1.14
(주)가이아로지스,071083,2018/12,UQ,503295,,,1.15,1.16
(주)가이아로지스,071083,2019/12,UQ,-417162,,,-1.33,26.78
(주)가이아물류,065435,2012/06,NA,677784,,,-1.37,-1.34
(주)가이아물류,065435,2013/06,UQ,110711,,,0.03,0.17
(주)가이아물류,065435,2014/06,UQ,247184,,,0.98,1.1
(주)가이아물류,065435,2015/06,UQ,116664,,,1.03,1.04
(주)가이아물류,065435,2016/06,UQ,440705,,,1.36,1.36
(주)가이아물류,065435,2017/06,UQ,412047,,,1.71,2
(주)가이아물류,065435,2018/06,UQ,353471,,,1.42,1.7
(주)가이아물류,065435,2019/06,NA,379949,,,1.44,1.84
(주)가이아물류,065435,2020/06,UQ,406906,,,1.52,1.91
(주)가현산업개발,066535,2012/12,NA,-390283,,,0.13,0.12
(주)가현산업개발,066535,2013/12,UQ,-759752,,,0.07,-0.82
(주)가현산업개발,066535,2014/12,UQ,-348656,,,0.07,0.09
(주)가현산업개발,066535,2015/12,UQ,-617976,,,0.29,0.37
(주)가현산업개발,066535,2016/12,UQ,-278362,,,-0.06,-0.06
(주)가현산업개발,066535,2017/12,UQ,-805352,,,-0.17,-0.18
(주)가현산업개발,066535,2018/12,UQ,-592688,,,-0.26,-0.24
(주)가현산업개발,066535,2019/12,UQ,-562911,,,-0.12,-0.15
(주)가현산업개발,066535,2020/12,UQ,-451758,,,-0.13,-0.14
(주)가현산업개발,066535,2021/12,UQ,-439664,,,-0.1,-0.11
(주)가현산업개발,066535,2022/12,UQ,-624006,,,-0.2,-0.21
(주)강남선박,062202,2012/12,UQ,1492764,,,1.15,2.01
(주)강남선박,062202,2015/12,UQ,314538,,,-0.75,0.72
(주)강남선박,062202,2016/12,UQ,192593,,,-7.48,-4.96
(주)강남선박,062202,2017/12,UQ,-383163,,,-4.38,-3.19
(주)강남선박,062202,2018/12,UQ,118813,,,-7.37,-6.71
(주)강릉식자재마트,104806,2021/12,NA,317592,,,7.12,7.86
(주)강릉식자재마트,104806,2022/12,QS,854759,,,3.26,14.19
(주)강릉씨티호텔,090424,2018/12,NA,-659429,,,0.99,1.03
(주)강릉씨티호텔,090424,2019/12,UQ,-157493,,,-0.02,999999999
(주)강릉씨티호텔,090424,2020/12,UQ,296790,,,1.04,1.19
(주)강호,093407,2019/12,NA,415423,,,16.71,999999999
(주)강호,093407,2020/12,UQ,-908893,,,-343.21,999999999
(주)갤러리케이,101224,2020/12,NA,-1666939,,,2.03,2.05
(주)갤러리케이,101224,2021/12,QS,2751493,,,4.32,10.19
(주)갤러리케이,101224,2022/12,UQ,10902673,,,22.83,227.64
(주)갤러리현대,048644,2012/12,UQ,-795391,,,0.24,1.26
(주)갤러리현대,048644,2013/12,UQ,927989,,,1.17,1.28
(주)갤러리현대,048644,2014/12,UQ,-2756407,,,1.41,2.07
(주)갤러리현대,048644,2015/12,UQ,-2784022,,,6.02,17.88
(주)갤러리현대,048644,2016/12,UQ,2348255,,,8.93,999999999
(주)갤러리현대,048644,2017/12,UQ,4159068,,,2.49,4.6
(주)갤러리현대,048644,2018/12,UQ,-728904,,,4.67,6.28
(주)갤러리현대,048644,2019/12,UQ,-1366422,,,1.1,1.43
(주)갤러리현대,048644,2020/12,UQ,351283,,,3.37,4.09
(주)갤러리현대,048644,2021/12,UQ,5249129,,,16.45,22.6
(주)갤러리현대,048644,2022/12,UQ,2004735,,,12.78,10.45
(주)거성씨앤씨,090560,2018/12,NA,847053,,,1.72,-0.35
(주)거성씨앤씨,090560,2019/12,QS,995817,,,1.25,1.6
(주)거촌,079451,2015/12,NA,349983,,,1.8,2.03
(주)거촌,079451,2016/12,UQ,332764,,,1.71,2.06
(주)거촌,079451,2017/12,UQ,-649231,,,1.98,2.61
(주)거촌,079451,2018/12,UQ,338133,,,2.17,2.21
(주)거촌,079451,2019/12,UQ,-811801,,,1.98,2
(주)거촌,079451,2020/12,QS,-546548,,,-0.28,-0.22
(주)거촌,079451,2021/12,UQ,20814,,,-0.11,-0.12
(주)거촌,079451,2022/12,UQ,107332,,,0.72,0.79
(주)경기마트,076212,2015/12,NA,0,,,2.24,2.64
(주)경기마트,076212,2016/12,DS,0,,,2.2,2.68
(주)경기버스,063697,2012/12,UQ,3358795,,,2.05,36.76
