회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(유)네이쳐우드,102984,2021/12,NA,-6929723,,,-44.8,80.74
(유)네이쳐우드,102984,2022/12,QS,982849,,,4.54,-0.09
(유)딘텍스코리아,078313,2015/12,NA,-553918,,,1.36,1.45
(유)딘텍스코리아,078313,2016/12,QS,879590,,,1.42,1.71
(유)딘텍스코리아,078313,2019/12,NA,0,,,-5.07,-7.25
(유)딘텍스코리아,078313,2020/12,DS,0,,,-15.97,-84.22
(유)보문특수칼라,094606,2019/12,NA,3177839,,,3.29,3.92
(유)보문특수칼라,094606,2020/12,UQ,2743904,,,2.84,3.4
(유)보문특수칼라,094606,2021/12,UQ,3571743,,,8.58,11.53
(유)보문특수칼라,094606,2022/12,UQ,3526779,,,5.19,7.23
(유)충무타올,096085,2019/12,NA,213628,,,1.95,3.33
(유)충무타올,096085,2020/12,QS,500629,,,0.7,2.65
(유)충무타올,096085,2021/12,UQ,847595,,,1.34,3.3
(유)충무타올,096085,2022/12,UQ,610056,,,2.87,4.31
(주)D.L섬유,064345,2012/12,QS,960228,,,1.53,1.56
(주)D.L섬유,064345,2013/12,UQ,647631,,,1.66,2.01
(주)D.L섬유,064345,2014/12,UQ,787591,,,0.67,1.21
(주)D.L섬유,064345,2015/12,UQ,430142,,,1.02,2.21
(주)D.L섬유,064345,2016/12,UQ,-373161,,,-2.99,-6.68
(주)ENS,030661,2012/12,UQ,1792749,,,0.7,1.19
(주)ENS,030661,2013/12,UQ,-199876,,,0.68,1.35
(주)ENS,030661,2014/12,UQ,-863722,,,1.15,1.65
(주)ENS,030661,2015/12,UQ,-4540157,,,-15.18,-8.31
(주)ENS,030661,2016/12,UQ,794381,,,2.31,1.4
(주)ENS,030661,2017/12,UQ,327209,,,-36.32,-35.3
(주)G.M식품,100876,2020/12,NA,-2357847,,,-9.04,-34.47
(주)G.M식품,100876,2021/12,DU,78928,,,-10.14,-8.22
(주)GBSTYLE,029522,2012/12,UQ,1561136,,,2.45,2.1
(주)GBSTYLE,029522,2013/12,UQ,-3832190,,,2.89,2.93
(주)GBSTYLE,029522,2014/12,UQ,-3965218,,,1.22,3.44
(주)GBSTYLE,029522,2015/12,UQ,214892,,,1.68,1.84
(주)GBSTYLE,029522,2016/12,UQ,2385422,,,2.07,2.07
(주)GBSTYLE,029522,2017/12,UQ,-2688661,,,2.23,2.79
(주)GBSTYLE,029522,2018/12,UQ,7328722,,,1.23,1.24
(주)GBSTYLE,029522,2019/12,UQ,-184974,,,-10.06,-13.62
(주)GBSTYLE,029522,2020/12,UQ,3780492,,,2.49,2.27
(주)GBSTYLE,029522,2021/12,UQ,3297488,,,2.73,12.89
(주)GBSTYLE,029522,2022/12,UQ,1526851,,,0.77,0.67
(주)SRC,080886,2016/12,NA,329379,,,1.42,3
(주)SRC,080886,2017/12,QS,1642322,,,2.65,2.99
(주)SRC,080886,2018/12,UQ,-402697,,,2.67,4.12
(주)SRC,080886,2019/12,UQ,2930362,,,7.68,6.35
(주)SRC,080886,2020/12,UQ,-527004,,,-7.27,-9.03
(주)SRC,080886,2021/12,UQ,630481,,,3.3,3.81
(주)SRC,080886,2022/12,UQ,-734822,,,4.02,3.51
(주)가온푸드,094680,2019/12,NA,1979514,,,352.4,999999999
(주)가온푸드,094680,2020/12,QS,1463246,,,68.1,999999999
(주)가온푸드,094680,2021/12,UQ,1966394,,,59.37,74.73
(주)가온푸드,094680,2022/12,UQ,3336696,,,119.63,999999999
(주)가인물산,068891,2013/12,NA,511791,,,22.9,24.67
(주)가인물산,068891,2014/12,QS,-1539226,,,47.85,96.99
(주)가인물산,068891,2015/12,UQ,969149,,,90.46,117.38
(주)가인물산,068891,2016/12,UQ,4344299,,,45.42,53.17
(주)가인물산,068891,2017/12,UQ,-633000,,,-47.45,-68.09
(주)가인물산,068891,2018/12,UQ,-1007864,,,-205.86,-102
(주)강원엘피씨,019670,2012/12,UQ,367068,367068,,-0.51,0.06
(주)강원엘피씨,019670,2013/12,UQ,3276310,3276310,,2.07,3.08
(주)강원엘피씨,019670,2014/12,UQ,6371361,6371361,,5.75,11.25
(주)개미식품,085170,2017/12,NA,2983967,,,49.82,57.18
(주)개미식품,085170,2018/12,UQ,3334168,,,26.27,179.34
(주)개미식품,085170,2019/12,UQ,2079047,,,33.41,999999999
(주)개미식품,085170,2020/12,UQ,1507907,,,65.5,999999999
(주)개미식품,085170,2021/12,UQ,4321987,,,8510.36,999999999
(주)개미식품,085170,2022/12,UQ,1349366,,,7125.51,999999999
(주)갤러리에이엠,078440,2015/12,NA,5976821,,,81.03,132.98
(주)갤러리에이엠,078440,2016/12,QS,434063,,,10.42,12.58
(주)갤러리에이엠,078440,2017/12,UQ,1892628,,,3.32,3.14
(주)갤러리에이엠,078440,2018/12,UQ,2466291,,,2.51,3.2
(주)갤러리에이엠,078440,2019/12,UQ,89232,,,1.92,1.04
(주)갤러리에이엠,078440,2020/12,UQ,309700,,,2.17,2.34
(주)갤러리에이엠,078440,2021/12,UQ,-2303183,,,0.56,1.3
(주)갤러리에이엠,078440,2022/12,UQ,927059,,,1.38,1.31
(주)거림트렌드,099799,2020/12,NA,323559,,,19.8,999999999
