회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(유)랍코리아,038598,2021/09,UQ,3269476,3269476,,76.53,2424.13
(유)랍코리아,038598,2022/09,UQ,159867,159867,,103.34,999999999
(유)에스아이지,058564,2012/12,UQ,8769088,,,999999999,999999999
(유)에스아이지,058564,2013/12,UQ,9962315,,,999999999,999999999
(유)에스아이지,058564,2014/12,UQ,20152255,,,999999999,999999999
(유)에스아이지,058564,2015/12,UQ,11554216,,,999999999,999999999
(유)에스아이지,058564,2019/12,NA,899177,,,999999999,999999999
(유)에스아이지,058564,2020/12,UQ,30122253,,,999999999,999999999
(유)에스아이지,058564,2021/12,UQ,23477626,,,999999999,999999999
(유)에스아이지,058564,2022/12,UQ,36548441,,,-0.51,999999999
(유)포리코리아,038721,2020/12,NA,5052656,,,168.28,918.62
(유)포리코리아,038721,2021/12,UQ,289997,,,36702.67,999999999
(유)포리코리아,038721,2022/12,UQ,5651533,,,102093.24,999999999
(유)한성산기,095599,2019/12,NA,531090,,,0.6,0.33
(유)한성산기,095599,2020/12,UQ,1031193,,,3.53,8.19
(유)한성산기,095599,2021/12,UQ,4007998,,,6,9.45
(유)한성산기,095599,2022/12,UQ,-2912226,,,1.89,1.99
(주)ATS엔지니어링,061907,2012/12,UQ,-2173554,,,-3.61,-4.51
(주)ATS엔지니어링,061907,2013/12,UQ,-1702537,,,-2.11,-5.38
(주)ATS엔지니어링,061907,2014/12,UQ,2036238,,,1.53,1.58
(주)ATS엔지니어링,061907,2015/12,UQ,-867623,,,-0.94,-2.12
(주)ATS엔지니어링,061907,2016/12,DU,1286292,,,-16.37,-17.24
(주)ATS엔지니어링,061907,2017/12,QS,-743120,,,-4.71,-3.83
(주)GIMCO,072726,2014/12,NA,-1294005,,,5.68,5.79
(주)GIMCO,072726,2015/12,UQ,5278775,,,8,7.97
(주)GIMCO,072726,2016/12,UQ,1705004,,,7.15,7.16
(주)GIMCO,072726,2017/12,UQ,-1824836,,,-4.13,1.72
(주)IEN한창,045661,2012/12,UQ,847873,,,0.08,4.51
(주)IEN한창,045661,2013/12,UQ,-978453,,,1.5,-1.15
(주)IEN한창,045661,2014/12,UQ,1364115,,,1.32,1.55
(주)IEN한창,045661,2015/12,UQ,-4261804,,,0.67,-17.91
(주)IEN한창,045661,2016/12,UQ,-731675,,,1.97,3.48
(주)IEN한창,045661,2017/12,UQ,-2464742,,,1.19,4.93
(주)IEN한창,045661,2018/12,UQ,1574737,,,2.27,0.08
(주)IEN한창,045661,2019/12,UQ,5995441,,,1.33,8.5
(주)IEN한창,045661,2020/12,UQ,2942433,,,3.51,36.62
(주)IEN한창,045661,2021/12,UQ,14248769,,,4.56,999999999
(주)IEN한창,045661,2022/12,UQ,20982613,,,50.61,153.87
(주)JK알에스티,063959,2012/12,UQ,-606472,,,1.99,2.93
(주)JK알에스티,063959,2013/12,UQ,1767107,,,3.15,4.65
(주)JK알에스티,063959,2014/12,UQ,1736503,,,5.19,7.39
(주)JK알에스티,063959,2015/12,UQ,891033,,,4.63,7.42
(주)JK알에스티,063959,2016/12,UQ,1416292,,,3.78,9.35
(주)JK알에스티,063959,2017/12,UQ,2300009,,,4.8,6.77
(주)JK알에스티,063959,2018/12,UQ,4323438,,,10.23,13.73
(주)JK알에스티,063959,2019/12,UQ,2591163,,,8.61,13.5
(주)JK알에스티,063959,2020/12,UQ,6878415,,,36.99,196.26
(주)JK알에스티,063959,2021/12,UQ,-812270,,,10.98,999999999
(주)JK알에스티,063959,2022/12,UQ,1283806,,,12.35,165.17
(주)JNC하이텍,063938,2012/12,QS,1334797,,,1.72,2.38
(주)JNC하이텍,063938,2013/12,UQ,321788,,,2.73,2.85
(주)JNC하이텍,063938,2014/12,UQ,-525553,,,3.41,6.39
(주)JNC하이텍,063938,2015/12,UQ,831701,,,2.78,2.88
(주)JNC하이텍,063938,2016/12,UQ,2583486,,,8.72,9.14
(주)JNC하이텍,063938,2017/12,UQ,-1090091,,,0.33,0.53
(주)JNC하이텍,063938,2018/12,UQ,728710,,,-4.21,-4.12
(주)JNC하이텍,063938,2019/12,UQ,741268,,,-6.13,-5.95
(주)JNC하이텍,063938,2020/12,UQ,-1272971,,,0.74,1.08
(주)JNC하이텍,063938,2021/12,UQ,-67452,,,1.12,1.33
(주)JNC하이텍,063938,2022/12,UQ,39357,,,1.75,1.6
(주)KHE,027325,2012/12,UQ,18885789,,,2.53,1.67
(주)KHE,027325,2013/12,UQ,6466794,,,2.38,2.24
(주)KHE,027325,2014/12,UQ,-10850187,,,2.96,2.71
(주)KHE,027325,2015/12,UQ,29748907,,,4.1,2.95
(주)KHE,027325,2016/12,UQ,4712546,,,4.32,3.22
(주)KHE,027325,2017/12,UQ,4475497,,,4.78,1.53
(주)KHE,027325,2018/12,UQ,-11060006,,,-24.92,-25.74
(주)KHE,027325,2019/12,DU,-8145556,,,-3.89,-5.62
(주)KHE,027325,2020/12,UQ,-4104721,,,-21.4,-539.67
(주)KHE,027325,2021/12,UQ,-3243975,,,999999999,999999999
(주)KHE,027325,2022/12,UQ,8968063,8968063,,2.75,5.72
(주)KLT,102656,2021/12,NA,2055673,,,1.34,999999999
(주)KLT,102656,2022/12,UQ,1153603,,,10.77,10.7
(주)KTE,026849,2012/12,UQ,2910331,,,-9.75,-53.12
(주)KTE,026849,2013/12,UQ,-6047230,,,-5.68,-15.23
(주)KTE,026849,2014/12,UQ,398690,,,4.35,4.63
(주)KTE,026849,2015/12,UQ,14971539,14971539,15007964,5.86,7.22
(주)KTE,026849,2016/12,UQ,15711855,15711855,15438516,1.67,3.2
(주)KTE,026849,2017/12,UQ,9589854,9589854,9580260,-434.13,999999999
(주)KTE,026849,2018/12,UQ,-2927878,-2927878,-3513492,999999999,999999999
(주)KTE,026849,2019/12,UQ,1070311,1070311,1019896,999999999,999999999
(주)KTE,026849,2020/12,UQ,6713162,,,999999999,999999999
(주)KTE,026849,2021/12,UQ,4744493,,,999999999,999999999
