회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(유)동명정공,093691,2019/12,NA,3064442,,,1.82,1.93
(유)동명정공,093691,2020/12,QS,1748201,,,1.22,1.46
(유)동명정공,093691,2021/12,UQ,1866511,,,1.09,1.41
(유)동명정공,093691,2022/12,UQ,5259823,,,3.52,4.16
(유)성문,093944,2019/12,NA,1251165,,,6.61,7.8
(유)성문,093944,2020/12,UQ,2744832,,,12.65,15.9
(유)성문,093944,2021/12,UQ,2936994,,,20.62,26.52
(유)성문,093944,2022/12,UQ,1604849,,,7.97,8.8
(유)프라이그파이스트,046117,2019/12,NA,640541,,,51.31,999999999
(유)프라이그파이스트,046117,2020/12,QS,2223130,,,-1.24,999999999
(유)프라이그파이스트,046117,2021/12,QS,1082884,,,-3.84,1.82
(유)프라이그파이스트,046117,2022/12,QS,-764174,,,-19.41,-20.13
(주)21세기조선,040736,2012/12,DU,-8610438,,,0.04,-1.55
(주)DCFTREK,017676,2012/12,UQ,3098496,,,4.78,9.19
(주)DCFTREK,017676,2013/12,UQ,491732,,,-1.62,-1.21
(주)DCFTREK,017676,2014/12,UQ,-744789,,,-1.91,3.24
(주)DCFTREK,017676,2015/12,UQ,1608611,,,3.29,999999999
(주)DCFTREK,017676,2016/12,UQ,169058,,,3.43,999999999
(주)DCFTREK,017676,2017/12,UQ,4040854,,,7.95,999999999
(주)DCFTREK,017676,2018/12,UQ,392729,,,2.15,24.83
(주)DCFTREK,017676,2019/12,UQ,1579816,,,-4.96,2.37
(주)DCFTREK,017676,2020/12,UQ,-90483,,,-8.15,999999999
(주)DCFTREK,017676,2021/12,UQ,-1426359,,,8.16,999999999
(주)DCFTREK,017676,2022/12,UQ,2156379,,,11.02,999999999
(주)EG메탈,058996,2012/12,UQ,-2523641,,,-15.09,-17.66
(주)EG메탈,058996,2013/12,UQ,-4059338,,,0.04,0.01
(주)EG메탈,058996,2014/12,UQ,-264675,,,0.28,0.05
(주)EG메탈,058996,2015/12,UQ,-24782,,,-11.92,-13.6
(주)EG메탈,058996,2016/12,UQ,1402527,,,-3.18,-2.98
(주)EG메탈,058996,2017/12,UQ,1220975,,,-1.26,-6.64
(주)EG메탈,058996,2018/12,UQ,281427,,,-1.27,-27.08
(주)EG메탈,058996,2019/12,UQ,-1411336,,,-2.66,-5.46
(주)H.M.T,056408,2012/12,UQ,1616604,,,1.82,1.64
(주)H.M.T,056408,2013/12,UQ,13685893,,,-1.58,-2.22
(주)JBM,058709,2012/12,QS,1011412,,,1.29,1.9
(주)JBM,058709,2013/12,QS,910675,,,0.36,1.53
(주)JBM,058709,2014/12,QS,1053152,,,-0.5,1.37
(주)JBM,058709,2015/12,UQ,566366,,,-3.07,-6.59
(주)JBM,058709,2016/12,UQ,130528,,,1.16,1.31
(주)JBM,058709,2017/12,UQ,-2180962,,,-11.9,-13.53
(주)JBM,058709,2018/12,UQ,420419,,,1.82,2.42
(주)JW솔라파크,081903,2016/12,NA,-1447086,,,-12.17,-25.13
(주)JW솔라파크,081903,2017/12,UQ,899799,,,0.49,0.49
(주)JW솔라파크,081903,2018/12,UQ,-1805790,,,0.97,0.97
(주)JW솔라파크,081903,2019/12,UQ,7201611,,,0.86,0.87
(주)JW솔라파크,081903,2020/12,UQ,4824960,,,0.74,0.74
(주)JW솔라파크,081903,2021/12,UQ,4082670,,,0.77,0.77
(주)JW솔라파크,081903,2022/12,UQ,8061367,,,1.48,1.48
(주)XIOM,069167,2013/12,NA,-56477,,,-0.42,-4.51
(주)XIOM,069167,2014/12,UQ,1235821,,,0.11,999999999
(주)XIOM,069167,2015/12,UQ,-3954642,,,5.92,6.86
(주)XIOM,069167,2016/12,UQ,2683715,,,5.11,4.63
(주)XIOM,069167,2017/12,UQ,1387285,,,2.11,1.93
(주)XIOM,069167,2018/12,UQ,-473030,,,1.74,1.75
(주)XIOM,069167,2019/12,UQ,1326219,,,1.31,1.41
(주)XIOM,069167,2020/12,UQ,-995702,,,-3.07,-2.2
(주)XIOM,069167,2021/12,UQ,4348100,,,-0.3,-0.12
(주)XIOM,069167,2022/12,UQ,2914665,,,2.63,2.27
(주)가나공업,070187,2013/12,NA,664201,,,3.83,4.7
