회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(유)기흥모터스,094470,2019/12,NA,-1577962,,,3.24,999999999
(유)기흥모터스,094470,2020/12,UQ,5139307,,,16.38,25.49
(유)기흥모터스,094470,2021/12,UQ,6070334,,,25.87,999999999
(유)기흥모터스,094470,2022/12,UQ,-3471291,,,2.92,18.66
(유)성우이앤씨,095499,2019/12,NA,142560,,,13.65,17.19
(유)성우이앤씨,095499,2020/12,UQ,9350676,,,10.36,999999999
(유)성우이앤씨,095499,2021/12,UQ,2936622,,,17.94,38.07
(유)성우이앤씨,095499,2022/12,UQ,3497877,,,14.38,95.57
(유)실릭스,094862,2019/12,NA,29678164,,,10.91,-127.45
(유)실릭스,094862,2020/12,UQ,-19193629,,,9.88,14.25
(유)실릭스,094862,2021/12,UQ,-7160277,,,7.11,8.14
(유)실릭스,094862,2022/12,UQ,2298454,,,5.36,7.17
(유)중산MOTORS,105441,2021/12,NA,-2469868,,,1.9,2.41
(유)중산MOTORS,105441,2022/12,UQ,2866321,,,3,3.51
(유)청강건설,096132,2019/12,NA,559155,,,-351.2,999999999
(유)청강건설,096132,2020/12,QS,4073094,,,380.84,999999999
(유)청강건설,096132,2021/12,UQ,803541,,,11.08,999999999
(주)가빈,052981,2012/12,UQ,-908035,,,10.91,12.15
(주)가빈,052981,2013/12,UQ,770761,,,5.43,12.77
(주)가빈,052981,2014/12,UQ,-1581335,,,3.05,6.29
(주)가빈,052981,2015/12,UQ,920805,,,7.23,22.36
(주)가빈,052981,2016/12,UQ,1333680,,,4.81,6.44
(주)가빈,052981,2017/12,UQ,30314,,,3.6,2.85
(주)가빈,052981,2018/12,UQ,1935074,,,2.07,3.38
(주)가빈,052981,2019/12,UQ,680802,,,1.84,4.02
(주)가빈,052981,2020/12,UQ,-473075,,,5.47,5.96
(주)가빈,052981,2021/12,UQ,384908,,,6.06,14.21
(주)가빈,052981,2022/12,UQ,4486438,,,14.95,21.51
(주)가우리안,060884,2012/12,UQ,1996245,,,-3.2,-3.27
(주)가우리안,060884,2013/12,DU,1430648,,,-8.17,-16.61
(주)가우리안,060884,2014/12,UQ,932110,,,0.32,3.76
(주)가우리안,060884,2017/12,UQ,2657594,,,4.2,4.65
(주)가우리안,060884,2018/12,UQ,2867240,,,4.86,5.43
(주)가우리안,060884,2019/12,UQ,4075913,,,2.46,3.82
(주)가우리안,060884,2020/12,UQ,-1206547,,,-1.49,-1.26
(주)가우리안,060884,2021/12,UQ,5520367,,,3.16,3.58
(주)가우리안,060884,2022/12,UQ,1819057,,,0.85,1.34
(주)가이아글로벌,093274,2019/12,NA,-454597,,,2.21,2.45
(주)가이아글로벌,093274,2020/12,UQ,-42606,,,0.92,2.14
(주)가이아글로벌,093274,2021/12,UQ,682602,,,2.11,2.88
(주)가이아글로벌,093274,2022/12,UQ,-567152,,,1.46,1.54
(주)가화개발,073908,2014/12,NA,2111572,,,2.68,2.74
(주)가화개발,073908,2015/12,UQ,-390201,,,3.68,6
(주)강구토건,086108,2017/12,NA,6279869,,,29.41,37.67
(주)강구토건,086108,2018/12,UQ,5935671,,,28.27,999999999
(주)강구토건,086108,2019/12,UQ,1568430,,,18.35,63.09
(주)강구토건,086108,2020/12,UQ,946424,,,5.19,999999999
(주)강구토건,086108,2021/12,UQ,1083046,,,12.09,27.24
(주)강구토건,086108,2022/12,UQ,3877071,,,11.48,58.71
(주)거송건설,074726,2014/12,NA,-250502,,,2.39,2.39
(주)거송건설,074726,2015/12,QS,-7621071,,,9.08,9.07
(주)건우이앤씨,072913,2014/12,NA,-13943,,,4.19,999999999
(주)건우이앤씨,072913,2015/12,QU,988289,,,-25.86,-89.73
(주)겨레석재산업,064527,2012/12,QS,-153611,,,1.1,2.19
(주)겨레석재산업,064527,2013/12,UQ,96598,,,1.38,3.29
(주)겨레석재산업,064527,2014/12,UQ,265773,,,0.63,1.9
(주)경신모터스,105226,2021/12,NA,287284,,,2.08,2.1
(주)경신모터스,105226,2022/12,UQ,-149772,,,0.8,6.3
(주)경우이앤씨,049987,2012/12,UQ,374634,,,5.78,9.63
(주)경우이앤씨,049987,2013/12,UQ,2688272,,,4.27,6.46
(주)경우이앤씨,049987,2014/12,UQ,3644875,,,7.25,27.68
(주)경우이앤씨,049987,2015/12,UQ,-429855,,,8.12,999999999
(주)경우이앤씨,049987,2016/12,UQ,2528260,,,8.32,999999999
(주)경우이앤씨,049987,2017/12,UQ,2437224,,,10.79,999999999
(주)경우이앤씨,049987,2018/12,UQ,-1990691,,,5.98,-7.15
(주)경우이앤씨,049987,2019/12,UQ,-1048040,,,20.36,109.3
(주)경우이앤씨,049987,2020/12,UQ,3690061,,,45.95,999999999
(주)경우이앤씨,049987,2021/12,UQ,2054361,,,62.88,999999999
(주)경우이앤씨,049987,2022/12,UQ,2431069,,,16.27,999999999
(주)경인오토,089315,2018/12,NA,354226,,,12.24,13.94
(주)경인오토,089315,2019/12,QS,1124320,,,12.25,15
(주)경인오토,089315,2020/12,UQ,1211459,,,31.21,95.12
(주)경인오토,089315,2021/12,UQ,1305011,,,37.97,39.86
(주)경인오토,089315,2022/12,UQ,1490755,,,31.95,35.47
(주)경흥건설,082159,2016/12,NA,4895968,,,25.03,22.61
(주)경흥건설,082159,2017/12,DS,-8718833,,,-30.64,-30.1
(주)계선,012995,2012/12,UQ,1428468,,,10.44,999999999
(주)계선,012995,2013/12,UQ,579488,,,16.84,999999999
(주)계선,012995,2014/12,UQ,201416,,,703.91,999999999
(주)계선,012995,2015/12,UQ,1341474,,,-19577.61,999999999
(주)계선,012995,2016/12,UQ,4214524,,,12.32,11.62
