회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(유)더본건설,094511,2019/12,NA,11595893,,,7.99,999999999
(유)더본건설,094511,2020/12,UQ,32272,,,15.63,999999999
(유)더본건설,094511,2021/12,UQ,2765440,,,0.93,0.35
(유)유혁,098170,2020/12,NA,-8359861,,,999999999,999999999
(유)유혁,098170,2021/12,UQ,21778118,,,4.35,4.4
(유)일토씨엔엠,096548,2019/12,NA,2933476,,,41.37,999999999
(유)일토씨엔엠,096548,2020/12,UQ,4265415,,,128.81,999999999
(유)일토씨엔엠,096548,2021/12,DS,3314374,,,517.39,999999999
(유)일토씨엔엠,096548,2022/12,UQ,5904975,,,1648.71,999999999
(유)주영산업개발,093799,2019/12,NA,0,,,-5.55,999999999
(유)주영산업개발,093799,2020/12,UQ,7991933,,,3763.72,999999999
(유)주영산업개발,093799,2021/12,UQ,4758410,,,58.09,999999999
(유)주영산업개발,093799,2022/12,UQ,-5492534,,,-7.47,999999999
(주)21세기종합건설,093640,2019/12,NA,4509688,,,-34.98,999999999
(주)21세기종합건설,093640,2020/12,UQ,-12802938,,,-4.8,-6.38
(주)21세기종합건설,093640,2021/12,UQ,-448747,,,-1.88,-1.94
(주)G건설,090188,2018/12,NA,-5516260,,,-2.96,-2.95
(주)G건설,090188,2019/12,UQ,16458996,,,62.1,65.83
(주)가경디앤씨,053950,2012/12,UQ,-1286955,,,-0.17,-0.17
(주)가경디앤씨,053950,2013/12,DU,-95122,,,-0.33,-0.33
(주)가경디앤씨,053950,2014/12,DU,65608,,,999999999,999999999
(주)가경디앤씨,053950,2015/12,DU,14062,,,999999999,999999999
(주)가경디앤씨,053950,2016/12,DU,-26340,,,-0.08,-0.08
(주)가경디앤씨,053950,2017/12,DU,-3709,,,999999999,999999999
(주)가경디앤씨,053950,2018/12,DS,-443794,,,999999999,999999999
(주)가경디앤씨,053950,2019/12,DS,6254,,,999999999,999999999
(주)가경디앤씨,053950,2020/12,DS,0,,,999999999,999999999
(주)가경디앤씨,053950,2021/12,DS,-5,,,999999999,999999999
(주)가경디앤씨,053950,2022/12,DU,17,,,999999999,999999999
(주)가경종합건설,067227,2012/12,NA,-109620,,,1359.49,999999999
(주)가경종합건설,067227,2013/12,QS,111565,,,227.05,999999999
(주)가담종합건설,076423,2015/12,NA,-2451538,,,-6.26,999999999
(주)가담종합건설,076423,2016/12,UQ,-191553,,,3.41,3.59
(주)가담종합건설,076423,2017/12,UQ,3467418,,,2.64,2.71
(주)가담종합건설,076423,2018/12,UQ,12355985,,,3.36,3.36
(주)가담종합건설,076423,2019/12,UQ,431033,,,0.22,0.29
(주)가람우즈,049021,2012/12,UQ,-12623917,,,-0.15,-0.15
(주)가람우즈,049021,2013/12,UQ,-19982493,,,-0.4,-0.42
(주)가람우즈,049021,2014/12,UQ,3476318,,,-1.16,-0.76
(주)가람우즈,049021,2015/12,UQ,15081057,,,3.89,4.07
(주)가람우즈,049021,2016/12,UQ,69655860,,,5.64,7.9
(주)가람우즈,049021,2017/12,DS,-18624398,,,34529.78,999999999
(주)가보이앤씨,089670,2018/12,NA,6664937,,,46.6,47.52
(주)가보이앤씨,089670,2019/12,UQ,-1673621,,,3.76,999999999
(주)가비건설,091492,2018/12,NA,0,,,999999999,999999999
(주)가비건설,091492,2019/12,UQ,-9649503,,,999999999,999999999
(주)가비건설,091492,2020/12,UQ,16745881,,,5.99,6.13
(주)가온,106587,2021/12,NA,-5652758,,,3.02,3.35
(주)가온,106587,2022/12,QS,-2850605,,,1.46,1.43
(주)가화건설,082774,2016/12,NA,3825990,,,4.96,10.3
(주)가화건설,082774,2017/12,UQ,299373,,,131.51,234.26
(주)가화건설,082774,2018/12,UQ,-3838825,,,15.48,28.31
(주)가화건설,082774,2019/12,UQ,1764106,,,-6.63,-7.45
(주)강남종합건설,103345,2021/12,NA,-8330129,,,5.12,5.36
(주)강남종합건설,103345,2022/12,UQ,-139577,,,1.44,1.69
(주)강한건설,098820,2020/12,NA,-25091556,,,-122.58,999999999
(주)강한건설,098820,2021/12,UQ,-26505264,,,-1.36,-1.53
(주)강한건설,098820,2022/12,UQ,27828133,,,18.78,24.04
(주)개성건설,066019,2012/12,NA,1750714,,,1.71,1.71
(주)개성건설,066019,2013/12,UQ,-484564,,,1.78,1.65
(주)개성건설,066019,2014/12,UQ,-1115895,,,4.05,7.08
(주)개성건설,066019,2015/12,UQ,6736298,,,6.34,5.41
(주)개성건설,066019,2016/12,NA,-5126141,,,3.9,3.92
(주)개성건설,066019,2017/12,UQ,-6539789,,,3.25,2.91
(주)개성건설,066019,2018/12,UQ,3473771,,,2.78,2.42
(주)개성건설,066019,2019/12,UQ,-5937539,,,2.2,2.34
(주)개성건설,066019,2020/12,UQ,-5525849,,,0.94,2.82
(주)개성건설,066019,2021/12,UQ,2428675,,,5.63,6
(주)개성건설,066019,2022/12,UQ,-37895334,,,0.76,1.61
(주)개성토건,096570,2019/12,NA,7180673,,,999999999,999999999
(주)개성토건,096570,2020/12,UQ,-6238289,,,999999999,999999999
(주)개성토건,096570,2021/12,NA,15375775,,,999999999,999999999
(주)개성토건,096570,2022/12,UQ,36547603,,,999999999,999999999
(주)거성토건,066541,2012/12,NA,1160416,,,180.85,999999999
(주)거성토건,066541,2013/12,UQ,-1124957,,,-154.88,999999999
(주)거성토건,066541,2014/12,UQ,750373,,,3.79,999999999
(주)거성토건,066541,2015/12,UQ,-350679,,,20.86,999999999
(주)거성토건,066541,2016/12,UQ,874788,,,-59.3,999999999
(주)거성토건,066541,2017/12,UQ,2096418,,,-151505,999999999
(주)거성토건,066541,2018/12,UQ,-870344,,,999999999,999999999
(주)거성토건,066541,2019/12,UQ,3466739,,,999999999,999999999
(주)거성토건,066541,2020/12,UQ,-2862045,,,999999999,999999999
(주)거성토건,066541,2021/12,NA,-3327237,,,999999999,999999999
(주)거성토건,066541,2022/12,UQ,5674198,,,999999999,999999999
(주)거장건설,098665,2020/12,NA,-324186,,,4.23,3.86
