회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(주)KRGSOFT,056737,2012/12,UQ,2296222,,,2.99,3.63
(주)KRGSOFT,056737,2013/12,UQ,2617722,,,-15.25,-95.78
(주)KRGSOFT,056737,2014/12,UQ,-1307949,,,0.13,-7.49
(주)SC유나이티드,038630,2017/12,UQ,2329282,,,-15.69,999999999
(주)SC유나이티드,038630,2020/12,NA,-546001,,,-5.48,-7.72
(주)SC유나이티드,038630,2021/12,UQ,-744423,,,-3.42,-2.66
(주)가브린트,082823,2016/12,NA,53063,,,999999999,999999999
(주)가브린트,082823,2017/12,UQ,55797,,,-10.43,-35.54
(주)가야미디어,012820,2012/12,UQ,3548809,,,17.63,27.05
(주)가야미디어,012820,2013/12,UQ,3046616,,,15.48,22.55
(주)가야미디어,012820,2014/12,UQ,2418696,,,18.53,34.31
(주)가야미디어,012820,2015/12,UQ,476527,,,2.33,7.72
(주)가야미디어,012820,2016/12,UQ,608447,,,-35.45,-53.25
(주)가야미디어,012820,2017/12,UQ,-3107278,,,-24.38,-29.61
(주)가야미디어,012820,2018/12,UQ,-1044057,,,-10.61,-11.23
(주)가야미디어,012820,2019/12,UQ,-4077466,,,-62.96,999999999
(주)가톨릭신문사,067410,2012/12,NA,773939,,,999999999,999999999
(주)가톨릭신문사,067410,2013/12,UQ,1238715,,,999999999,999999999
(주)가톨릭신문사,067410,2014/12,UQ,1028532,,,999999999,999999999
(주)가톨릭신문사,067410,2017/12,UQ,1138462,,,999999999,999999999
(주)가톨릭신문사,067410,2018/12,UQ,925687,,,15.64,129.17
(주)가톨릭신문사,067410,2019/12,UQ,-518324,,,1.2,1.68
(주)가톨릭신문사,067410,2020/12,UQ,753584,,,1.57,10.69
(주)갈라랩,057481,2012/03,UQ,1458296,,,-1.25,-16.96
(주)갈라랩,057481,2013/03,UQ,-62716,,,-3.65,-90.21
(주)갑우문화사,040815,2012/12,UQ,1963220,,,4.27,8.3
(주)갑우문화사,040815,2013/12,UQ,1087218,,,-1.03,3.39
(주)갑우문화사,040815,2014/12,UQ,-461065,,,-2.29,2.81
(주)갑우문화사,040815,2015/12,UQ,2002314,,,4.48,7.29
(주)갑우문화사,040815,2016/12,UQ,1435257,,,4.03,7.17
(주)갑우문화사,040815,2017/12,UQ,1146166,,,7.98,10.8
(주)갑우문화사,040815,2018/12,UQ,1633627,,,6.08,43.5
(주)갑우문화사,040815,2019/12,UQ,-350444,,,2.59,36.79
(주)갑우문화사,040815,2020/12,UQ,2516344,,,3.11,999999999
(주)갑우문화사,040815,2021/12,UQ,414036,,,2.47,999999999
(주)갑우문화사,040815,2022/12,UQ,3953218,,,-13.44,999999999
(주)강원도민일보,017428,2019/12,NA,38569,,,1.07,999999999
(주)강원도민일보,017428,2020/12,UQ,743274,,,7.26,999999999
(주)강원도민일보,017428,2021/12,UQ,722426,,,1.45,999999999
(주)강원도민일보,017428,2022/12,UQ,16936,,,4.78,999999999
(주)개념원리,041998,2012/12,UQ,10652678,,,999999999,999999999
(주)개념원리,041998,2013/12,UQ,7162402,,,999999999,999999999
(주)개념원리,041998,2014/12,UQ,11141453,,,999999999,999999999
(주)개념원리,041998,2015/12,UQ,10287759,,,999999999,999999999
(주)개념원리,041998,2016/12,UQ,16987619,,,999999999,999999999
(주)개념원리,041998,2017/12,UQ,-5732703,,,13.14,27.52
(주)개념원리,041998,2018/12,UQ,2921434,,,31.79,57.58
(주)개념원리,041998,2019/12,UQ,9842070,,,279.11,999999999
(주)개념원리,041998,2020/12,UQ,10936290,,,91.03,164.81
(주)개념원리,041998,2021/12,UQ,13578421,,,503.69,999999999
(주)개념원리,041998,2022/12,UQ,8209156,,,2098.29,999999999
(주)건설기계인,078962,2015/12,NA,-709686,,,999999999,999999999
(주)건설기계인,078962,2016/12,QS,2836117,,,1.93,1.62
(주)게임펍,085928,2017/12,NA,2111130,,,999999999,999999999
(주)게임펍,085928,2018/12,UQ,1540282,,,999999999,999999999
(주)게임펍,085928,2019/12,UQ,6210542,,,999999999,999999999
(주)게임펍,085928,2020/12,UQ,925947,,,999999999,999999999
(주)게임펍,085928,2021/12,UQ,5034535,,,999999999,999999999
(주)게임펍,085928,2022/12,UQ,-2332298,,,999999999,999999999
(주)겟앤쇼,106870,2022/12,UQ,3974950,,,30.45,77.46
(주)경기일보,095508,2019/12,NA,28622,,,999999999,999999999
(주)경기일보,095508,2020/12,UQ,710304,,,999999999,999999999
(주)경기일보,095508,2021/12,UQ,932061,,,999999999,999999999
(주)경기일보,095508,2022/12,UQ,974819,,,999999999,999999999
(주)경인기술,095045,2019/12,NA,1774439,,,1.48,999999999
(주)경인기술,095045,2020/12,UQ,1540797,,,26.4,999999999
(주)경인기술,095045,2021/12,UQ,404713,,,117.14,999999999
(주)경인기술,095045,2022/12,UQ,-82987,,,14.58,152.7
(주)경인일보,012960,2012/12,UQ,54174,,,19.11,10.41
(주)경인일보,012960,2013/12,UQ,9559604,,,-15.38,-13.93
(주)경인일보,012960,2014/12,UQ,1150006,,,1.81,1.64
(주)경인일보,012960,2015/12,UQ,1253681,,,0.56,0.48
(주)경인일보,012960,2016/12,UQ,236807,,,-0.94,-1.79
(주)경인일보,012960,2017/12,UQ,-1904540,,,-3.08,-5.72
(주)경인일보,012960,2018/12,UQ,1010144,,,0.05,-2.42
(주)경인일보,012960,2019/12,UQ,52540,,,0.48,0.91
(주)경인일보,012960,2020/12,UQ,1253138,,,0.2,2.11
(주)경인일보,012960,2021/12,UQ,1025236,,,2.22,2.9
(주)경인일보,012960,2022/12,UQ,727124,,,0.54,0.02
(주)경희매니지먼트컴퍼니,051743,2012/12,UQ,9264864,,,71.71,999999999
(주)경희매니지먼트컴퍼니,051743,2013/12,UQ,2659798,,,-1.75,-10.04
(주)경희매니지먼트컴퍼니,051743,2014/12,UQ,18523347,,,19.79,999999999
(주)골든썸픽쳐스,072438,2014/12,NA,0,,,999999999,999999999
(주)골든썸픽쳐스,072438,2015/12,DS,0,,,-36.07,999999999
(주)골든썸픽쳐스,072438,2016/12,DS,0,,,-84.97,999999999
(주)골든플래닛,102982,2021/12,NA,-2666599,,,11.15,21.76
(주)골든플래닛,102982,2022/12,UQ,5026931,,,1.07,1.14
(주)곰픽쳐스,094293,2019/12,NA,-9396856,,,-43.24,-78.37
(주)곰픽쳐스,094293,2020/12,UQ,-2491275,,,31.14,37.61
(주)공게임즈,084753,2017/12,NA,-2373,,,-24.33,999999999
(주)공게임즈,084753,2018/12,UQ,3958799,,,999999999,999999999
(주)공게임즈,084753,2019/12,UQ,2260704,,,999999999,999999999
(주)공게임즈,084753,2020/12,UQ,-3247505,,,-2072.49,999999999
(주)공게임즈,084753,2021/12,UQ,-2632890,,,-237.41,-299.34
(주)관악도서유통,044642,2012/12,QS,-247679,,,1.5,2.04
(주)관악도서유통,044642,2013/12,UQ,345936,,,0.93,1.48
(주)관악도서유통,044642,2014/12,UQ,-837187,,,1.97,1.74
(주)관악도서유통,044642,2015/12,UQ,-192556,,,2.94,2.35
(주)광주문화콘텐츠투자법인,062984,2012/12,UQ,-508644,,,-2.79,-21.39
(주)구름컴퍼니,071176,2014/12,UQ,6463892,6463892,,999999999,999999999
(주)국제영상,049844,2012/12,UQ,-431585,,,0.21,2.36
(주)국제영상,049844,2013/12,UQ,-82594,,,0.66,3.7
(주)국제영상,049844,2014/12,UQ,212025,,,1.16,2.52
(주)국제영상,049844,2015/12,UQ,-6028166,,,-2.55,46.37
(주)군월드,100283,2020/12,NA,-286494,,,1.13,999999999
(주)군월드,100283,2021/12,UQ,-276121,,,-7.01,-2.44
(주)군자씨네텍,059644,2012/12,UQ,1031815,,,2.59,2.68
(주)군자씨네텍,059644,2013/12,UQ,528274,,,2.31,1.96
(주)군자씨네텍,059644,2014/12,UQ,1131679,,,3.56,3.59
(주)군자씨네텍,059644,2015/12,UQ,936745,,,4.31,4.33
(주)군자씨네텍,059644,2016/12,UQ,598262,,,1.83,1.88
(주)군자씨네텍,059644,2017/12,UQ,311325,,,1.82,1.82
(주)군자씨네텍,059644,2018/12,UQ,436478,,,1.09,1.1
