회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(유)성진실업,102431,2021/12,NA,0,,,2.97,3.01
(유)성진실업,102431,2022/12,UQ,1909109,,,1.35,1
(유)에스케이씨에보닉페록사이드코리아,093338,2019/12,NA,9251038,,,999999999,999999999
(유)에스케이씨에보닉페록사이드코리아,093338,2020/12,UQ,12164042,,,999999999,999999999
(유)에스케이씨에보닉페록사이드코리아,093338,2021/12,UQ,12405093,,,999999999,999999999
(유)에스케이씨에보닉페록사이드코리아,093338,2022/12,UQ,12778178,,,999999999,999999999
(유)영가실업,101874,2021/12,NA,-2451499,,,4.47,4.84
(유)영가실업,101874,2022/12,QS,919202,,,0.71,2.36
(유)영동레미콘,095255,2019/12,NA,720379,,,1.38,1.39
(유)영동레미콘,095255,2020/12,QS,-70517,,,-2.3,-2.42
(유)한풍제약,096651,2019/12,NA,3017447,,,8.57,7.94
(유)한풍제약,096651,2020/12,QS,1167188,,,8.81,8.76
(유)한풍제약,096651,2021/12,UQ,4681354,,,11.06,8.86
(유)한풍제약,096651,2022/12,UQ,2965671,,,7.93,7.81
(주)360퍼스펙티브,098947,2020/12,NA,7040680,,,278.93,999999999
(주)360퍼스펙티브,098947,2021/12,QS,1629646,,,17.66,20.02
(주)360퍼스펙티브,098947,2022/12,UQ,7765350,,,11.83,11.78
(주)HKM,101832,2021/12,NA,-2330047,,,12.05,12.55
(주)HKM,101832,2022/12,UQ,-925603,,,7.04,6.06
(주)HM금속,043596,2012/12,UQ,2791754,,,2.18,2.29
(주)HM금속,043596,2013/12,UQ,2212555,,,0.87,1.08
(주)HM금속,043596,2014/12,UQ,2153780,,,-1.92,-2.22
(주)HM금속,043596,2015/12,DU,-518828,,,-1.65,-2.86
(주)HM금속,043596,2016/12,DU,-2136582,,,-2.07,-1.94
(주)HM금속,043596,2017/12,DU,-278643,,,-2.94,-2.07
(주)HM금속,043596,2018/12,QU,-131834,,,-2.38,-2.06
(주)HM금속,043596,2019/12,QS,2078311,,,-0.28,-0.38
(주)HM금속,043596,2020/12,QU,612923,,,-3.18,-3.3
(주)JS중공업,062045,2012/12,UQ,-4169620,,,-2.31,999999999
(주)JS중공업,062045,2013/12,UQ,11138493,,,-0.9,999999999
(주)JS중공업,062045,2014/12,UQ,-653160,,,1.4,999999999
(주)MSSteel,048874,2012/12,UQ,1628179,,,1.46,1.56
(주)MSSteel,048874,2013/12,UQ,-501197,,,0.33,0.5
(주)TSR,019379,2012/12,UQ,6982844,,,7.91,8.71
(주)TSR,019379,2013/12,UQ,4564943,,,16.23,24.47
(주)TSR,019379,2014/12,UQ,6127901,,,17.97,38.19
(주)TSR,019379,2015/12,UQ,4286672,,,27.14,37.75
(주)TSR,019379,2016/12,UQ,9177609,,,38.76,107.82
