회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,제품비율(매출채권 대 상),매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,제품회전률(상품),부재료회전률(원),재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수
(주)강남가설산업,091821,2018/12,0,0,0,0,,0,0,0,0,0,0,0,0,0,43.33,4.34,,2.5,7.33,7.32,,4.22,31.04,,17.89,1359.18,,783.68,25.1,,,6.95,7.32,4.22,56.67,95.66,-1.34,1.62,0,0,97,12.93,0.35,1.67,13.54,31.51,44.48,3.57,3.96,7.92,0,97.72,97.72,0,0,0,1564816.23,19592,,577239.96,437934.43,4279.34,0,67958.85,39.63,0,65.65,39.63,60.37,23.59,76.41,4379.34,255.9,103.85,94.66,94.66,17.03,0,0,0,76.13,0,0,323.9,177.47,0,146.43,0,-2.24,34.54,146.43,2.67,2.86,23.05,42.79,23.51,35.81,118.63,20.35,45.01,15.55,18.44,2.68,1.69,1.69,7.15,312.96,2.21,4.34,84.08,4.25,4.25,0,0,0,0,0,5.7,64.01,2.79,2.81,2.07,0.73,0,2417.36,0,0,,0,0,0,0,0,26.04,43.45,6059.19,30.9,40.71,59.29,8.1,2417.36,235.18,984.06,126.77,14.4,26.4,1030.56,0,26.04,6059.19,30.9,0
(주)강남가설산업,091821,2019/12,11.78,11.27,10.22,-90.13,,0,0,-9.74,5.63,0,0,12.8,0,0,55.37,0.41,,-2.58,0.35,0.34,,-2.17,1.61,,-10.24,67.11,,-426.59,0,,,-0.52,0.34,-2.17,44.63,99.59,-2.73,1.96,0,0,102.32,16.32,0.37,1.91,22.99,29.71,73.03,2.09,4.53,4.79,0,97.47,97.47,0,0,0,826444.75,-21329,,228638.83,197637.87,3852.76,0,3355.46,39.08,0,64.15,39.08,60.92,19.05,80.95,3952.76,319.81,156.35,64.03,64.03,7.01,0,0,0,76.05,0,0,424.97,320.41,48.58,104.55,0,-21.96,34.62,181.74,0.21,-0.19,18.57,38.53,46.79,72.14,125.54,30.79,72,24.93,31.29,0.21,0.84,0.84,3.97,165.29,1.07,2.11,173.25,2.14,2.14,0,0,0,0,0,2.77,131.83,1.39,1.41,0.92,1.51,0,3342.4,0,0,,0,0,0,0,0,32.21,53.99,15260.13,40.44,41.33,58.67,-6.38,3342.4,-192.15,1381.53,161.96,13.2,31.29,1946.57,0,32.21,15260.13,40.44,0
(주)건우해양,049380,2012/12,-9.84,-3.04,-20.52,-69.39,0,0,0,-29.92,-14.77,0,0,-8.31,0,0,54.72,12.99,0,-20.72,1.72,1.37,0,-2.18,22,0,-35.1,19.59,0,-31.26,0,0,0,1.32,1.41,-2.24,45.28,87.01,-33.33,33.21,0,0,119.5,4.61,14,26.64,24.46,15.56,74.24,3.73,7.11,6.72,0,-36.27,-36.27,0,0,0,15085.3,-3126,0,-9046.19,7338.56,-26.61,0,1959.49,11.05,0,12.42,11.05,88.95,5.41,94.59,73.39,1644.38,149.21,27.36,27.36,0.35,0,0,0,0,0,0,1748.61,746.58,68.18,1002.02,0,-29.34,57.16,1056.63,0.36,0.39,-1.96,-0.27,112.18,836.19,895.64,-1.59,-2.64,-1.51,-13.55,0.39,0.11,0.11,1.69,1.51,0.11,0,0,0.89,0.89,0,0,0,0,0,1.95,186.85,0.12,0.12,0.21,0.51,0.01,822.69,0,0,0,0,0,0,0,0,8.66,9.81,0,77.91,7.37,92.63,-26.6,822.69,-214.84,60.62,350.7,119.93,184.31,321.98,,8.66,,77.91,
(주)건우해양,049380,2013/12,-12.15,-3.24,-82.77,82.55,0,0,0,-9.19,-17.73,0,0,-3.38,0,0,55.21,28.82,0,-5.43,2.81,2.81,0,-0.53,51.09,0,-9.63,35.77,0,-6.74,489.41,0,0,2.91,2.82,-0.53,44.79,71.18,-33.61,35.36,0,0,104.7,7.57,5.8,33.14,30.82,16.4,106.72,3.64,5.49,5.57,0,-50.05,-50.05,0,0,0,12411.01,-674,0,13202.43,6664.43,-33.36,0,3576.99,2.17,0,2.21,2.17,97.83,5.59,94.41,66.64,1749.55,196.1,4.32,4.32,0.83,0,0,0,0,0,0,1688.3,896.12,71.28,792.19,0,-47.94,67.08,1199.63,0.82,0.86,-2.8,-0.33,70.78,955.89,955.83,1.85,2.6,1.74,16.74,0.82,0.1,0.1,1.77,1.24,0.1,0,0,1.41,1.41,0,0,0,0,0,1.9,192.04,0.1,0.1,0.19,0.53,0.01,682.06,0,0,0,0,0,0,0,0,8.18,8.41,0,78.51,10.28,89.72,-6.92,682.06,-41.6,70.13,307.18,6.9,53.72,285.74,0,8.18,0,78.51,0
(주)건우해양,049380,2014/12,1.45,-2.73,190.13,11.44,0,0,0,17.7,1.7,0,0,-2.73,0,0,70.06,31.58,0,9.34,5.23,3.32,0,0.98,54.95,0,16.26,39.86,0,11.79,72.39,0,0,2.84,3.34,0.99,29.94,68.42,-17.49,17.71,0,0,88.1,8.31,18.94,16.98,24.16,15.41,147.24,1.98,5.04,5.33,0,-27.49,-27.49,0,0,0,12622.56,1179,0,5036.37,7843.86,-21.56,0,3986.31,6.2,0,6.61,6.2,93.8,6.49,93.51,78.44,1445.94,200.39,11.65,11.65,0.08,0,0,0,0,0,0,1441.45,819.9,69.77,621.55,0,-46.99,74.37,1146.43,0.88,1.8,-1.78,-0.22,39.91,911.13,953.52,8.07,10.14,7.54,72.25,1.78,0.11,0.11,1.74,1.26,0.11,0,0,2.51,2.51,0,0,0,0,0,7.49,48.76,0.11,0.11,0.19,0.13,0.02,759.69,0,0,0,0,0,0,0,0,8.98,9.63,0,85.98,10.08,89.92,10.87,759.69,124.48,76.58,156.46,5.04,174.5,222.63,0,8.98,0,85.98,0
(주)건우해양,049380,2015/12,-1.54,-2.22,8.69,29.65,0,10.05,0,16.55,-8.6,0,0,-2.22,0,0,73.53,44.8,0,11.25,4.63,4.31,0,1.08,60.85,0,15.28,51.68,0,12.98,45.62,0,0,4.11,4.33,1.09,26.47,55.2,-31.26,31.54,0,0,86.94,11.63,7.94,35,24.19,14.79,193.93,3.26,4.64,4.56,0,-9.39,-9.39,0,0,0,11537.14,1298,0,3433.56,9141.84,-8.58,0,5168.1,6.84,0,7.34,6.84,93.16,7.68,92.32,91.42,1213.13,208.12,12.38,12.38,0.05,0,0,0,0,0,0,1202.21,719.3,74.43,482.91,0,-48.4,72.75,947.37,1.28,1.43,-0.72,-0.09,67.76,972.16,1027.07,3.85,4.89,3.56,36.71,1.42,0.1,0.1,1.36,1.15,0.1,0,0,1.48,1.48,0,0,0,0,0,7.38,49.49,0.1,0.1,0.16,0.14,0.02,687.48,0,0,0,0,0,0,0,0,8.25,8.91,0,85.13,12.31,87.69,13.22,687.48,109.35,84.63,254.69,5.04,57.75,176.02,0,8.25,0,85.13,0
(주)건우해양,049380,2016/12,-1.16,-1.83,6.04,0.4,0,25.15,0,17.77,-4.09,0,0,-1.69,0,0,76.97,46.89,0,14.68,4.62,4.38,0,1.37,52.13,0,16.32,51.89,0,16.24,41.35,0,0,4.13,4.4,1.38,23.03,53.11,-29.45,29.45,0,0,82.99,14.27,8.93,34.64,21.48,14.27,247.39,3.01,4.25,4.16,0,7.12,7.12,0,0,0,11065.71,1624,0,3992.44,10766.23,7.66,0,5188.76,7.34,0,7.92,7.34,92.66,9.15,90.85,107.66,1012.65,211.91,13.04,13.04,1.1,0,0,0,0,0,0,992.86,614.99,77.53,377.87,0,-48.93,70.66,772.23,1.47,1.59,0.65,0.08,75.81,993.73,1058.3,3.47,4.47,3.16,33.55,1.59,0.09,0.09,1.11,1.11,0.1,0,0,1.32,1.32,0,0,0,0,0,6.32,57.78,0.1,0.1,0.15,0.16,0.02,661.66,0,0,0,0,0,0,0,0,8.03,8.74,0,85.42,14.2,85.8,17.19,661.66,135.06,93.98,228.16,4.16,58.82,141.47,0,8.03,0,85.42,0
(주)건우해양,049380,2017/12,0.3,-1.56,23.7,-12.2,0,-20.08,0,-12.74,-6.17,0,0,-1.56,0,0,78.17,43.88,0,12.5,4.16,3.87,0,1.1,45.19,0,12.88,45.56,0,12.98,47.3,0,0,3.74,3.88,1.11,21.83,56.12,-29.15,29.89,0,0,85.85,16.1,10.07,33.46,18.15,14.16,307.76,2.88,4.11,4.13,0,-6.44,-6.44,0,0,0,10382.86,1298,0,951.64,9394.9,-6.05,0,4555.54,9.05,0,9.95,9.05,90.95,7.96,92.04,93.95,1142.38,201.43,16.5,16.5,0.02,0,0,0,0,0,0,1156.08,688.95,75.21,467.13,0,-45.8,71.15,893.7,1.32,1.49,-0.51,-0.06,93.03,1041.86,1131.25,2.28,2.94,2.09,23.81,1.47,0.09,0.09,1.03,1.04,0.1,0,0,1.07,1.07,0,0,0,0,0,5.3,68.84,0.1,0.1,0.14,0.19,0.01,615.71,0,0,0,0,0,0,0,0,7.45,8.26,0,84.72,16.98,83.02,14.76,615.71,107.04,104.55,217.28,3.6,65.42,117.83,0,7.45,0,84.72,0
(주)건우해양,049380,2018/12,0.2,-1.22,16.48,29.83,,85.15,0,25.59,8.73,0,0,-1.42,0,0,80.74,52.39,,21.29,5.35,5.01,,2.03,55.81,,22.68,59.14,,24.04,37.13,,,4.62,5.03,2.04,19.26,47.61,-26.88,27.01,0,0,75.41,14.54,10.68,34.53,15.26,13.44,378.86,2.84,4.25,4.18,0,15.24,15.24,0,0,0,11289.57,2404,,4860.59,11798.67,17.99,0,5914.41,10.52,0,11.76,10.52,89.48,9.98,90.02,117.99,896.77,194.16,19.52,19.52,0.06,0,0,0,0,0,0,902.22,540.36,75.5,361.86,0,-43.39,68.79,689.46,1.71,1.94,1.52,0.18,102.41,943.93,1042.15,2.73,3.57,2.46,25.74,1.94,0.1,0.1,1.07,1.13,0.1,0,0,0.98,0.98,0,0,0,0,0,6.88,53.07,0.11,0.11,0.15,0.15,0.02,668.42,0,0,,0,0,0,0,0,8.08,9.08,0,84.58,13.45,86.55,25.17,668.42,201.58,89.89,213.45,3.15,66.05,94.31,0,8.08,0,84.58,0
(주)건우해양,049380,2019/12,2.52,-0.33,26.78,-36.14,,-57.97,0,8.56,-13.55,0,0,-0.33,0,0,73.31,38.7,,10.35,3.65,3.15,,0.84,30.7,,8.21,37.77,,10.1,60.73,,,2.99,3.17,0.85,26.69,61.3,-26.35,26.36,0,0,88.36,11.7,14.96,28.12,12.93,13.53,433.78,2.39,3.77,3.83,100,21.93,21.93,0,0,0,9760,1010,,1935.83,12808.97,28.09,0,3776.76,13.01,0,14.96,13.01,86.99,10.57,89.43,128.09,823.29,192.76,23.71,23.71,0.01,0,0,0,0,0,0,846.45,519.33,76.45,327.12,0,-41.86,69.19,654.82,1.19,1.47,2.32,0.28,144.56,1082.28,1232.19,3.13,4.05,2.8,34.82,1.47,0.08,0.08,0.79,0.98,0.09,0,0,0.69,0.69,0,0,0,0,0,7.57,48.21,0.09,0.09,0.12,0.13,0.02,520.9,0,0,,0,0,0,0,0,6.14,7.13,0,76.24,14.38,85.62,13.58,520.9,84.33,74.93,180.09,3,95.78,82.77,0,6.14,0,76.24,0
