회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
(유)유맥에프앤알,014534,2012/12,,,,,,,,,,,,,,,29470362,21949832,7520529,6442416,1078114,1840924,322202
(유)유맥에프앤알,014534,2013/12,,,,,,,,,,,,,,,27286095,19836433,7449662,5984990,1464673,2199341,451312
(유)유맥에프앤알,014534,2014/12,,,,,,,,,,,,,,,28624507,20670511,7953997,6427581,1526416,2060058,428968
(유)유맥에프앤알,014534,2015/12,,,,,,,,,,,,,,,36195890,27583514,8612376,7721587,890788,1390737,264352
(유)유맥에프앤알,014534,2016/12,,,,,,,,,,,,,,,79171788,64000593,15171195,13219548,1951647,2840350,550047
(유)유맥에프앤알,014534,2017/12,,,,,,,,,,,,,,,83631617,67688978,15942640,13053712,2888927,3653436,722712
(유)유맥에프앤알,014534,2018/12,,,,,,,,,,,,,,,903280,0,903280,450664,452616,509400,92590
(유)유맥에프앤알,014534,2019/12,,,,,,,,,,,,,,,739755,0,739755,338095,401660,377574,78950
(유)유맥에프앤알,014534,2021/12,,,,,,,,,,,,,,,3057171,1382417,1674755,2089485,-414731,769213,728535
(유)유맥에프앤알,014534,2022/12,,,,,,,,,,,,,,,7968240,3433085,4535155,3620440,914715,1814990,562085
(유)유혁,098170,2020/12,,,,,,,,,,,,,,,17778998,9084217,8694782,146279,8548503,8576849,0
