,회사명,거래소코드,회계년도,부실판단,기업수명주기
0,케이알모터스(주),40,2014,1.0,도입기
1,(주)천일고속,650,2022,1.0,쇠퇴기
2,이화산업(주),760,2019,1.0,성숙기
3,신라섬유(주),1000,2015,1.0,도입기
4,삼성제약(주),1360,2014,1.0,쇠퇴기
5,(주)에스지글로벌,1380,2014,1.0,도입기
6,태원물산(주),1420,2022,1.0,성숙기
7,피에스텍(주),2230,2020,1.0,성숙기
8,세기상사(주),2420,2014,1.0,쇠퇴기
9,(주)한탑,2680,2015,1.0,성숙기
10,(주)신풍,2870,2014,1.0,쇠퇴기
11,(주)에이프로젠바이오로직스,3060,2014,1.0,도입기
12,성보화학(주),3080,2016,1.0,쇠퇴기
13,(주)한국화장품제조,3350,2014,1.0,쇠퇴기
14,에이치엘비글로벌(주),3580,2014,1.0,성숙기
15,(주)삼영,3720,2015,1.0,성숙기
16,서울식품공업(주),4410,2020,1.0,성숙기
17,(주)씨아이테크,4920,2014,1.0,도입기
18,(주)한창,5110,2017,1.0,성장기
19,파미셀(주),5690,2014,1.0,쇠퇴기
20,(주)원림,5820,2020,1.0,성숙기
21,(주)인스코비,6490,2014,1.0,도입기
22,신송홀딩스(주),6880,2015,1.0,성숙기
23,보성파워텍(주),6910,2018,1.0,쇠퇴기
24,(주)일신석재,7110,2016,1.0,쇠퇴기
25,(주)미래아이앤지,7120,2014,1.0,도입기
26,(주)네이처셀,7390,2016,1.0,도입기
27,선도전기(주),7610,2021,1.0,도입기
28,원풍물산(주),8290,2014,1.0,도입기
29,일정실업(주),8500,2019,1.0,쇠퇴기
30,동양철관(주),8970,2018,1.0,성장기
31,참엔지니어링(주),9310,2014,1.0,쇠퇴기
32,(주)코센,9730,2018,1.0,도입기
33,(주)플레이그램,9810,2014,1.0,성장기
34,웰바이오텍(주),10600,2018,1.0,도입기
35,진원생명과학(주),11000,2014,1.0,도입기
36,(주)형지아이앤씨,11080,2015,1.0,도입기
37,삼화전자공업(주),11230,2014,1.0,도입기
38,(주)뉴인텍,12340,2014,1.0,쇠퇴기
39,(주)청호ICT,12600,2014,1.0,쇠퇴기
40,씨비아이(주),13720,2018,1.0,성장기
41,성문전자(주),14910,2014,1.0,도입기
42,(주)이스타코,15020,2016,1.0,도입기
43,(주)리더스코스메틱,16100,2020,1.0,도입기
44,(주)디모아,16670,2020,1.0,성장기
45,(주)브이티지엠피,18290,2014,1.0,성장기
46,우진비앤지(주),18620,2017,1.0,도입기
47,(주)서울제약,18680,2017,1.0,쇠퇴기
48,베뉴지(주),19010,2014,1.0,성숙기
49,(주)하이트론씨스템즈,19490,2014,1.0,쇠퇴기
50,(주)플레이위드,23770,2014,1.0,쇠퇴기
51,동일철강(주),23790,2014,1.0,도입기
