,회사명,거래소코드,회계년도,총자본증가율(IFRS연결),유형자산증가율(IFRS연결),비유동생물자산증가율(IFRS연결),투자부동산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),정상영업이익증가율(IFRS연결),순이익증가율(IFRS연결),총포괄이익증가율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),자기자본순이익률(IFRS연결),경영자본정상영업이익률(IFRS연결),경영자본순이익률(IFRS연결),자본금정상영업이익률(IFRS연결),자본금순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),기타손익비률(IFRS연결),금융손익비율(IFRS연결),금융비용부담률(IFRS연결),외환이익 대 매출액비율(IFRS연결),광고선전비 대 매출액비율(IFRS연결),세금과공과 대 세금과공과 차감전순이익률(IFRS연결),기업순이익률(IFRS연결),수지비율(관계기업투자손익 제외)(IFRS연결),인건비 대 총비용비율(IFRS연결),R & D 투자효율(IFRS연결),세금과공과 대 총비용비율(IFRS연결),금융비용 대 총비용비율(IFRS연결),감가상각비 대 총비용비율(IFRS연결),감가상각률(IFRS연결),누적감가상각률(IFRS연결),이자부담률(IFRS연결),지급이자율(IFRS연결),차입금평균이자율(IFRS연결),유보율(IFRS연결),적립금비율(재정비율)(IFRS연결),평균배당률(IFRS연결),자기자본배당률(IFRS연결),배당성향(IFRS연결),1주당매출액(IFRS연결)(원),1주당순이익(IFRS연결)(원),1주당 CASH FLOW(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),유동자산 대 비유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),비유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),비유동장기적합률(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),매출채권비율(IFRS연결),재고자산 대 순운전자본비율(IFRS연결),매출채권 대 매입채무비율(IFRS연결),"매출채권 대 상,제품비율(IFRS연결)",매입채무 대 재고자산비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),비유동부채비율(IFRS연결),비유동부채 대 순운전자본비율(IFRS연결),순운전자본비율(IFRS연결),차입금의존도(IFRS연결),차입금비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),유보액대비율(IFRS연결),유보액 대 납입자본배율(IFRS연결),유동자산집중도(IFRS연결),비유동자산집중도(IFRS연결),투자집중도(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),정상영업이익대비이자보상배율(IFRS연결),총자본회전률(IFRS연결),경영자본회전률(IFRS연결),자기자본회전률(IFRS연결),자본금회전률(IFRS연결),타인자본회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),재고자산회전기간(IFRS연결),"상품,제품회전률(IFRS연결)","원,부재료회전률(IFRS연결)",재공품회전률(IFRS연결),매출채권회전률(IFRS연결),매출채권회전기간(IFRS연결),비유동자산회전률(IFRS연결),유형자산회전율(IFRS연결),순운전자본회전률(IFRS연결),운전자본회전률(IFRS연결),1회전기간(IFRS연결),부가가치(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),노동장비율(IFRS연결),기계장비율(IFRS연결),자본집약도(IFRS연결),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),부가가치(IFRS연결)(백만원).1,법인세비용차감전(계속사업)손익(IFRS연결)(백만원),인건비(IFRS연결)(백만원),금융비용(IFRS연결)(백만원),임차료(IFRS연결)(백만원),세금과공과(IFRS연결)(백만원),감가상각비(IFRS연결)(백만원),종업원1인당 부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결).1,기계투자효율(IFRS연결).1,부가가치율(IFRS연결).1,종업원수(IFRS연결),PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저),PSR(Price sales ratio)(최고),PSR(Price sales ratio)(최저),기업가치(EV)(백만원),EBITDA(백만원),EBITDA/매출액(%),EBITDA/금융비용(배),EBITDA/평균발행주식수(백만원),EV/EBITDA(배),PER,PBR,PCR,PSR,new_feature,매출채권회전률,종업원수증가율,총자산증가율,총자산회전율,영업년수,상장년수,CROE,영업투자현금비율,영업재무현금비율,부실판단,기업수명주기
0,(주)CMG제약,58820,2022,7.07,22.79,0.0,0.0,6.1,7.64,61.19,0.14,18.31,79.55,0.0,-87.36,49.76,3.63,-0.47,2.4,1.45,-0.19,1.61,-0.21,1.88,-0.24,4.29,-0.56,50.24,96.37,-5.15,-0.17,-2.37,2.5,2.05,0.0,-1.13,92.85,20.11,0.0,0.0,-2.36,2.77,8.08,63.27,-9.11,0.23,0.42,166.33,61,0.0,0.0,0.0,592,-3,36,1228.0,21,63,16,173,53,37,87,13,266,42,41,617,520,20,100,19,190,137,53,15,12,5,3,6,53,3,4,195,999999999,54,2,158,92,200,19,79,2,6,0,0,1,0,1,4,10,36,1,1,5,77,6,35,41,4,90,1,2,1,0,0,15933,67.0,0.0,0.0,0.0,7,107,538,19,104,-4,-2,15933,-1255,16608,-1948,244,0,2284,64.0,7,538,19,248.0,0.0,0.0,3.0,2.0,110.0,56.0,7.0,3.0,300875.0,5266.0,6.0,345.0,38.0,57.0,-716.6666666666666,1614.5631613520873,60479.04823242296,3632.9408019060456,0.4613291829998049,4.04,0.0,7.072078214313208,0.3854321723600449,23.0,23.0,-0.0194056142486561,-0.4543208999575726,0.8772956930059409,0.0,성장기
1,(주)ES큐브,50120,2020,54.08,69.21,0.0,-83.14,274.24,-10.26,23.11,25.23,84.57,0.0,0.0,0.0,29.93,12.79,-31.35,1.76,1.75,-4.29,14.37,-39.39,1.88,-4.61,18.44,-43.94,70.07,87.21,-41.06,-14.92,4.05,-0.83,0.03,0.0,-3.74,124.44,6.9,0.0,0.0,2.82,1.41,13.22,0.0,0.63,47.2,8.78,1.9,3,,,,969,-2337,-449,,124,45,3,82,44,55,10,90,100,565,206,62,60,2,2249,0,5952,8844,38,929,754,51,175,0,-28,1,10,3,-6,0,0,422,308,870,3,270,3,24,3,0,0,1,1,0,35,10,0,0,9,39,43,17,41,0,946,0,3,0,0,0,3768,,,,,1,13,1165,5,213,-113,-671,3768,-22811,8012,3271,1098,0,1642,,1,1165,5,,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,77486.0,1753.0,6.0,1.0,21.0,44.0,-0.2018083182640144,1089.0644224677037,-2022.6276406796253,938.209085843149,0.1532839768596717,0.39,-20.0,54.08478724872655,0.112845967597423,47.0,22.0,-0.1622352868971078,-207.94443580026007,0.594467157070449,1.0,쇠퇴기
2,(주)MH에탄올,23150,2022,-0.89,-2.46,0.0,0.0,-1.17,1.27,-4.5,5.94,8.48,-6.04,-15.66,60.75,39.07,19.8,10.75,5.02,4.88,2.65,24.35,7.71,5.02,2.73,476.96,108.45,60.93,80.2,-10.63,-10.12,10.0,0.03,0.02,12.96,5.11,90.97,14.45,0.0,3.45,10.83,14.2,5.11,37.56,3.08,5.09,5.02,1476.15,113,,,,15006,766,2233,,2971,12,17,13,10,88,21,79,1448,414,154,28,23,8,133,0,1845,725,7,369,200,39,169,0,-31,51,241,2,2,22,21,47,359,390,6,9,5,19,2,0,0,1,24,0,189,2,2,3,12,30,49,27,297,10,36,0,0,0,0,0,54043,,,,,12,14,1861,49,27,73,22,54043,10153,14773,11070,0,3526,14521,,12,1861,49,,18.0,9.0,2.0,1.0,0.0,0.0,2.0,1.0,99156.0,2350.0,5.0,2.0,318.0,42.0,8.717067583046964,588.5945569751364,3407.740634970497,507.1293780277636,0.0800493359093759,10.27,-1.89,-0.8905199360497233,0.2474573172430802,46.0,28.0,0.0269755491370851,-0.9797703331597452,-1.4582300697619837,0.0,성숙기
3,(주)강스템바이오텍,217730,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.68,-128.52,-126.27,-24.25,-24.87,-24.43,-47.94,-46.19,-32.73,-32.15,-144.45,-139.56,64.32,228.52,17.66,32.02,12.56,-0.01,5.25,0.0,-22.0,165.24,28.94,28.41,0.0,4.59,4.38,14.15,64.84,5.05,10.1,10.1,202.13,63,,,,562,-778,-655,,-722,53,7,115,50,47,52,48,302,90,54,396,369,61,26,9,36,39,72,93,26,13,67,87,40,30,58,-8,-8,35,2,276,240,393,-47,-75,-23,-117,-10,0,0,0,1,0,7,50,0,0,5,69,8,19,92,21,18,0,1,0,0,0,-646,,,,,-1,-11,-73,-7,0,0,0,-646,-10125,7237,1147,0,0,1094,,-1,-73,-7,,0.0,0.0,9.0,6.0,0.0,0.0,41.0,25.0,212462.0,-10425.0,-193.0,-7.0,-726.0,0.0,-16.778523489932887,8297.730882683854,-19080.388797871,22243.266926451604,2.618357855100631,20.71,-5.06,-0.5117642219454338,0.1934986559772828,14.0,9.0,-0.1105103588449017,-1.6457485388333883,-1.7274593152933544,1.0,쇠퇴기
4,(주)강원에너지,114190,2018,0.71,-4.03,0.0,0.0,-7.26,3.66,50.46,4.7,4.72,0.0,0.0,0.0,6.86,0.4,1.99,0.79,0.37,1.83,0.69,4.19,0.42,2.1,4.46,25.83,93.14,99.6,2.54,1.77,1.51,1.69,0.01,34.47,3.21,97.25,7.78,2.46,0.1,1.45,0.58,8.74,83.8,2.92,6.93,9.57,528.4,84,,,,5632,130,-667,,22,75,1,303,75,25,54,47,628,46,46,162,161,45,7662,2,375,0,2043,87,87,0,0,0,29,26,49,0,3,45,6,81,28,96,-16,-28,-7,-8,0,1,1,2,11,2,6,56,1,1,190,2,0,190,0,2,185,4,6,1,0,0,11600,,,,,12,126,1960,14,60,40,15,11600,2522,6944,1294,235,86,519,,12,1960,14,,54.0,18.0,2.0,1.0,0.0,0.0,1.0,0.0,40064.0,1049.0,1.0,1.0,69.0,38.0,21.07692307692308,838.6889645420008,-4138.891500464215,490.13580281045313,0.0624045308462399,1.97,-13.14,0.7149456241365983,0.9153906732907686,48.0,15.0,0.1594992695127637,12.699545227005752,-0.6093983743402358,1.0,도입기
5,(주)고려시멘트,198440,2022,-6.55,4.23,0.0,39.37,-1.08,-17.68,58.91,-6.67,6.44,0.0,0.0,-129.04,-14.28,-18.07,-11.1,-8.75,-8.9,-5.47,-11.15,-6.85,-10.34,-6.35,-394.97,-242.68,114.28,118.07,4.12,0.34,-0.18,0.52,0.0,0.0,-5.55,113.18,8.95,0.0,0.95,-0.15,2.69,16.64,167.29,-0.43,6.46,6.62,3318.84,59,0.0,0.0,0.0,2186,-243,-412,3401.0,-395,29,17,41,24,71,80,20,3419,89,76,402,335,38,353,22,993,0,36,25,9,5,16,60,22,1,1,-139,999999999,77,33,63,140,165,0,7,0,0,0,0,1,1,22,2,19,19,2,2,13,28,0,38,20,3,106,1,1,1,0,0,2503,93.0,0.0,0.0,0.0,2,4,85,4,299,-199,-310,2503,-9754,7476,-124,1867,791,2247,31.0,2,85,4,80.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,73757.0,-10384.0,-15.0,-114.0,-325.0,0.0,-9.794238683127572,696.1421529900705,-5781.496641425133,1088.8003884486398,0.037850897000013,3.45,-9.09,-6.554052413468948,0.5096463501787742,10.0,10.0,-0.1128157734746747,-0.8789124854908915,14.43612757488198,0.0,쇠퇴기
6,(주)고바이오랩,348150,2022,17.71,250.68,0.0,0.0,221.77,3.91,281.51,-14.64,301.12,0.0,0.0,0.0,69.11,-174.84,-201.51,-15.84,-17.71,-20.41,-21.81,-26.11,-18.6,-21.43,-219.8,-237.45,30.89,274.84,-23.6,-24.53,-3.89,0.31,29.96,0.0,-20.8,262.59,18.07,6.14,0.0,-1.21,2.44,16.75,11.46,-2.09,12.21,14.65,717.99,93,,,,627,-1305,-894,,-1096,83,1,478,82,17,77,23,818,22,19,1146,1135,117,72,1,0,77,0,30,9,13,20,21,75,11,14,-12,999999999,69,9,866,121,1019,-51,-105,-12,-125,0,0,0,0,1,1,0,0,0,0,19,19,21,319,0,26,14,1,1,0,0,0,-15851,,,,,-13,-104,-35331,-137,0,0,0,-15851,-23030,6723,-452,0,0,908,,-13,-35331,-137,,0.0,0.0,5.0,2.0,0.0,0.0,55.0,25.0,196375.0,-5071.0,-68.0,-4.0,-274.0,0.0,-12.585421412300684,2188.553540959991,-12618.276768126789,18000.66810120686,1.6494359061882058,25.76,10.42,17.708481630538305,0.0936462775813307,10.0,4.0,-0.0406613068369385,0.2678355316661964,-0.4559669930051903,1.0,도입기
7,(주)골드앤에스,35290,2014,-9.55,-3.55,0.0,0.0,-11.76,-4.56,-6.15,-12.14,-20.89,0.0,0.0,0.0,25.04,-9.84,-29.79,-6.24,-6.29,-19.02,-24.43,-90.29,-6.45,-19.51,-14.7,-40.92,74.96,109.84,-18.52,-6.92,6.92,0.1,3.24,0.0,-14.61,127.9,13.75,0.0,0.0,5.32,14.14,18.22,18.84,5.95,9.39,8.94,46.55,26,,,,1619,-840,-51,,-159,32,20,48,26,68,26,74,146,260,146,60,48,1,171,0,576,172,30,285,207,80,78,0,-21,50,193,-1,-3,13,1,49,107,142,-2,-3,-1,-2,-1,1,1,2,1,1,30,12,2,3,10,35,10,1158,0,6,58,1,1,1,0,0,4010,,,,,9,18,2263,13,139,-39,-232,4010,-8874,5594,2165,0,0,5751,,9,2263,13,,0.0,0.0,18.0,1.0,0.0,0.0,2.0,0.0,50689.0,2135.0,7.0,2.0,110.0,24.0,-4.253164556962025,3380.234324986276,-41204.35896401159,1305.3928227460922,0.3411898671920281,6.26,-35.09,-9.552472221171966,0.6724313159292523,30.0,25.0,0.132063792627082,0.5617675813074366,-0.3352279376004881,1.0,도입기
8,(주)광무,29480,2019,122.08,-53.29,0.0,0.0,114.12,127.19,-11.51,131.12,58.11,0.0,0.0,0.0,40.05,-8.26,-17.6,-5.83,-6.58,-14.02,-17.95,-38.68,-7.26,-15.46,-26.8,-54.72,59.95,108.26,-9.34,-6.06,1.9,0.0,0.0,0.0,-12.51,112.84,24.42,0.0,0.0,1.61,3.38,22.36,42.76,2.39,4.31,6.42,267.89,75,,,,935,-159,-62,,-77,62,1,165,61,38,36,64,365,104,88,109,107,48,1360,16,143,1549,954,176,158,92,18,131,5,38,105,-3,-8,27,3,78,48,154,-5,-8,-3,-5,-4,1,1,2,3,1,8,48,1,1,68,5,79,0,0,5,68,2,6,1,0,0,6253,,,,,10,164,2536,17,167,-67,-103,6253,-6421,10470,692,62,0,1450,,10,2536,17,,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,57714.0,-1272.0,-5.0,-1.0,-33.0,0.0,-6.451612903225806,2663.936263341616,-24985.95201143054,1668.000220041789,0.2626545623830225,5.34,5.74,122.07511476255344,0.5778282101045018,52.0,28.0,0.0392668544565557,0.1418003352677435,-0.070472722613718,1.0,도입기
9,(주)구영테크,53270,2022,7.73,1.8,0.0,0.0,1.27,20.42,22.04,9.38,34.81,92.65,27.04,-4.74,10.93,2.81,1.45,3.38,3.32,1.72,9.64,4.98,3.53,1.83,58.31,30.13,89.07,97.19,-0.74,-1.84,1.54,0.26,0.0,29.8,3.54,98.02,11.24,0.23,0.0,1.5,5.94,12.24,89.93,2.78,4.67,4.56,549.51,85,,,,10389,159,838,,292,38,37,61,24,62,35,65,632,179,127,74,46,7,101,0,87,155,115,188,147,70,41,0,-13,39,112,2,2,30,6,30,54,81,13,21,8,7,2,1,1,3,21,2,8,45,3,5,9,41,14,52,94,10,38,2,2,1,0,0,58146,,,,,24,45,75,21,54,46,7,58146,5664,31573,4217,0,0,16693,,24,75,21,,46.0,20.0,2.0,1.0,17.0,7.0,1.0,1.0,115517.0,11790.0,10.0,4.0,447.0,10.0,18.73949579831933,705.5272412662382,2661.520552408217,214.651142962751,0.1317536480440364,9.61,1.48,7.729369198375123,1.1419635290152856,35.0,22.0,0.0068573465523261,-1.2952577685255855,-3.124708402720887,0.0,성숙기
