회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치,총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,쭈피처,영업투자현금비율,영업재무현금비율,부실판단,도입기,성숙기,성장기,쇠퇴기
(주)CMG제약,58820,2022,19,79,2,6,617,520,15,12,3,53,20,63,87,-0.21,-0.24,-0.47,2.4,1.45,3.63,-2.37,-0.0194056142486561,7.072078214313208,7.07,7.64,6.1,18.31,22.79,15933,7,107,19,-2,-4,0.3854321723600449,4.04,1,2,1,0,1,1,23.0,23.0,-716.6666666666666,1614.5631613520873,60479.04823242296,3632.9408019060456,0.4613291829998049,-0.4543208999575726,0.8772956930059409,0.0,0,0,1,0
(주)ES큐브,50120,2020,3,270,3,24,62,60,929,754,1,-28,2,45,10,-39.39,-4.61,-31.35,1.76,1.75,12.79,4.05,-0.1622352868971078,54.08478724872655,54.08,-10.26,274.24,84.57,69.21,3768,1,13,5,-671,-113,0.112845967597423,0.39,0,3,0,0,0,0,47.0,22.0,-0.2018083182640144,1089.0644224677037,-2022.6276406796253,938.209085843149,0.1532839768596717,-207.94443580026007,0.594467157070449,1.0,0,0,0,1
(주)MH에탄올,23150,2022,6,9,5,19,28,23,369,200,51,-31,8,12,21,7.71,2.73,10.75,5.02,4.88,19.8,10.0,0.0269755491370851,-0.8905199360497233,-0.89,1.27,-1.17,8.48,-2.46,54043,12,14,49,22,73,0.2474573172430802,10.27,3,0,0,0,0,2,46.0,28.0,8.717067583046964,588.5945569751364,3407.740634970497,507.1293780277636,0.0800493359093759,-0.9797703331597452,-1.4582300697619837,0.0,0,1,0,0
(주)강원에너지,114190,2018,-16,-28,-7,-8,162,161,87,87,26,29,45,75,54,4.19,2.1,1.99,0.79,0.37,0.4,1.51,0.1594992695127637,0.7149456241365983,0.71,3.66,-7.26,4.72,-4.03,11600,12,126,14,15,40,0.9153906732907686,1.97,1,6,1,1,4,1,48.0,15.0,21.07692307692308,838.6889645420008,-4138.891500464215,490.13580281045313,0.0624045308462399,12.699545227005752,-0.6093983743402358,1.0,1,0,0,0
(주)고려시멘트,198440,2022,0,7,0,0,402,335,25,9,1,22,38,29,80,-6.85,-6.35,-11.1,-8.75,-8.9,-18.07,-0.18,-0.1128157734746747,-6.554052413468948,-6.55,-17.68,-1.08,6.44,4.23,2503,2,4,4,-310,-199,0.5096463501787742,3.45,2,1,1,0,1,2,10.0,10.0,-9.794238683127572,696.1421529900705,-5781.496641425133,1088.8003884486398,0.037850897000013,-0.8789124854908915,14.43612757488198,0.0,0,0,0,1
(주)고바이오랩,348150,2022,-51,-105,-12,-125,1146,1135,30,9,11,75,117,83,77,-26.11,-21.43,-201.51,-15.84,-17.71,-174.84,-3.89,-0.0406613068369385,17.708481630538305,17.71,3.91,221.77,301.12,250.68,-15851,-13,-104,-137,0,0,0.0936462775813307,25.76,0,1,0,0,1,0,10.0,4.0,-12.585421412300684,2188.553540959991,-12618.276768126789,18000.66810120686,1.6494359061882058,0.2678355316661964,-0.4559669930051903,1.0,1,0,0,0
(주)골드앤에스,35290,2014,-2,-3,-1,-2,60,48,285,207,50,-21,1,32,26,-90.29,-19.51,-29.79,-6.24,-6.29,-9.84,6.92,0.132063792627082,-9.552472221171966,-9.55,-4.56,-11.76,-20.89,-3.55,4010,9,18,13,-232,-39,0.6724313159292523,6.26,3,1,1,1,1,2,30.0,25.0,-4.253164556962025,3380.234324986276,-41204.35896401159,1305.3928227460922,0.3411898671920281,0.5617675813074366,-0.3352279376004881,1.0,1,0,0,0
(주)광무,29480,2019,-5,-8,-3,-5,109,107,176,158,38,5,48,62,36,-38.68,-15.46,-17.6,-5.83,-6.58,-8.26,1.9,0.0392668544565557,122.07511476255344,122.08,127.19,114.12,58.11,-53.29,6253,10,164,17,-103,-67,0.5778282101045018,5.34,1,6,1,1,2,1,52.0,28.0,-6.451612903225806,2663.936263341616,-24985.95201143054,1668.000220041789,0.2626545623830225,0.1418003352677435,-0.070472722613718,1.0,1,0,0,0
(주)구영테크,53270,2022,13,21,8,7,74,46,188,147,39,-13,7,38,35,4.98,1.83,1.45,3.38,3.32,2.81,1.54,0.0068573465523261,7.729369198375123,7.73,20.42,1.27,34.81,1.8,58146,24,45,21,7,46,1.1419635290152856,9.61,5,2,1,1,2,3,35.0,22.0,18.73949579831933,705.5272412662382,2661.520552408217,214.651142962751,0.1317536480440364,-1.2952577685255855,-3.124708402720887,0.0,0,1,0,0
(주)국순당,43650,2017,-6,-98,0,-2,709,592,9,6,0,31,295,36,91,4.88,6.42,15.44,-0.93,-1.87,-6.79,-2.86,0.0607042435569895,13.706226221695411,13.71,1.63,21.77,-9.96,-10.56,31047,13,53,49,31,45,0.259130055684821,7.28,1,1,0,0,0,1,41.0,24.0,10.161001788908766,457.8654383106792,-41891.91944672279,1616.207283107044,0.4449152378064369,-0.1561279179675155,3.3787309215428536,1.0,0,0,0,1
