회사명,거래소코드,회계년도,종가(원),현재까지 발행한 주식의 총수(주),현재까지 감소한 주식의 총수(주),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),발행주식수(주),발행주식수(주),[U01B840000000]당기순이익(손실)(요약)(IFRS연결)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),[U01D101000000]   당기순손익(요약)(IFRS연결)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS연결)(백만원),[U01B840000000]당기순이익(손실)(요약)(IFRS)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS)(백만원),[U01D101000000]   당기순손익(요약)(IFRS)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS)(백만원),[U01119300]      *당기순이익(요약)(백만원),[U01218800]당기순이익(요약)(백만원),[U01219300]CPA수정후 당기순이익(요약)(백만원),[U01311400]   당기순이익(요약)(백만원),[U01410100]   당기순이익(요약)(백만원),[U01550700]   당기순이익(요약)(백만원),[U01A600000000]자본(*)(요약)(IFRS연결)(백만원),[U01A600000000]자본(*)(IFRS연결)(백만원),[U01A600000000]자본(*)(요약)(IFRS)(백만원),[U01A600000000]자본(*)(IFRS)(천원),[U01119400]자본총계(요약)(천원),[U01160000]자본(*)(연결)(천원),[U01160000]자본(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),[U01410000]영업활동으로 인한 현금흐름(요약)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01B100000000]매출액(수익)(요약)(IFRS연결)(백만원),[U01B100000000]매출액(수익)(요약)(IFRS)(백만원),[U01210000]매출액(요약)(백만원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01210000]매출액(영업수익)(*)(천원)
(주)굿센,243870,2016/12,,1345951,0,1345951,1345951,1345951,,,,,1168,741,1168,741,1168,1168,1168,741,1168,741,,,20868,20868024,20868,,20868024,,-5054,-5054,,-5053863,,-5053863,,28614,28614,,28614455,,28614455
(주)굿센,243870,2016/12,,1345951,0,1345951,1345951,1345951,,,,,1168,741,1168,741,1168,1168,1168,741,1168,741,,,20868,20868024,20868,,20868024,,-5054,-5054,,-5053863,,-5053863,,28614,28614,,28614455,,28614455
(주)굿센,243870,2016/12,,0,0,0,1345951,1345951,,,,,1168,741,1168,741,1168,1168,1168,741,1168,741,,,20868,20868024,20868,,20868024,,-5054,-5054,,-5053863,,-5053863,,28614,28614,,28614455,,28614455
(주)굿센,243870,2017/12,,1345951,0,1345951,1345951,1345951,,,,,13,13,13,13,13,13,0,13,13,13,,,21187,21186835,21187,,21186835,,2393,2393,,2392799,,2392799,,24112,24112,,24112320,,24112320
(주)굿센,243870,2017/12,,0,0,0,1345951,1345951,,,,,13,13,13,13,13,13,0,13,13,13,,,21187,21186835,21187,,21186835,,2393,2393,,2392799,,2392799,,24112,24112,,24112320,,24112320
(주)굿센,243870,2017/12,,1345951,0,1345951,1345951,1345951,,,,,13,13,13,13,13,13,0,13,13,13,,,21187,21186835,21187,,21186835,,2393,2393,,2392799,,2392799,,24112,24112,,24112320,,24112320
(주)굿센,243870,2018/12,,1345951,0,1345951,1609978,1609978,,,,,-3090,-3090,-3090,-3090,-3090,-3090,-3090,-3090,-3090,-3090,,,9399,9399425,9399,,9399425,,-2318,-2318,,-2317675,,-2317675,,21162,21162,,21161918,,21161918
(주)굿센,243870,2018/12,,1609978,0,1609978,1609978,1609978,,,,,-3090,-3090,-3090,-3090,-3090,-3090,-3090,-3090,-3090,-3090,,,9399,9399425,9399,,9399425,,-2318,-2318,,-2317675,,-2317675,,21162,21162,,21161918,,21161918
(주)굿센,243870,2018/12,,264027,0,264027,1609978,1609978,,,,,-3090,-3090,-3090,-3090,-3090,-3090,-3090,-3090,-3090,-3090,,,9399,9399425,9399,,9399425,,-2318,-2318,,-2317675,,-2317675,,21162,21162,,21161918,,21161918
(주)굿센,243870,2019/12,,1457951,0,1457951,1721978,1721978,,,,,-4161,-4161,-4161,-4161,-4161,-4161,-4161,-4161,-4161,-4161,,,5681,5680506,5681,,5680506,,-821,-821,,-820825,,-820825,,8116,8116,,8116126,,8116126
