회사명,거래소코드,회계년도,[U01B951020000]*주당순손익(요약)(IFRS연결)(원),[U01B951020000]*주당순손익(요약)(IFRS)(원),[U01219000]주당순이익(요약)(원),[U01B951020000]*주당순손익(IFRS연결)(원),[U01B951020000]*주당순손익(IFRS)(원),[U01290400]*주당순손익(연결)(원),[U01290400]*주당순손익(원),당기순이익(천원),주당순이익(원),주당순자산(원)
(주)굿센,243870,2016/12,,599,599,,599,,599,1167810,599,0
(주)굿센,243870,2017/12,,10,10,,10,,10,12709,10,0
(주)굿센,243870,2018/12,,-2719,-2719,,-2719,,-2719,-3090286,-2719,0
(주)굿센,243870,2019/12,,-4403,-4403,,-4403,,-4403,-4161180,-4403,0
(주)굿센,243870,2020/12,,577,577,,577,,577,556304,577,0
(주)굿센,243870,2021/12,,3192,3192,,3192,,3192,3795592,3192,0
(주)굿센,243870,2022/12,,164,164,,164,,164,421387,164,0
(주)나눔테크,244880,2016/12,,,57,,,,57,227381,57,0
(주)나눔테크,244880,2017/12,,,442,,,,442,1769380,442,0
(주)나눔테크,244880,2018/12,,,199,,,,199,2406104,199,0
(주)나눔테크,244880,2019/12,,,579,,,,579,2904995,579,0
(주)나눔테크,244880,2020/12,,,309,,,,309,1550843,309,0
(주)나눔테크,244880,2021/12,,,467,,,,467,2347006,467,0
(주)나눔테크,244880,2022/12,,,621,,,,621,3120252,621,0
(주)나라소프트,288490,2018/12,,,17,,,,17,420347,17,0
(주)나라소프트,288490,2019/12,,,-140,,,,-140,-3495410,-140,0
(주)나라소프트,288490,2020/12,,38,38,,38,,38,1098044,38,0
(주)나라소프트,288490,2021/12,,-66,-66,,-66,,-66,-2093406,-66,0
(주)나라소프트,288490,2022/12,,-23,-23,,-23,,-23,-862606,-23,0
(주)나우코스,257990,2015/12,,,,,,,,,,
(주)나우코스,257990,2016/12,,,,,,,,,,
(주)나우코스,257990,2017/12,,,,,,,,,,
(주)나우코스,257990,2018/12,,,,,,,,,,
(주)나우코스,257990,2019/12,,,,,,,,,,
(주)나우코스,257990,2020/12,474,406,406,474,406,474,406,1590425,406,0
(주)나우코스,257990,2021/12,0,22,22,0,22,0,22,84627,22,0
(주)나우코스,257990,2022/12,0,-269,-269,0,-269,0,-269,-1295518,-269,0
(주)노드메이슨,317860,2019/12,,-172,-172,,-172,,-172,-641258,-172,0
(주)노드메이슨,317860,2020/12,,336,336,,336,,336,1258965,336,0
(주)노드메이슨,317860,2021/12,,36,36,,36,,36,137162,36,0
(주)노드메이슨,317860,2022/12,0,-582,-582,0,-582,0,-582,-2533979,-582,0
(주)노브메타파마,229500,2015/12,,,-98,,,,-98,-497222,-98,0
(주)노브메타파마,229500,2016/12,-531,-552,-552,-531,-552,-531,-552,-4291573,-552,0
(주)노브메타파마,229500,2017/12,-767,-754,-754,-767,-754,-767,-754,-5967158,-754,0
(주)노브메타파마,229500,2018/12,0,-1468,-1468,0,-1468,0,-1468,-12710679,-1468,0
(주)노브메타파마,229500,2019/12,0,-1354,-1354,0,-1354,0,-1354,-11956843,-1354,0
(주)노브메타파마,229500,2020/12,0,-710,-710,0,-710,0,-710,-6363799,-710,0
(주)노브메타파마,229500,2021/12,0,-722,-722,0,-722,0,-722,-6474704,-722,0
(주)노브메타파마,229500,2022/12,,-1,-1,,-641,,-641,-6142414,-641,0
(주)다원넥스뷰,323350,2019/12,,,57,,,,57,40047,57,0
(주)다원넥스뷰,323350,2020/12,,,-3815,,,,-3815,-2784710,-3815,0
(주)다원넥스뷰,323350,2021/12,,,634,,,,634,506357,634,0
(주)다원넥스뷰,323350,2022/12,,-918,-918,,-918,,-918,-842079,-918,0
(주)더콘텐츠온,302920,2018/12,,,68,,,,68,239677,68,0
(주)더콘텐츠온,302920,2019/12,,,252,,,,252,1146101,252,0
(주)더콘텐츠온,302920,2020/12,,,-435,,,,-435,-1979919,-435,0
(주)더콘텐츠온,302920,2021/12,,,126,,,,126,576463,126,0
(주)더콘텐츠온,302920,2022/12,,,-710,,,,-710,-3221874,-710,0
(주)데이터스트림즈,199150,2014/12,,,68,,,,68,274448,68,0
(주)데이터스트림즈,199150,2015/12,,,-617,,,,-617,-2479343,-617,0
(주)데이터스트림즈,199150,2016/12,-418,-374,-374,-418,-374,-418,-374,-1504305,-374,0
(주)데이터스트림즈,199150,2017/12,-516,-535,-535,-516,-535,-516,-535,-2181552,-535,0
(주)데이터스트림즈,199150,2018/12,-21,33,33,-21,33,-21,33,132960,33,0
(주)데이터스트림즈,199150,2019/12,0,-255,-255,-222,-255,-222,-255,-1045251,-255,0
(주)데이터스트림즈,199150,2020/12,0,213,213,238,213,238,213,873209,213,0
(주)데이터스트림즈,199150,2021/12,0,224,224,234,224,234,224,930230,224,0
(주)데이터스트림즈,199150,2022/12,-1,-537,-537,-534,-537,-534,-537,-2250189,-537,0
(주)듀켐바이오,176750,2014/12,,,24,,,0,24,183736,24,0
(주)듀켐바이오,176750,2015/12,,,-2325,,,-2324,-2325,-11600003,-2325,0
(주)듀켐바이오,176750,2016/12,,,-1739,,,-1739,-1739,-8833130,-1739,0
(주)듀켐바이오,176750,2017/12,0,-486,-486,0,-486,0,-486,-2670803,-486,0
(주)듀켐바이오,176750,2018/12,0,-1193,-1193,0,-1193,0,-1193,-7806391,-1193,0
(주)듀켐바이오,176750,2019/12,0,-1836,-1836,0,-1836,0,-1836,-15121581,-1836,0
(주)듀켐바이오,176750,2020/12,0,-809,-809,0,-809,0,-809,-7163984,-809,0
(주)듀켐바이오,176750,2021/12,0,60,60,0,60,0,60,1608194,60,0
(주)듀켐바이오,176750,2022/12,,-97,-97,,-97,,-97,-2831527,-97,0
(주)디피코,163430,2018/12,,,65,,,,65,131543,65,0
(주)디피코,163430,2019/12,,,-15,,,,-15,-46407,-15,0
(주)디피코,163430,2020/12,,,-1877,,,,-1877,-6988166,-1877,0
(주)디피코,163430,2021/12,,-6110,-6110,,-6110,,-6110,-16467159,-2994,0
(주)디피코,163430,2022/12,,-1428,-1428,,-1428,,-1428,-11749825,-1428,0
(주)라피치,403360,2021/12,,,96,,,,96,278947,96,0
(주)라피치,403360,2022/12,,232,232,,232,,232,672630,232,0
(주)로보쓰리에이아이앤로보틱스,238500,2016/12,,-156,-156,,-156,,-156,-670742,-156,0
(주)로보쓰리에이아이앤로보틱스,238500,2017/12,,-158,-158,,-158,,-158,-702200,-158,0
(주)로보쓰리에이아이앤로보틱스,238500,2018/12,,-141,-141,,-141,,-141,-649834,-141,0
(주)로보쓰리에이아이앤로보틱스,238500,2019/12,,-542,-542,,-542,,-542,-2538933,-542,0
(주)로보쓰리에이아이앤로보틱스,238500,2020/12,,-101,-101,,-101,,-101,-471741,-101,0
(주)로보쓰리에이아이앤로보틱스,238500,2021/12,,-105,-105,,-105,,-105,-1469436,-105,0
(주)로보쓰리에이아이앤로보틱스,238500,2022/12,,-256,-256,,-256,,-256,-4247477,-256,0
(주)로지스몬,223220,2015/12,0,-418,-418,0,-418,0,-418,-1421270,-418,0
(주)로지스몬,223220,2016/12,0,-956,-956,0,-956,0,-956,-3251162,-956,0
(주)로지스몬,223220,2017/12,,-1027,-1027,,-1027,,-1027,-4847946,-893,0
(주)로지스몬,223220,2018/12,,-37,-37,,-37,,-37,-317596,-37,0
(주)로지스몬,223220,2019/12,,-460,-460,,-460,,-460,-2137751,-396,0
(주)로지스몬,223220,2020/12,,-85,-85,,-85,,-85,-945146,-72,0
(주)로지스몬,223220,2021/12,,-71,-71,,-71,,-71,-1719205,-71,0
(주)로지스몬,223220,2022/12,,-20,-20,,-20,,-20,-817328,-20,0
(주)루켄테크놀러지스,162120,2017/12,,,318,,,,318,522543,318,0
(주)루켄테크놀러지스,162120,2018/12,,,163,,,,163,282231,163,0
(주)루켄테크놀러지스,162120,2019/12,,,371,,,,371,628104,371,0
(주)루켄테크놀러지스,162120,2020/12,,-4817,-4817,,-4817,,-4817,-24382585,-4817,0
(주)루켄테크놀러지스,162120,2021/12,,148,148,,148,,148,1512123,148,0
(주)루켄테크놀러지스,162120,2022/12,,-188,-188,,-188,,-188,-2062731,-188,0
(주)루트락,253610,2020/12,,,-151,,,,-151,-1132995,-151,0
(주)루트락,253610,2021/12,,,-397,,,,-397,-3086838,-397,0
