,회사명,거래소코드,회계년도,기업수명주기
0,(주)가이아코퍼레이션,296520,2017,도입기
1,(주)가이아코퍼레이션,296520,2018,도입기
2,(주)가이아코퍼레이션,296520,2019,도입기
3,(주)가이아코퍼레이션,296520,2020,성숙기
4,(주)가이아코퍼레이션,296520,2021,성숙기
5,(주)가이아코퍼레이션,296520,2022,성장기
6,(주)굿센,243870,2013,성장기
7,(주)굿센,243870,2016,쇠퇴기
8,(주)굿센,243870,2019,쇠퇴기
9,(주)굿센,243870,2020,성장기
10,(주)굿센,243870,2021,쇠퇴기
11,(주)굿센,243870,2022,성장기
12,(주)나눔테크,244880,2016,성숙기
13,(주)나눔테크,244880,2017,성숙기
14,(주)나눔테크,244880,2018,성숙기
15,(주)나눔테크,244880,2019,성숙기
16,(주)나눔테크,244880,2020,성숙기
17,(주)나눔테크,244880,2021,성숙기
18,(주)나눔테크,244880,2022,성장기
19,(주)나라소프트,288490,2016,도입기
20,(주)나라소프트,288490,2017,쇠퇴기
21,(주)나라소프트,288490,2018,성숙기
22,(주)나라소프트,288490,2019,도입기
23,(주)나라소프트,288490,2020,쇠퇴기
24,(주)나라소프트,288490,2021,도입기
25,(주)나라소프트,288490,2022,성숙기
26,(주)나우코스,257990,2019,성숙기
27,(주)나우코스,257990,2020,성장기
28,(주)나우코스,257990,2021,성숙기
29,(주)나우코스,257990,2022,성장기
30,(주)노드메이슨,317860,2018,도입기
31,(주)노드메이슨,317860,2019,성숙기
32,(주)노드메이슨,317860,2020,성숙기
33,(주)노드메이슨,317860,2021,성장기
34,(주)노드메이슨,317860,2022,도입기
35,(주)노보믹스,283100,2018,도입기
36,(주)노보믹스,283100,2019,쇠퇴기
37,(주)노보믹스,283100,2020,도입기
38,(주)노보믹스,283100,2021,쇠퇴기
39,(주)노보믹스,283100,2022,쇠퇴기
40,(주)노브메타파마,229500,2013,성장기
41,(주)노브메타파마,229500,2014,도입기
42,(주)노브메타파마,229500,2015,도입기
43,(주)노브메타파마,229500,2016,쇠퇴기
44,(주)노브메타파마,229500,2017,도입기
45,(주)노브메타파마,229500,2018,쇠퇴기
46,(주)노브메타파마,229500,2019,쇠퇴기
47,(주)노브메타파마,229500,2020,쇠퇴기
48,(주)노브메타파마,229500,2021,도입기
49,(주)노브메타파마,229500,2022,쇠퇴기
50,(주)다원넥스뷰,323350,2017,성숙기
51,(주)다원넥스뷰,323350,2018,성장기
52,(주)다원넥스뷰,323350,2019,도입기
53,(주)다원넥스뷰,323350,2020,성장기
54,(주)다원넥스뷰,323350,2021,성숙기
55,(주)다원넥스뷰,323350,2022,도입기
56,(주)더콘텐츠온,302920,2013,도입기
57,(주)더콘텐츠온,302920,2014,성숙기
58,(주)더콘텐츠온,302920,2015,도입기
59,(주)더콘텐츠온,302920,2016,성숙기
60,(주)더콘텐츠온,302920,2017,성장기
61,(주)더콘텐츠온,302920,2018,성장기
62,(주)더콘텐츠온,302920,2019,도입기
63,(주)더콘텐츠온,302920,2020,성장기
64,(주)더콘텐츠온,302920,2021,성숙기
65,(주)더콘텐츠온,302920,2022,성숙기
66,(주)데이터스트림즈,199150,2013,쇠퇴기
67,(주)데이터스트림즈,199150,2016,성장기
68,(주)데이터스트림즈,199150,2017,쇠퇴기
69,(주)데이터스트림즈,199150,2018,쇠퇴기
70,(주)데이터스트림즈,199150,2019,성숙기
71,(주)데이터스트림즈,199150,2020,성숙기
72,(주)데이터스트림즈,199150,2022,성장기
73,(주)듀켐바이오,176750,2013,도입기
74,(주)듀켐바이오,176750,2014,도입기
75,(주)듀켐바이오,176750,2015,쇠퇴기
76,(주)듀켐바이오,176750,2016,성숙기
77,(주)듀켐바이오,176750,2017,성숙기
78,(주)듀켐바이오,176750,2018,성장기
79,(주)듀켐바이오,176750,2019,성장기
80,(주)듀켐바이오,176750,2020,쇠퇴기
81,(주)듀켐바이오,176750,2022,성숙기
82,(주)디피코,163430,2014,성장기
83,(주)디피코,163430,2015,성장기
84,(주)디피코,163430,2016,도입기
85,(주)디피코,163430,2017,쇠퇴기
86,(주)디피코,163430,2018,성숙기
87,(주)디피코,163430,2019,성장기
88,(주)디피코,163430,2020,도입기
89,(주)디피코,163430,2021,도입기
90,(주)디피코,163430,2022,도입기
91,(주)라피치,403360,2019,성숙기
