,회사명,거래소코드,회계년도,GAAP(개별) 기업수명주기,GAAP(연결) 기업수명주기,IFRS(개별) 기업수명주기,IFRS(개별)(비교) 기업수명주기,IFRS(연결) 기업수명주기,IFRS(연결)(비교) 기업수명주기
0,(주)가이아코퍼레이션,296520,2017/12,도입기,,도입기,도입기,,
1,(주)가이아코퍼레이션,296520,2018/12,도입기,,도입기,도입기,,
2,(주)가이아코퍼레이션,296520,2019/12,도입기,,도입기,도입기,,
3,(주)가이아코퍼레이션,296520,2020/12,성숙기,,성숙기,성숙기,,성숙기
4,(주)가이아코퍼레이션,296520,2021/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
5,(주)가이아코퍼레이션,296520,2022/12,성장기,성장기,성장기,,성장기,
6,(주)굿센,243870,2013/12,성장기,,,,,
7,(주)굿센,243870,2014/12,,,,,,
8,(주)굿센,243870,2015/12,,,,,,
9,(주)굿센,243870,2016/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
10,(주)굿센,243870,2017/12,,,,,,
11,(주)굿센,243870,2018/12,,,,,,
12,(주)굿센,243870,2019/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
13,(주)굿센,243870,2020/12,,,,성장기,,
14,(주)굿센,243870,2021/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
15,(주)굿센,243870,2022/12,성장기,,성장기,,,
16,(주)나눔테크,244880,2014/12,,,,,,
17,(주)나눔테크,244880,2015/12,,,,,,
18,(주)나눔테크,244880,2016/12,성숙기,,,,,
19,(주)나눔테크,244880,2017/12,성숙기,,,,,
20,(주)나눔테크,244880,2018/12,성숙기,,,,,
21,(주)나눔테크,244880,2019/12,성숙기,,,,,
22,(주)나눔테크,244880,2020/12,성숙기,,,,,
23,(주)나눔테크,244880,2021/12,성숙기,,,,,
24,(주)나눔테크,244880,2022/12,성장기,,,,,
25,(주)나라소프트,288490,2016/12,도입기,,,,,
26,(주)나라소프트,288490,2017/12,쇠퇴기,,,,,
27,(주)나라소프트,288490,2018/12,성숙기,,,,,
28,(주)나라소프트,288490,2019/12,도입기,,,도입기,,
29,(주)나라소프트,288490,2020/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
30,(주)나라소프트,288490,2021/12,도입기,,도입기,도입기,,
31,(주)나라소프트,288490,2022/12,성숙기,,성숙기,,,
32,(주)나우코스,257990,2015/12,,,,,,
33,(주)나우코스,257990,2016/12,,,,,,
34,(주)나우코스,257990,2017/12,,,,,,
35,(주)나우코스,257990,2018/12,,,,,,
36,(주)나우코스,257990,2019/12,,,,성숙기,,성숙기
37,(주)나우코스,257990,2020/12,성장기,성장기,성장기,성장기,성장기,성장기
38,(주)나우코스,257990,2021/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
39,(주)나우코스,257990,2022/12,성장기,성장기,성장기,,성장기,
40,(주)노드메이슨,317860,2018/12,도입기,,도입기,도입기,,
41,(주)노드메이슨,317860,2019/12,성숙기,,성숙기,성숙기,,
42,(주)노드메이슨,317860,2020/12,성숙기,,성숙기,성숙기,,
43,(주)노드메이슨,317860,2021/12,성장기,,성장기,성장기,,성장기
44,(주)노드메이슨,317860,2022/12,도입기,도입기,도입기,,도입기,
45,(주)노보믹스,283100,2018/12,도입기,도입기,도입기,도입기,도입기,도입기
46,(주)노보믹스,283100,2019/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
47,(주)노보믹스,283100,2020/12,도입기,도입기,도입기,도입기,도입기,도입기
48,(주)노보믹스,283100,2021/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
49,(주)노보믹스,283100,2022/12,쇠퇴기,쇠퇴기,쇠퇴기,,쇠퇴기,
50,(주)노브메타파마,229500,2013/12,성장기,,,,,
51,(주)노브메타파마,229500,2014/12,도입기,,,,,
52,(주)노브메타파마,229500,2015/12,도입기,,,도입기,,도입기
53,(주)노브메타파마,229500,2016/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
54,(주)노브메타파마,229500,2017/12,도입기,도입기,도입기,도입기,도입기,도입기
55,(주)노브메타파마,229500,2018/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
56,(주)노브메타파마,229500,2019/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
57,(주)노브메타파마,229500,2020/12,도입기,쇠퇴기,도입기,도입기,쇠퇴기,쇠퇴기
58,(주)노브메타파마,229500,2021/12,도입기,도입기,도입기,도입기,도입기,
59,(주)노브메타파마,229500,2022/12,쇠퇴기,,쇠퇴기,,,
60,(주)다원넥스뷰,323350,2017/12,성숙기,,,,,
61,(주)다원넥스뷰,323350,2018/12,성장기,,,,,
62,(주)다원넥스뷰,323350,2019/12,도입기,,,,,
63,(주)다원넥스뷰,323350,2020/12,성장기,,,,,
64,(주)다원넥스뷰,323350,2021/12,성숙기,,,성숙기,,
65,(주)다원넥스뷰,323350,2022/12,도입기,,도입기,,,
66,(주)더콘텐츠온,302920,2013/12,도입기,,,,,
67,(주)더콘텐츠온,302920,2014/12,성숙기,,,,,
68,(주)더콘텐츠온,302920,2015/12,도입기,,,,,
69,(주)더콘텐츠온,302920,2016/12,성숙기,,,,,
70,(주)더콘텐츠온,302920,2017/12,성장기,,,,,
71,(주)더콘텐츠온,302920,2018/12,성장기,,,,,
72,(주)더콘텐츠온,302920,2019/12,도입기,,,,,
73,(주)더콘텐츠온,302920,2020/12,성장기,,,,,
74,(주)더콘텐츠온,302920,2021/12,성숙기,,,,,
75,(주)더콘텐츠온,302920,2022/12,성숙기,,,,,
76,(주)데이터스트림즈,199150,2013/12,쇠퇴기,,,,,
77,(주)데이터스트림즈,199150,2014/12,,,,,,
78,(주)데이터스트림즈,199150,2015/12,,,,,,
79,(주)데이터스트림즈,199150,2016/12,성장기,성장기,성장기,성장기,성장기,성장기
80,(주)데이터스트림즈,199150,2017/12,,쇠퇴기,,,쇠퇴기,쇠퇴기
81,(주)데이터스트림즈,199150,2018/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
82,(주)데이터스트림즈,199150,2019/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
83,(주)데이터스트림즈,199150,2020/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
84,(주)데이터스트림즈,199150,2021/12,,,,,,
85,(주)데이터스트림즈,199150,2022/12,성장기,성장기,성장기,,성장기,
86,(주)듀켐바이오,176750,2013/12,도입기,,,,,
87,(주)듀켐바이오,176750,2014/12,도입기,도입기,,,,
88,(주)듀켐바이오,176750,2015/12,쇠퇴기,쇠퇴기,,,,
89,(주)듀켐바이오,176750,2016/12,성장기,성숙기,,성장기,,성장기
90,(주)듀켐바이오,176750,2017/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
91,(주)듀켐바이오,176750,2018/12,성장기,성장기,성장기,성장기,성장기,성장기
92,(주)듀켐바이오,176750,2019/12,도입기,성장기,도입기,도입기,성장기,성장기
93,(주)듀켐바이오,176750,2020/12,도입기,쇠퇴기,도입기,,쇠퇴기,
94,(주)듀켐바이오,176750,2021/12,,,,,,
95,(주)듀켐바이오,176750,2022/12,성숙기,,성숙기,,,
96,(주)디피코,163430,2014/12,성장기,,,,,
97,(주)디피코,163430,2015/12,성장기,,,,,
98,(주)디피코,163430,2016/12,도입기,,,,,
99,(주)디피코,163430,2017/12,쇠퇴기,,,,,
100,(주)디피코,163430,2018/12,성숙기,,,,,
101,(주)디피코,163430,2019/12,성장기,,,,,
102,(주)디피코,163430,2020/12,도입기,,,도입기,,
103,(주)디피코,163430,2021/12,도입기,,도입기,도입기,,
104,(주)디피코,163430,2022/12,도입기,,도입기,,,
105,(주)라피치,403360,2019/12,성숙기,,,,,
106,(주)라피치,403360,2020/12,성숙기,,,,,
107,(주)라피치,403360,2021/12,,,,,,
108,(주)라피치,403360,2022/12,성숙기,,성숙기,,,
109,(주)로보쓰리에이아이앤로보틱스,238500,2014/12,도입기,,,,,
110,(주)로보쓰리에이아이앤로보틱스,238500,2015/12,도입기,,,도입기,,
111,(주)로보쓰리에이아이앤로보틱스,238500,2016/12,도입기,,도입기,도입기,,
112,(주)로보쓰리에이아이앤로보틱스,238500,2017/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
113,(주)로보쓰리에이아이앤로보틱스,238500,2018/12,도입기,,도입기,도입기,,
114,(주)로보쓰리에이아이앤로보틱스,238500,2019/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
115,(주)로보쓰리에이아이앤로보틱스,238500,2020/12,,,,,,
116,(주)로보쓰리에이아이앤로보틱스,238500,2021/12,도입기,,도입기,도입기,,
117,(주)로보쓰리에이아이앤로보틱스,238500,2022/12,도입기,,도입기,,,
118,(주)로지스몬,223220,2014/12,,,,,,
119,(주)로지스몬,223220,2015/12,성장기,도입기,성장기,성장기,도입기,도입기
120,(주)로지스몬,223220,2016/12,도입기,도입기,도입기,도입기,도입기,
121,(주)로지스몬,223220,2017/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
122,(주)로지스몬,223220,2018/12,도입기,,도입기,쇠퇴기,,
123,(주)로지스몬,223220,2019/12,,,,,,
124,(주)로지스몬,223220,2020/12,도입기,,도입기,도입기,,
125,(주)로지스몬,223220,2021/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
126,(주)로지스몬,223220,2022/12,쇠퇴기,,쇠퇴기,,,
127,(주)루켄테크놀러지스,162120,2013/12,도입기,,,,,
128,(주)루켄테크놀러지스,162120,2014/12,도입기,,,,,
129,(주)루켄테크놀러지스,162120,2015/12,성장기,,,,,
130,(주)루켄테크놀러지스,162120,2016/12,쇠퇴기,,,,,
131,(주)루켄테크놀러지스,162120,2017/12,성숙기,,,,,
132,(주)루켄테크놀러지스,162120,2018/12,도입기,,,,,
133,(주)루켄테크놀러지스,162120,2019/12,도입기,,,도입기,,
134,(주)루켄테크놀러지스,162120,2020/12,성장기,,성장기,성장기,,
135,(주)루켄테크놀러지스,162120,2021/12,도입기,,도입기,도입기,,
136,(주)루켄테크놀러지스,162120,2022/12,쇠퇴기,,쇠퇴기,,,
137,(주)루트락,253610,2017/12,도입기,,,,,
138,(주)루트락,253610,2018/12,도입기,,,,,
139,(주)루트락,253610,2019/12,,,,,,
140,(주)루트락,253610,2020/12,도입기,,,,,
141,(주)루트락,253610,2021/12,도입기,,,,,
142,(주)루트락,253610,2022/12,도입기,,,,,
143,(주)마이크로엔엑스,448780,2016/12,도입기,,,,,
144,(주)마이크로엔엑스,448780,2017/12,도입기,,,,,
145,(주)마이크로엔엑스,448780,2018/12,쇠퇴기,,,,,
146,(주)마이크로엔엑스,448780,2019/12,쇠퇴기,,,,,
147,(주)마이크로엔엑스,448780,2020/12,도입기,도입기,,,,
148,(주)마이크로엔엑스,448780,2021/12,,,,,,
149,(주)마이크로엔엑스,448780,2022/12,성숙기,성숙기,,,,
150,(주)메디쎄이,200580,2013/12,성장기,,,,,
151,(주)메디쎄이,200580,2014/12,성장기,,,,,
152,(주)메디쎄이,200580,2015/12,성장기,,,,,
153,(주)메디쎄이,200580,2016/12,도입기,,,도입기,,도입기
154,(주)메디쎄이,200580,2017/12,도입기,도입기,도입기,도입기,도입기,도입기
155,(주)메디쎄이,200580,2018/12,성장기,성장기,성장기,성장기,성장기,성장기
156,(주)메디쎄이,200580,2019/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
157,(주)메디쎄이,200580,2020/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
158,(주)메디쎄이,200580,2021/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
159,(주)메디쎄이,200580,2022/12,,,,,,
160,(주)메디안디노스틱,233250,2013/12,성장기,,,,,
161,(주)메디안디노스틱,233250,2014/12,쇠퇴기,,,,,
162,(주)메디안디노스틱,233250,2017/12,,,,,,
163,(주)메디안디노스틱,233250,2018/12,성장기,,성장기,성장기,,
164,(주)메디안디노스틱,233250,2019/12,성장기,성장기,성장기,성장기,성장기,성장기
165,(주)메디안디노스틱,233250,2020/12,성장기,성장기,성장기,성장기,성장기,성장기
166,(주)메디안디노스틱,233250,2021/12,성장기,성장기,성장기,성장기,성장기,성장기
167,(주)메디안디노스틱,233250,2022/12,도입기,도입기,도입기,,도입기,
168,(주)메디젠휴먼케어,236340,2013/12,도입기,,,,,
169,(주)메디젠휴먼케어,236340,2014/12,도입기,,,,,
170,(주)메디젠휴먼케어,236340,2015/12,쇠퇴기,,,,,
171,(주)메디젠휴먼케어,236340,2016/12,,,,,,
172,(주)메디젠휴먼케어,236340,2017/12,도입기,,,도입기,,도입기
173,(주)메디젠휴먼케어,236340,2018/12,도입기,도입기,도입기,도입기,도입기,도입기
174,(주)메디젠휴먼케어,236340,2019/12,도입기,도입기,도입기,도입기,도입기,도입기
175,(주)메디젠휴먼케어,236340,2020/12,도입기,도입기,도입기,도입기,도입기,
176,(주)메디젠휴먼케어,236340,2021/12,도입기,,도입기,도입기,,
177,(주)메디젠휴먼케어,236340,2022/12,도입기,,도입기,,,
178,(주)무진메디,322970,2017/12,도입기,,,,,
179,(주)무진메디,322970,2018/12,도입기,,,,,
180,(주)무진메디,322970,2019/12,,,,,,
181,(주)무진메디,322970,2020/12,도입기,,,,,
182,(주)무진메디,322970,2021/12,도입기,,,,,
183,(주)무진메디,322970,2022/12,도입기,,,,,
184,(주)미래엔에듀파트너,208890,2013/12,성장기,,,,,
185,(주)미래엔에듀파트너,208890,2014/12,성숙기,,,성숙기,,성장기
186,(주)미래엔에듀파트너,208890,2015/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
187,(주)미래엔에듀파트너,208890,2016/12,성장기,성장기,성장기,성장기,성장기,성장기
188,(주)미래엔에듀파트너,208890,2017/12,,성숙기,,,성숙기,성숙기
189,(주)미래엔에듀파트너,208890,2018/12,성장기,성장기,성장기,성장기,성장기,성장기
190,(주)미래엔에듀파트너,208890,2019/12,성장기,성장기,성장기,성장기,성장기,성장기
191,(주)미래엔에듀파트너,208890,2020/12,도입기,도입기,도입기,도입기,도입기,도입기
192,(주)미래엔에듀파트너,208890,2021/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
193,(주)미래엔에듀파트너,208890,2022/12,성숙기,성숙기,성숙기,,성숙기,
194,(주)바스칸바이오제약,354390,2021/12,도입기,,도입기,도입기,,
195,(주)바스칸바이오제약,354390,2022/12,성숙기,,성숙기,,,
196,(주)바이오인프라생명과학,266470,2014/12,도입기,,,,,
197,(주)바이오인프라생명과학,266470,2015/12,도입기,,,,,
