,회사명_x,거래소코드,회계년도,종가(원)_x,현재까지 발행한 주식의 총수(주),현재까지 감소한 주식의 총수(주),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),발행주식수(주),발행주식수(주).1,[U01B840000000]당기순이익(손실)(요약)(IFRS연결)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),[U01D101000000]   당기순손익(요약)(IFRS연결)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS연결)(백만원),[U01B840000000]당기순이익(손실)(요약)(IFRS)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS)(백만원),[U01D101000000]   당기순손익(요약)(IFRS)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS)(백만원),[U01119300]      *당기순이익(요약)(백만원),[U01218800]당기순이익(요약)(백만원),[U01219300]CPA수정후 당기순이익(요약)(백만원),[U01311400]   당기순이익(요약)(백만원),[U01410100]   당기순이익(요약)(백만원),[U01550700]   당기순이익(요약)(백만원),[U01A600000000]자본(*)(요약)(IFRS연결)(백만원),[U01A600000000]자본(*)(IFRS연결)(백만원),[U01A600000000]자본(*)(요약)(IFRS)(백만원),[U01A600000000]자본(*)(IFRS)(천원),[U01119400]자본총계(요약)(천원),[U01160000]자본(*)(연결)(천원),[U01160000]자본(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),[U01410000]영업활동으로 인한 현금흐름(요약)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01B100000000]매출액(수익)(요약)(IFRS연결)(백만원),[U01B100000000]매출액(수익)(요약)(IFRS)(백만원),[U01210000]매출액(요약)(백만원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01B951020000]*주당순손익(요약)(IFRS연결)(원),[U01B951020000]*주당순손익(요약)(IFRS)(원),[U01219000]주당순이익(요약)(원),[U01B951020000]*주당순손익(IFRS연결)(원),[U01B951020000]*주당순손익(IFRS)(원),[U01290400]*주당순손익(연결)(원),[U01290400]*주당순손익(원),당기순이익(천원),주당순이익(원),주당순자산(원),회사명_y,종가(원)_y
0,(주)굿센,243870,2016/12,,1345951.0,0.0,1345951.0,1345951.0,1345951.0,,,,,1168.0,741.0,1168.0,741.0,1168.0,1168.0,1168.0,741.0,1168.0,741.0,,,20868.0,20868024.0,20868.0,,20868024.0,,-5054.0,-5054.0,,-5053863.0,,-5053863.0,,28614.0,28614.0,,28614455.0,,28614455.0,,599.0,599.0,,599.0,,599.0,1167810.0,599.0,0.0,굿센,14700
1,(주)굿센,243870,2016/12,,1345951.0,0.0,1345951.0,1345951.0,1345951.0,,,,,1168.0,741.0,1168.0,741.0,1168.0,1168.0,1168.0,741.0,1168.0,741.0,,,20868.0,20868024.0,20868.0,,20868024.0,,-5054.0,-5054.0,,-5053863.0,,-5053863.0,,28614.0,28614.0,,28614455.0,,28614455.0,,599.0,599.0,,599.0,,599.0,1167810.0,599.0,0.0,굿센,14700
2,(주)굿센,243870,2016/12,,0.0,0.0,0.0,1345951.0,1345951.0,,,,,1168.0,741.0,1168.0,741.0,1168.0,1168.0,1168.0,741.0,1168.0,741.0,,,20868.0,20868024.0,20868.0,,20868024.0,,-5054.0,-5054.0,,-5053863.0,,-5053863.0,,28614.0,28614.0,,28614455.0,,28614455.0,,599.0,599.0,,599.0,,599.0,1167810.0,599.0,0.0,굿센,14700
3,(주)굿센,243870,2017/12,,1345951.0,0.0,1345951.0,1345951.0,1345951.0,,,,,13.0,13.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,,,21187.0,21186835.0,21187.0,,21186835.0,,2393.0,2393.0,,2392799.0,,2392799.0,,24112.0,24112.0,,24112320.0,,24112320.0,,10.0,10.0,,10.0,,10.0,12709.0,10.0,0.0,굿센,50500
4,(주)굿센,243870,2017/12,,0.0,0.0,0.0,1345951.0,1345951.0,,,,,13.0,13.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,,,21187.0,21186835.0,21187.0,,21186835.0,,2393.0,2393.0,,2392799.0,,2392799.0,,24112.0,24112.0,,24112320.0,,24112320.0,,10.0,10.0,,10.0,,10.0,12709.0,10.0,0.0,굿센,50500
5,(주)굿센,243870,2017/12,,1345951.0,0.0,1345951.0,1345951.0,1345951.0,,,,,13.0,13.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,,,21187.0,21186835.0,21187.0,,21186835.0,,2393.0,2393.0,,2392799.0,,2392799.0,,24112.0,24112.0,,24112320.0,,24112320.0,,10.0,10.0,,10.0,,10.0,12709.0,10.0,0.0,굿센,50500
6,(주)굿센,243870,2018/12,,1345951.0,0.0,1345951.0,1609978.0,1609978.0,,,,,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,,,9399.0,9399425.0,9399.0,,9399425.0,,-2318.0,-2318.0,,-2317675.0,,-2317675.0,,21162.0,21162.0,,21161918.0,,21161918.0,,-2719.0,-2719.0,,-2719.0,,-2719.0,-3090286.0,-2719.0,0.0,굿센,25900
7,(주)굿센,243870,2018/12,,1609978.0,0.0,1609978.0,1609978.0,1609978.0,,,,,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,,,9399.0,9399425.0,9399.0,,9399425.0,,-2318.0,-2318.0,,-2317675.0,,-2317675.0,,21162.0,21162.0,,21161918.0,,21161918.0,,-2719.0,-2719.0,,-2719.0,,-2719.0,-3090286.0,-2719.0,0.0,굿센,25900
8,(주)굿센,243870,2018/12,,264027.0,0.0,264027.0,1609978.0,1609978.0,,,,,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,-3090.0,,,9399.0,9399425.0,9399.0,,9399425.0,,-2318.0,-2318.0,,-2317675.0,,-2317675.0,,21162.0,21162.0,,21161918.0,,21161918.0,,-2719.0,-2719.0,,-2719.0,,-2719.0,-3090286.0,-2719.0,0.0,굿센,25900
9,(주)굿센,243870,2019/12,,1457951.0,0.0,1457951.0,1721978.0,1721978.0,,,,,-4161.0,-4161.0,-4161.0,-4161.0,-4161.0,-4161.0,-4161.0,-4161.0,-4161.0,-4161.0,,,5681.0,5680506.0,5681.0,,5680506.0,,-821.0,-821.0,,-820825.0,,-820825.0,,8116.0,8116.0,,8116126.0,,8116126.0,,-4403.0,-4403.0,,-4403.0,,-4403.0,-4161180.0,-4403.0,0.0,굿센,13250
