회사명,거래소코드,회계년도,종가(원)
SGA시스템즈,232290,2016/03,3240
SGA시스템즈,232290,2016/04,5000
SGA시스템즈,232290,2016/05,4350
SGA시스템즈,232290,2016/06,4150
SGA시스템즈,232290,2016/07,4300
SGA시스템즈,232290,2016/08,3700
SGA시스템즈,232290,2016/09,3750
SGA시스템즈,232290,2016/10,3600
SGA시스템즈,232290,2016/11,3250
SGA시스템즈,232290,2016/12,3700
SGA시스템즈,232290,2017/01,3640
SGA시스템즈,232290,2017/02,3450
SGA시스템즈,232290,2017/03,3270
SGA시스템즈,232290,2017/04,3330
SGA시스템즈,232290,2017/05,3330
SGA시스템즈,232290,2017/06,3330
SGA시스템즈,232290,2017/07,3150
SGA시스템즈,232290,2017/08,2980
SGA시스템즈,232290,2017/09,2980
SGA시스템즈,232290,2017/10,2980
SGA시스템즈,232290,2017/11,2980
SGA시스템즈,232290,2017/12,2980
SK시그넷,260870,2017/08,5520
SK시그넷,260870,2017/09,9450
SK시그넷,260870,2017/10,8920
SK시그넷,260870,2017/11,10400
SK시그넷,260870,2017/12,10450
SK시그넷,260870,2018/01,18500
SK시그넷,260870,2018/02,15900
SK시그넷,260870,2018/03,16000
SK시그넷,260870,2018/04,16150
SK시그넷,260870,2018/05,14000
SK시그넷,260870,2018/06,12300
SK시그넷,260870,2018/07,12450
SK시그넷,260870,2018/08,11800
SK시그넷,260870,2018/09,11400
SK시그넷,260870,2018/10,10000
SK시그넷,260870,2018/11,11200
SK시그넷,260870,2018/12,12450
SK시그넷,260870,2019/01,11850
SK시그넷,260870,2019/02,11400
SK시그넷,260870,2019/03,13300
SK시그넷,260870,2019/04,12300
SK시그넷,260870,2019/05,11000
SK시그넷,260870,2019/06,11600
SK시그넷,260870,2019/07,10600
SK시그넷,260870,2019/08,10250
SK시그넷,260870,2019/09,9940
SK시그넷,260870,2019/10,9860
SK시그넷,260870,2019/11,7850
SK시그넷,260870,2019/12,8000
SK시그넷,260870,2020/01,10950
SK시그넷,260870,2020/02,11000
SK시그넷,260870,2020/03,7880
SK시그넷,260870,2020/04,8760
SK시그넷,260870,2020/05,9890
SK시그넷,260870,2020/06,9800
SK시그넷,260870,2020/07,10400
SK시그넷,260870,2020/08,14250
SK시그넷,260870,2020/09,13650
SK시그넷,260870,2020/10,12400
SK시그넷,260870,2020/11,24000
SK시그넷,260870,2020/12,24000
SK시그넷,260870,2021/01,26400
SK시그넷,260870,2021/02,26900
SK시그넷,260870,2021/03,37650
SK시그넷,260870,2021/04,63800
SK시그넷,260870,2021/05,60300
SK시그넷,260870,2021/06,60000
SK시그넷,260870,2021/07,60900
SK시그넷,260870,2021/08,63500
SK시그넷,260870,2021/09,58700
SK시그넷,260870,2021/10,52900
SK시그넷,260870,2021/11,51000
SK시그넷,260870,2021/12,50800
SK시그넷,260870,2022/01,49350
SK시그넷,260870,2022/02,47900
SK시그넷,260870,2022/03,51700
SK시그넷,260870,2022/04,59800
SK시그넷,260870,2022/05,55500
SK시그넷,260870,2022/06,48000
SK시그넷,260870,2022/07,53700
SK시그넷,260870,2022/08,48900
SK시그넷,260870,2022/09,39950
SK시그넷,260870,2022/10,39700
SK시그넷,260870,2022/11,44000
SK시그넷,260870,2022/12,40000
SK시그넷,260870,2023/01,40600
SK시그넷,260870,2023/02,39850
SK시그넷,260870,2023/03,43000
SK시그넷,260870,2023/04,51400
SK시그넷,260870,2023/05,53500
SK시그넷,260870,2023/06,54200
SK시그넷,260870,2023/07,50200
SK시그넷,260870,2023/08,43000
SK시그넷,260870,2023/09,39050
SK시그넷,260870,2023/10,31000
가이아코퍼레이션,296520,2023/06,5990
가이아코퍼레이션,296520,2023/07,5000
가이아코퍼레이션,296520,2023/08,5500
가이아코퍼레이션,296520,2023/09,5290
가이아코퍼레이션,296520,2023/10,5200
골프존데카,183410,2014/01,1995
골프존데카,183410,2014/02,1900
골프존데카,183410,2014/03,1610
골프존데카,183410,2014/04,1620
골프존데카,183410,2014/05,1620
골프존데카,183410,2014/06,1650
골프존데카,183410,2014/07,1500
골프존데카,183410,2014/08,1345
골프존데카,183410,2014/09,1355
골프존데카,183410,2014/10,1100
골프존데카,183410,2014/11,1265
골프존데카,183410,2014/12,850
골프존데카,183410,2015/01,701
골프존데카,183410,2015/02,622
골프존데카,183410,2015/03,1190
골프존데카,183410,2015/04,1120
골프존데카,183410,2015/05,600
골프존데카,183410,2015/06,892
골프존데카,183410,2015/07,925
골프존데카,183410,2015/08,851
골프존데카,183410,2015/09,1375
골프존데카,183410,2015/10,1100
골프존데카,183410,2015/11,1250
골프존데카,183410,2015/12,510
골프존데카,183410,2016/01,679
골프존데카,183410,2016/02,1110
골프존데카,183410,2016/03,569
골프존데카,183410,2016/04,675
골프존데카,183410,2016/05,781
골프존데카,183410,2016/06,651
골프존데카,183410,2016/07,505
골프존데카,183410,2016/08,560
골프존데카,183410,2016/09,595
골프존데카,183410,2016/10,661
골프존데카,183410,2016/11,450
골프존데카,183410,2016/12,435
골프존데카,183410,2017/01,450
골프존데카,183410,2017/02,511
골프존데카,183410,2017/03,330
골프존데카,183410,2017/04,380
골프존데카,183410,2017/05,523
골프존데카,183410,2017/06,593
골프존데카,183410,2017/07,625
골프존데카,183410,2017/08,500
골프존데카,183410,2017/09,700
골프존데카,183410,2017/10,380
골프존데카,183410,2017/11,400
골프존데카,183410,2017/12,472
골프존데카,183410,2018/01,567
골프존데카,183410,2018/02,410
골프존데카,183410,2018/03,345
골프존데카,183410,2018/04,691
골프존데카,183410,2018/05,1155
골프존데카,183410,2018/06,850
골프존데카,183410,2018/07,1150
골프존데카,183410,2018/08,860
골프존데카,183410,2018/09,1000
골프존데카,183410,2018/10,750
골프존데카,183410,2018/11,703
골프존데카,183410,2018/12,730
골프존데카,183410,2019/01,2200
골프존데카,183410,2019/02,2200
골프존데카,183410,2019/03,1950
골프존데카,183410,2019/04,2600
골프존데카,183410,2019/05,3000
골프존데카,183410,2019/06,2810
골프존데카,183410,2019/07,2100
골프존데카,183410,2019/08,1935
골프존데카,183410,2019/09,1830
골프존데카,183410,2019/10,1450
골프존데카,183410,2019/11,1430
골프존데카,183410,2019/12,1145
골프존데카,183410,2020/01,1580
골프존데카,183410,2020/02,1500
골프존데카,183410,2020/03,2095
골프존데카,183410,2020/04,1890
골프존데카,183410,2020/05,1285
골프존데카,183410,2020/06,1900
골프존데카,183410,2020/07,1630
골프존데카,183410,2020/08,1155
골프존데카,183410,2020/09,1300
골프존데카,183410,2020/10,1350
골프존데카,183410,2020/11,1600
골프존데카,183410,2020/12,1535
골프존데카,183410,2021/01,1490
골프존데카,183410,2021/02,1415
골프존데카,183410,2021/03,1555
골프존데카,183410,2021/04,1665
골프존데카,183410,2021/05,3140
골프존데카,183410,2021/06,2950
골프존데카,183410,2021/07,2580
골프존데카,183410,2021/08,2755
골프존데카,183410,2021/09,2500
골프존데카,183410,2021/10,2500
골프존데카,183410,2021/11,2450
골프존데카,183410,2021/12,2590
골프존데카,183410,2022/01,2670
골프존데카,183410,2022/02,2445
골프존데카,183410,2022/03,3980
골프존데카,183410,2022/04,6080
골프존데카,183410,2022/05,5200
골프존데카,183410,2022/06,4450
골프존데카,183410,2022/07,4385
골프존데카,183410,2022/08,4495
골프존데카,183410,2022/09,3240
골프존데카,183410,2022/10,3280
골프존데카,183410,2022/11,2700
골프존데카,183410,2022/12,2660
골프존데카,183410,2023/01,2475
골프존데카,183410,2023/02,2460
골프존데카,183410,2023/03,2250
골프존데카,183410,2023/04,2240
골프존데카,183410,2023/05,1900
골프존데카,183410,2023/06,1990
골프존데카,183410,2023/07,1650
골프존데카,183410,2023/08,1002
골프존데카,183410,2023/09,1347
골프존데카,183410,2023/10,1000
관악산업,076340,2015/05,3000
관악산업,076340,2015/06,3350
관악산업,076340,2015/07,4090
관악산업,076340,2015/08,3950
관악산업,076340,2015/09,3145
관악산업,076340,2015/10,3500
관악산업,076340,2015/11,4590
관악산업,076340,2015/12,3490
관악산업,076340,2016/01,3100
관악산업,076340,2016/02,3050
관악산업,076340,2016/03,3990
관악산업,076340,2016/04,3370
관악산업,076340,2016/05,3220
관악산업,076340,2016/06,3300
관악산업,076340,2016/07,3550
관악산업,076340,2016/08,3440
관악산업,076340,2016/09,3760
관악산업,076340,2016/10,3200
관악산업,076340,2016/11,3250
관악산업,076340,2016/12,3100
관악산업,076340,2017/01,3395
관악산업,076340,2017/02,3555
관악산업,076340,2017/03,3990
관악산업,076340,2017/04,4210
관악산업,076340,2017/05,6450
관악산업,076340,2017/06,5000
