회사명,거래소코드,회계년도,발행주식수(주),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),발행주식수(주),주당순이익(원),주당순자산(원),종가(원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(천원),당기순이익(천원),[U01B840000000]당기순이익(손실)(IFRS연결)(천원),[U01B840000000]당기순이익(손실)(IFRS)(천원),[U01290200]당기순이익(순손실)(연결)(천원),[U01290200]당기순이익(순손실)(천원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01A600000000]자본(*)(IFRS연결)(천원),[U01A600000000]자본(*)(IFRS)(천원),[U01160000]자본(*)(연결)(천원),[U01160000]자본(*)(천원)
(주)CMG제약,058820,2012/12,66025540,66025540,66025540,-143,0,1330,-1572581,-1453276,-1572581,-1453276,-6893000,-6660149,-6892739,-6660149,-6892739,16255389,16255389,16255389,16255389,31590685,31602540,31590685,31602540
(주)CMG제약,058820,2012/12,66025540,66025540,66025540,-143,0,1330,-1572581,-1453276,-1572581,-1453276,-6893000,-6660149,-6892739,-6660149,-6892739,16255389,16255389,16255389,16255389,31590685,31602540,31590685,31602540
(주)CMG제약,058820,2013/12,86626866,86626866,86626866,5,0,932,-3939013,-3891420,-3939013,-3891420,335000,296181,335258,296181,335258,20402140,20322140,20402140,20322140,48997281,49048213,48997281,49048213
(주)CMG제약,058820,2013/12,86626866,86626866,86626866,5,0,932,-3939013,-3891420,-3939013,-3891420,335000,296181,335258,296181,335258,20402140,20322140,20402140,20322140,48997281,49048213,48997281,49048213
(주)CMG제약,058820,2014/12,86626866,86626866,86626866,2,0,912,724893,730447,724893,730447,171502,158039,171502,158039,171502,22752584,22752584,22752584,22752584,49002644,49067039,49002644,49067039
(주)CMG제약,058820,2014/12,86626866,0,86626866,2,0,912,724893,730447,724893,730447,171502,158039,171502,158039,171502,22752584,22752584,22752584,22752584,49002644,49067039,49002644,49067039
(주)CMG제약,058820,2014/12,86626866,86626866,86626866,2,0,912,724893,730447,724893,730447,171502,158039,171502,158039,171502,22752584,22752584,22752584,22752584,49002644,49067039,49002644,49067039
(주)CMG제약,058820,2015/12,88297244,88297244,88297244,-42,0,2110,2410205,2411254,2410205,2411254,-3648668,-3650091,-3648668,-3650091,-3648668,27041894,27041894,27041894,27041894,46806888,46872705,46806888,46872705
(주)CMG제약,058820,2015/12,88297244,88297244,88297244,-42,0,2110,2410205,2411254,2410205,2411254,-3648668,-3650091,-3648668,-3650091,-3648668,27041894,27041894,27041894,27041894,46806888,46872705,46806888,46872705
(주)CMG제약,058820,2016/12,108707244,108707244,108707244,19,0,3180,3321352,3321352,3321352,3321352,1693463,1727895,1693463,1727895,1693463,32969825,32969825,32969825,32969825,101107635,101107635,101107635,101107635
(주)CMG제약,058820,2016/12,108707244,108707244,108707244,19,0,3180,3321352,3321352,3321352,3321352,1693463,1727895,1693463,1727895,1693463,32969825,32969825,32969825,32969825,101107635,101107635,101107635,101107635
(주)CMG제약,058820,2017/12,108887244,108887244,108887244,26,0,6240,1948086,1948086,1948086,1948086,2834901,2834901,2834901,2834901,2834901,41535588,41535588,41535588,41535588,97944019,97944019,97944019,97944019
(주)CMG제약,058820,2017/12,108887244,108887244,108887244,26,0,6240,1948086,1948086,1948086,1948086,2834901,2834901,2834901,2834901,2834901,41535588,41535588,41535588,41535588,97944019,97944019,97944019,97944019
(주)CMG제약,058820,2018/12,108887244,108887244,108887244,56,0,4235,886779,886779,886779,886779,6065026,6065026,6065026,6065026,6065026,49864782,49864782,49864782,49864782,103981846,103981846,103981846,103981846
(주)CMG제약,058820,2018/12,108887244,108887244,108887244,56,0,4235,886779,886779,886779,886779,6065026,6065026,6065026,6065026,6065026,49864782,49864782,49864782,49864782,103981846,103981846,103981846,103981846
(주)CMG제약,058820,2019/12,138892244,138892244,138892244,25,0,4250,2823387,2823387,2823387,2823387,3051177,3051177,3051177,3051177,3051177,58622681,58622681,58622681,58622681,180158283,180158283,180158283,180158283
(주)CMG제약,058820,2019/12,138892244,138892244,138892244,25,0,4250,2823387,2823387,2823387,2823387,3051177,3051177,3051177,3051177,3051177,58622681,58622681,58622681,58622681,180158283,180158283,180158283,180158283
(주)CMG제약,058820,2020/12,138892244,138892244,138892244,2,0,5780,,2944289,,2944289,214996,,214996,,214996,,64459891,,64459891,,181131004,,181131004
(주)CMG제약,058820,2020/12,138892244,138892244,138892244,2,0,5780,,2944289,,2944289,214996,,214996,,214996,,64459891,,64459891,,181131004,,181131004
(주)CMG제약,058820,2021/12,138892244,138892244,138892244,23,0,3835,,5628620,,5628620,3165485,,3165485,,3165485,,69475496,,69475496,,184702494,,184702494
(주)CMG제약,058820,2021/12,138892244,138892244,138892244,23,0,3835,,5628620,,5628620,3165485,,3165485,,3165485,,69475496,,69475496,,184702494,,184702494
(주)CMG제약,058820,2022/12,138892244,138892244,138892244,-3,0,2150,,4937550,,4937550,-388140,,-388140,,-388140,,82197410,,82197410,,184953015,,184953015
(주)CMG제약,058820,2022/12,138892244,138892244,138892244,-3,0,2150,,4937550,,4937550,-388140,,-388140,,-388140,,82197410,,82197410,,184953015,,184953015
(주)ES큐브,050120,2012/12,23393158,23393158,23393158,22,0,3430,5224759,4618957,5224759,4618957,517000,-359216,516857,-359216,516857,55971147,44178050,55971147,44178050,39859681,39881477,39859681,39881477
(주)ES큐브,050120,2012/12,23393158,23393158,23393158,22,0,3430,5224759,4618957,5224759,4618957,517000,-359216,516857,-359216,516857,55971147,44178050,55971147,44178050,39859681,39881477,39859681,39881477
(주)ES큐브,050120,2013/12,36493326,36493326,36493326,-469,0,1540,2590980,4508559,2590980,4508559,-14749000,-16455910,-14749080,-16455910,-14749080,58597361,45823196,58597361,45823196,42372440,43712820,42372440,43712820
(주)ES큐브,050120,2013/12,36493326,36493326,36493326,-469,0,1540,2590980,4508559,2590980,4508559,-14749000,-16455910,-14749080,-16455910,-14749080,58597361,45823196,58597361,45823196,42372440,43712820,42372440,43712820
(주)ES큐브,050120,2014/12,36493326,36493326,36493326,-66,0,1395,2889415,2934159,2889415,2934159,-2412385,-615409,-2412385,-615409,-2412385,44459581,37188072,44459581,37188072,49628091,41226335,49628091,41226335
(주)ES큐브,050120,2014/12,36493326,36493326,36493326,-66,0,1395,2889415,2934159,2889415,2934159,-2412385,-615409,-2412385,-615409,-2412385,44459581,37188072,44459581,37188072,49628091,41226335,49628091,41226335
(주)ES큐브,050120,2015/12,36493326,36493326,36493326,98,0,1605,-2778236,3265832,-2778236,3265832,3610344,-2307159,3610344,-2307159,3610344,42152967,36887119,42152967,36887119,49654460,44872641,49654460,44872641
(주)ES큐브,050120,2015/12,36493326,36493326,36493326,98,0,1605,-2778236,3265832,-2778236,3265832,3610344,-2307159,3610344,-2307159,3610344,42152967,36887119,42152967,36887119,49654460,44872641,49654460,44872641
(주)ES큐브,050120,2016/12,41621527,41621527,41621527,438,0,1705,1240854,3735385,1240854,3735385,17469014,21541047,17469014,21541047,17469014,34289385,34818205,34289385,34818205,71696122,69832373,71696122,69832373
(주)ES큐브,050120,2016/12,41621527,41621527,41621527,438,0,1705,1240854,3735385,1240854,3735385,17469014,21541047,17469014,21541047,17469014,34289385,34818205,34289385,34818205,71696122,69832373,71696122,69832373
(주)ES큐브,050120,2017/12,83243054,83243054,83243054,14,0,1030,2310978,3989913,2310978,3989913,1218923,1737925,1218923,1737925,1218923,35745794,37104908,35745794,37104908,72816880,71398467,72816880,71398467
(주)ES큐브,050120,2017/12,83243054,83243054,83243054,14,0,1030,2310978,3989913,2310978,3989913,1218923,1737925,1218923,1737925,1218923,35745794,37104908,35745794,37104908,72816880,71398467,72816880,71398467
(주)ES큐브,050120,2018/12,83243054,83243054,83243054,-46,0,668,-1347532,116879,-1347532,116879,-3836071,-6121462,-3836071,-6121462,-3836071,33763508,31308873,33763508,31308873,70748607,66518631,70748607,66518631
(주)ES큐브,050120,2018/12,83243054,83243054,83243054,-46,0,668,-1347532,116879,-1347532,116879,-3836071,-6121462,-3836071,-6121462,-3836071,33763508,31308873,33763508,31308873,70748607,66518631,70748607,66518631
(주)ES큐브,050120,2019/12,83088255,83088255,83088255,-158,0,852,75624795,1886276,75624795,1886276,-12738710,-13767748,-12738710,-13767748,-12738710,43708239,28527284,43708239,28527284,74038512,53986331,74038512,53986331
(주)ES큐브,050120,2019/12,83088255,83088255,83088255,-158,0,852,75624795,1886276,75624795,1886276,-12738710,-13767748,-12738710,-13767748,-12738710,43708239,28527284,43708239,28527284,74038512,53986331,74038512,53986331
(주)ES큐브,050120,2020/12,135640864,135640864,135640864,-2765,0,558,-37420433,-312007,-37420433,-312007,-29081429,-25292140,-29081429,-25292140,-29081429,80672425,30293088,80672425,30293088,69497819,72949614,69497819,72949614
(주)ES큐브,050120,2020/12,135640864,135640864,135640864,-2765,0,558,-37420433,-312007,-37420433,-312007,-29081429,-25292140,-29081429,-25292140,-29081429,80672425,30293088,80672425,30293088,69497819,72949614,69497819,72949614
(주)ES큐브,050120,2021/12,13564086,13564086,13564086,425,0,4960,69284861,3015063,69284861,3015063,5694998,5375801,5694998,5375801,5694998,125787293,41105787,125787293,41105787,115855194,65297621,115855194,65297621
(주)ES큐브,050120,2021/12,13564086,13564086,13564086,425,0,4960,69284861,3015063,69284861,3015063,5694998,5375801,5694998,5375801,5694998,125787293,41105787,125787293,41105787,115855194,65297621,115855194,65297621
(주)ES큐브,050120,2022/12,13564086,13564086,13564086,426,0,4250,-53485226,4303122,-53485226,4303122,5705382,24682689,5705382,24682689,5705382,75213652,52850390,75213652,52850390,110399253,71077621,110399253,71077621
(주)ES큐브,050120,2022/12,13564086,13564086,13564086,426,0,4250,-53485226,4303122,-53485226,4303122,5705382,24682689,5705382,24682689,5705382,75213652,52850390,75213652,52850390,110399253,71077621,110399253,71077621
(주)MH에탄올,023150,2012/12,7000000,7000000,7000000,367,0,2765,-4906202,2788992,-4906202,2788992,2571000,287369,2571700,287369,2571700,59768175,45488675,59768175,45488675,39678259,58712944,39678259,58712944
(주)MH에탄올,023150,2012/12,7000000,7000000,7000000,367,0,2765,-4906202,2788992,-4906202,2788992,2571000,287369,2571700,287369,2571700,59768175,45488675,59768175,45488675,39678259,58712944,39678259,58712944
(주)MH에탄올,023150,2013/12,7000000,7000000,7000000,-1661,0,2990,6114050,5638467,6114050,5638467,-11627000,7028234,-11627211,7028234,-11627211,62199887,46298516,62199887,46298516,45885523,47119925,45885523,47119925
(주)MH에탄올,023150,2013/12,7000000,7000000,7000000,-1661,0,2990,6114050,5638467,6114050,5638467,-11627000,7028234,-11627211,7028234,-11627211,62199887,46298516,62199887,46298516,45885523,47119925,45885523,47119925
(주)MH에탄올,023150,2014/12,7378526,7378526,7378526,640,0,7440,5159224,5125822,5159224,5125822,4618332,-203193,4618332,-203193,4618332,48983781,48983781,48983781,48983781,52788681,52507884,52788681,52507884
(주)MH에탄올,023150,2014/12,7378526,7378526,7378526,640,0,7440,5159224,5125822,5159224,5125822,4618332,-203193,4618332,-203193,4618332,48983781,48983781,48983781,48983781,52788681,52507884,52788681,52507884
(주)MH에탄올,023150,2015/12,7378526,7378526,7378526,1059,0,8760,13384066,13354086,13384066,13354086,7744832,7778593,7744832,7778593,7744832,50386203,50386203,50386203,50386203,57884347,57569789,57884347,57569789
(주)MH에탄올,023150,2015/12,7378526,7378526,7378526,1059,0,8760,13384066,13354086,13384066,13354086,7744832,7778593,7744832,7778593,7744832,50386203,50386203,50386203,50386203,57884347,57569789,57884347,57569789
(주)MH에탄올,023150,2016/12,7378526,7378526,7378526,1128,0,7900,12245831,12230065,12245831,12230065,8134873,8144684,8134873,8144684,8134873,48897025,48897025,48897025,48897025,63581883,63257513,63581883,63257513
(주)MH에탄올,023150,2016/12,7378526,7378526,7378526,1128,0,7900,12245831,12230065,12245831,12230065,8134873,8144684,8134873,8144684,8134873,48897025,48897025,48897025,48897025,63581883,63257513,63581883,63257513
(주)MH에탄올,023150,2017/12,7378526,7378526,7378526,824,0,6340,3336890,10755779,3336890,10755779,5903108,4308068,5903108,4308068,5903108,51977132,48270464,51977132,48270464,106837344,64698932,106837344,64698932
(주)MH에탄올,023150,2017/12,7378526,7378526,7378526,824,0,6340,3336890,10755779,3336890,10755779,5903108,4308068,5903108,4308068,5903108,51977132,48270464,51977132,48270464,106837344,64698932,106837344,64698932
(주)MH에탄올,023150,2018/12,7378526,7378526,7378526,955,0,5890,-11269669,6668746,-11269669,6668746,6553371,-12033428,6553371,-12033428,6553371,72795863,46943080,72795863,46943080,91585473,68471529,91585473,68471529
(주)MH에탄올,023150,2018/12,7378526,7378526,7378526,955,0,5890,-11269669,6668746,-11269669,6668746,6553371,-12033428,6553371,-12033428,6553371,72795863,46943080,72795863,46943080,91585473,68471529,91585473,68471529
(주)MH에탄올,023150,2019/12,7378526,7378526,7378526,-752,0,6140,11368931,6417691,11368931,6417691,-5004935,-7552043,-5004935,-7552043,-5004935,80879342,46992295,80879342,46992295,79389077,59477642,79389077,59477642
(주)MH에탄올,023150,2019/12,7378526,7378526,7378526,-752,0,6140,11368931,6417691,11368931,6417691,-5004935,-7552043,-5004935,-7552043,-5004935,80879342,46992295,80879342,46992295,79389077,59477642,79389077,59477642
