회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),이자보상배율(이자비용)
(주)CMG제약,58820,Dec-12,UQ,-1453276,-7.45
(주)CMG제약,58820,Dec-13,UQ,-3891420,0.73
(주)CMG제약,58820,Dec-14,UQ,730447,3.63
(주)CMG제약,58820,Dec-15,UQ,2411254,-32.2
(주)CMG제약,58820,Dec-16,UQ,3321352,999999999
(주)CMG제약,58820,Dec-17,UQ,1948086,999999999
(주)CMG제약,58820,Dec-18,UQ,886779,999999999
(주)CMG제약,58820,Dec-19,UQ,2823387,303
(주)CMG제약,58820,Dec-20,UQ,2944289,79.74
(주)CMG제약,58820,Dec-21,UQ,5628620,80.23
(주)CMG제약,58820,Dec-22,UQ,4937550,195.16
(주)ES큐브,50120,Dec-12,UQ,4618957,20.03
(주)ES큐브,50120,Dec-13,UQ,4508559,9.51
(주)ES큐브,50120,Dec-14,UQ,2934159,999999999
(주)ES큐브,50120,Dec-15,UQ,3265832,999999999
(주)ES큐브,50120,Dec-16,UQ,3735385,11.58
(주)ES큐브,50120,Dec-17,UQ,3989913,2.76
(주)ES큐브,50120,Dec-18,UQ,116879,0.47
(주)ES큐브,50120,Dec-19,UQ,1886276,0.17
(주)ES큐브,50120,Dec-20,UQ,-312007,0.45
(주)ES큐브,50120,Dec-21,UQ,3015063,4.39
(주)ES큐브,50120,Dec-22,UQ,4303122,34.12
(주)MH에탄올,23150,Dec-12,UQ,2788992,1.64
(주)MH에탄올,23150,Dec-13,UQ,5638467,3.44
(주)MH에탄올,23150,Dec-14,UQ,5125822,5.62
(주)MH에탄올,23150,Dec-15,UQ,13354086,12.7
(주)MH에탄올,23150,Dec-16,UQ,12230065,29.42
(주)MH에탄올,23150,Dec-17,UQ,10755779,33.29
(주)MH에탄올,23150,Dec-18,UQ,6668746,8.73
(주)MH에탄올,23150,Dec-19,UQ,6417691,7.59
(주)MH에탄올,23150,Dec-20,UQ,7639662,9.71
(주)MH에탄올,23150,Dec-21,UQ,2030480,5.34
(주)MH에탄올,23150,Dec-22,UQ,-847932,0.48
(주)가온칩스,399720,Dec-22,UQ,5961539,76.66
(주)강스템바이오텍,217730,Dec-15,UQ,-3800024,-5.41
(주)강스템바이오텍,217730,Dec-16,UQ,-7796613,-18.89
(주)강스템바이오텍,217730,Dec-17,UQ,-10267751,-7.93
(주)강스템바이오텍,217730,Dec-18,UQ,-11298071,-11.95
(주)강스템바이오텍,217730,Dec-19,UQ,-11097344,-23.34
(주)강스템바이오텍,217730,Dec-20,UQ,-16124997,-45.05
(주)강스템바이오텍,217730,Dec-21,UQ,-16455808,-58.88
(주)강스템바이오텍,217730,Dec-22,UQ,-18436122,-60.35
(주)강원에너지,114190,Dec-12,UQ,-3145103,58.37
(주)강원에너지,114190,Dec-13,UQ,16975955,18.11
(주)강원에너지,114190,Dec-14,UQ,-14600421,39.01
(주)강원에너지,114190,Dec-15,UQ,18555072,762.26
(주)강원에너지,114190,Dec-16,UQ,-18630100,-166.17
(주)강원에너지,114190,Dec-17,UQ,-4605588,-89.84
