회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원)
(주)CMG제약,058820,2012/12,-1453276,-30286514,35260511
(주)CMG제약,058820,2013/12,-3891420,20988786,-56948
(주)CMG제약,058820,2014/12,730447,-13611109,0
(주)CMG제약,058820,2015/12,2411254,-8670890,0
(주)CMG제약,058820,2016/12,3321352,-56094458,52359861
(주)CMG제약,058820,2017/12,1948086,-467123,171180
(주)CMG제약,058820,2018/12,886779,8779219,0
(주)CMG제약,058820,2019/12,2823387,-70595614,72877952
(주)CMG제약,058820,2020/12,2944289,-13008899,-461469
(주)CMG제약,058820,2021/12,5628620,-8480048,-483840
(주)CMG제약,058820,2022/12,4937550,-10867979,5628148
(주)ES큐브,050120,2012/12,4618957,-4021693,249337
(주)ES큐브,050120,2013/12,4508559,-15525675,18283521
(주)ES큐브,050120,2014/12,2934159,-6727853,0
(주)ES큐브,050120,2015/12,3265832,5644794,0
(주)ES큐브,050120,2016/12,3735385,-27691503,37786301
(주)ES큐브,050120,2017/12,3989913,-9285270,-1313460
(주)ES큐브,050120,2018/12,116879,-9930672,6704278
(주)ES큐브,050120,2019/12,1886276,-42892183,35797321
(주)ES큐브,050120,2020/12,-312007,21184752,-33200382
(주)ES큐브,050120,2021/12,3015063,340546,-975531
(주)ES큐브,050120,2022/12,4303122,-14478,-2788379
(주)MH에탄올,023150,2012/12,2788992,-4116270,444550
(주)MH에탄올,023150,2013/12,5638467,-4646566,-946920
(주)MH에탄올,023150,2014/12,5125822,35174665,-40343385
(주)MH에탄올,023150,2015/12,13354086,2921164,-13157831
(주)MH에탄올,023150,2016/12,12230065,1476767,-15501541
(주)MH에탄올,023150,2017/12,10755779,-38163673,26811882
(주)MH에탄올,023150,2018/12,6668746,-2930214,-4494777
(주)MH에탄올,023150,2019/12,6417691,-2940840,-3479898
(주)MH에탄올,023150,2020/12,7639662,-3284659,-4350684
(주)MH에탄올,023150,2021/12,2030480,-983876,-923037
