회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS),감사의견코드(IFRS)(백만원)
(주)CMG제약,058820,2012/12,-7.45,-1453,UQ
(주)CMG제약,058820,2013/12,0.73,-3891,UQ
(주)CMG제약,058820,2014/12,3.63,730,UQ
(주)CMG제약,058820,2015/12,-32.2,2411,UQ
(주)CMG제약,058820,2016/12,999999999,3321,UQ
(주)CMG제약,058820,2017/12,999999999,1948,UQ
(주)CMG제약,058820,2018/12,999999999,887,UQ
(주)CMG제약,058820,2019/12,303,2823,UQ
(주)CMG제약,058820,2020/12,79.74,2944,UQ
(주)CMG제약,058820,2021/12,80.23,5629,UQ
(주)CMG제약,058820,2022/12,195.16,4938,UQ
(주)ES큐브,050120,2012/12,20.03,4619,UQ
(주)ES큐브,050120,2013/12,9.51,4509,UQ
(주)ES큐브,050120,2014/12,999999999,2934,UQ
(주)ES큐브,050120,2015/12,999999999,3266,UQ
(주)ES큐브,050120,2016/12,11.58,3735,UQ
(주)ES큐브,050120,2017/12,2.76,3990,UQ
(주)ES큐브,050120,2018/12,0.47,117,UQ
(주)ES큐브,050120,2019/12,0.17,1886,UQ
(주)ES큐브,050120,2020/12,0.45,-312,UQ
(주)ES큐브,050120,2021/12,4.39,3015,UQ
(주)ES큐브,050120,2022/12,34.12,4303,UQ
(주)MH에탄올,023150,2012/12,1.64,2789,UQ
(주)MH에탄올,023150,2013/12,3.44,5638,UQ
(주)MH에탄올,023150,2014/12,5.62,5126,UQ
(주)MH에탄올,023150,2015/12,12.7,13354,UQ
(주)MH에탄올,023150,2016/12,29.42,12230,UQ
(주)MH에탄올,023150,2017/12,33.29,10756,UQ
(주)MH에탄올,023150,2018/12,8.73,6669,UQ
(주)MH에탄올,023150,2019/12,7.59,6418,UQ
(주)MH에탄올,023150,2020/12,9.71,7640,UQ
(주)MH에탄올,023150,2021/12,5.34,2030,UQ
(주)MH에탄올,023150,2022/12,0.48,-848,UQ
(주)가온칩스,399720,2022/12,76.66,5962,UQ
(주)강스템바이오텍,217730,2015/12,-5.41,-3800,UQ
(주)강스템바이오텍,217730,2016/12,-18.89,-7797,UQ
(주)강스템바이오텍,217730,2017/12,-7.93,-10268,UQ
(주)강스템바이오텍,217730,2018/12,-11.95,-11298,UQ
(주)강스템바이오텍,217730,2019/12,-23.34,-11097,UQ
(주)강스템바이오텍,217730,2020/12,-45.05,-16125,UQ
(주)강스템바이오텍,217730,2021/12,-58.88,-16456,UQ
(주)강스템바이오텍,217730,2022/12,-60.35,-18436,UQ
(주)강원에너지,114190,2012/12,58.37,-3145,UQ
(주)강원에너지,114190,2013/12,18.11,16976,UQ
(주)강원에너지,114190,2014/12,39.01,-14600,UQ
(주)강원에너지,114190,2015/12,762.19,18555,UQ
(주)강원에너지,114190,2016/12,-166.16,-18630,UQ
(주)강원에너지,114190,2017/12,-89.84,-4606,UQ
(주)강원에너지,114190,2018/12,0.35,-10048,UQ
(주)강원에너지,114190,2019/12,-9.33,7014,QS
(주)강원에너지,114190,2020/12,-26.41,-4229,UQ
(주)강원에너지,114190,2021/12,8.35,-4493,UQ
(주)강원에너지,114190,2022/12,19.21,-3038,UQ
(주)고려시멘트,198440,2014/12,,,UQ
(주)고려시멘트,198440,2015/12,,,UQ
(주)고려시멘트,198440,2016/12,,,UQ
(주)고려시멘트,198440,2017/12,16.79,3162,UQ
