회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01220010]매출원가(*)(연결)(천원),[U01221340]매출총이익(손실)(연결)(천원),[U01222170]판매비와관리비(영업비용)(*)(연결)(천원),[U01230000]영업이익(손실)(연결)(천원),[U01290000]법인세비용차감전(계속사업)손익(연결)(천원),[U01290100](계속사업손익)법인세비용(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원)
(주)굿센,243870,2016/12,,,,,,,,28614455,23418903,5195552,957115,957115,1585808,417998,,,,,,,,28614455,23418903,5195552,4238437,957115,1585808
(주)굿센,243870,2017/12,,,,,,,,24112320,19614072,4498248,-494143,-494143,-31231,-43940,,,,,,,,24112320,19614072,4498248,4992391,-494143,-31231
(주)굿센,243870,2018/12,,,,,,,,21161918,19836201,1325717,-3343162,-3343162,-3077917,12369,,,,,,,,21161918,19836201,1325717,4668879,-3343162,-3077917
(주)굿센,243870,2019/12,,,,,,,,8116126,5905871,2210256,-1082478,-1082478,-1816674,-67952,,,,,,,,8116126,5905871,2210256,3292733,-1082478,-1816674
(주)굿센,243870,2020/12,,,,,,,,11710242,7981963,3728279,359907,359907,712693,156389,,,,,,,,11710242,7981963,3728279,3368372,359907,712693
(주)굿센,243870,2021/12,,,,,,,,24709838,18349417,6360420,1493392,1493392,5536557,971512,,,,,,,,24709838,18349417,6360420,4867029,1493392,5536557
(주)굿센,243870,2022/12,,,,,,,,26176019,19077699,7098320,3300856,3300856,476010,54623,,,,,,,,26176019,19077699,7098320,3797464,3300856,476010
(주)나눔테크,244880,2016/12,,,,,,,,,,,,,,,,,,,,,,7836029,3717449,4118580,3873794,244786,259957
(주)나눔테크,244880,2017/12,,,,,,,,,,,,,,,,,,,,,,10501915,4178287,6323628,4792262,1531366,1677147
(주)나눔테크,244880,2018/12,,,,,,,,,,,,,,,,,,,,,,11471634,3821321,7650313,4762599,2887715,2852412
