회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01220010]매출원가(*)(연결)(천원),[U01221340]매출총이익(손실)(연결)(천원),[U01222170]판매비와관리비(영업비용)(*)(연결)(천원),[U01230000]영업이익(손실)(연결)(천원),[U01290000]법인세비용차감전(계속사업)손익(연결)(천원),[U01290100](계속사업손익)법인세비용(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
(주)CMG제약,058820,2012/12,16255389,11648690,4606698,-4205503,-4205503,-6660149,0,16255389,11648690,4606698,-4045140,-4045140,-6892739,0,16255389,11648690,4606698,8812202,-4205503,-6660149,0,16255389,11648690,4606698,8651838,-4045140,-6892739,0
(주)CMG제약,058820,2013/12,20402140,12506817,7895323,791250,791250,311190,0,20322140,12506817,7815323,822547,822547,350267,0,20402140,12506817,7895323,7104073,791250,311190,0,20322140,12506817,7815323,6992776,822547,350267,0
(주)CMG제약,058820,2014/12,22752584,14318048,8434535,442322,442322,158039,0,22752584,14318048,8434535,446018,446018,171502,0,22752584,14318048,8434535,7992213,442322,158039,0,22752584,14318048,8434535,7988518,446018,171502,0
(주)CMG제약,058820,2015/12,27041894,17237814,9804080,-2572168,-2572168,-3650091,0,27041894,17237814,9804080,-2570878,-2570878,-3648668,0,27041894,17237814,9804080,12376249,-2572168,-3650091,0,27041894,17237814,9804080,12374958,-2570878,-3648668,0
(주)CMG제약,058820,2016/12,32969825,19663389,13306436,1730753,1730753,1642240,-51222,32969825,19663389,13306436,1730753,1730753,1642240,-51222,32969825,19663389,13306436,11575683,1730753,1642240,-51222,32969825,19663389,13306436,11575683,1730753,1642240,-51222
(주)CMG제약,058820,2017/12,41535588,23497552,18038036,1558607,1558607,2870315,35415,41535588,23497552,18038036,1558607,1558607,2870315,35415,41535588,23497552,18038036,16479429,1558607,2870315,35415,41535588,23497552,18038036,16479429,1558607,2870315,35415
(주)CMG제약,058820,2018/12,49864782,27124841,22739941,2567820,2567820,3655605,-2409421,49864782,27124841,22739941,2567820,2567820,3655605,-2409421,49864782,27124841,22739941,20172121,2567820,3655605,-2409421,49864782,27124841,22739941,20172121,2567820,3655605,-2409421
(주)CMG제약,058820,2019/12,58622681,29700050,28922631,2603774,2603774,3836612,785435,58622681,29700050,28922631,2603774,2603774,3836612,785435,58622681,29700050,28922631,26318857,2603774,3836612,785435,58622681,29700050,28922631,26318857,2603774,3836612,785435
(주)CMG제약,058820,2020/12,,,,,,,,64459891,33249439,31210452,1822365,1822365,568837,353841,,,,,,,,64459891,33249439,31210452,29388087,1822365,568837,353841
(주)CMG제약,058820,2021/12,,,,,,,,69475496,36024850,33450645,1660476,1660476,3549107,383622,,,,,,,,69475496,36024850,33450645,31790169,1660476,3549107,383622
(주)CMG제약,058820,2022/12,,,,,,,,82197410,41295950,40901460,2981396,2981396,-1255097,-866958,,,,,,,,82197410,41295950,40901460,37920064,2981396,-1255097,-866958
(주)ES큐브,050120,2012/12,55971147,40290541,15680606,89337,89337,-111949,247267,44178050,31651298,12526752,645839,645839,516857,0,55971147,40290541,15680606,15591269,89337,-111949,247267,44178050,31651298,12526752,11880913,645839,516857,0
(주)ES큐브,050120,2013/12,58597361,44088670,14508692,-1164611,-1164611,-16158719,297192,45823196,34023346,11799851,217136,217136,-14749080,0,58597361,44088670,14508692,15673302,-1164611,-16158719,297192,45823196,34023346,11799851,11582714,217136,-14749080,0
(주)ES큐브,050120,2014/12,44459581,34936541,9523040,171090,171090,-332716,282693,37188072,30573957,6614115,325909,325909,-2412385,0,44459581,34936541,9523040,9351950,171090,-332716,282693,37188072,30573957,6614115,6288207,325909,-2412385,0
(주)ES큐브,050120,2015/12,42152967,30433006,11719961,-4060426,-4060426,-2069608,237550,36887119,30735643,6151477,2370570,2370570,3610344,0,42152967,30433006,11719961,15780388,-4060426,-2069608,237550,36887119,30735643,6151477,3780907,2370570,3610344,0
(주)ES큐브,050120,2016/12,34289385,24454448,9834937,2161041,2161041,21717370,176323,34818205,28468888,6349317,2359527,2359527,17469014,0,34289385,24454448,9834937,7673895,2161041,21717370,176323,34818205,28468888,6349317,3989789,2359527,17469014,0
(주)ES큐브,050120,2017/12,35745794,26057940,9687855,2248520,2248520,1813291,75366,37104908,30497256,6607652,2170102,2170102,1061699,-157224,35745794,26057940,9687855,7439335,2248520,1813291,75366,37104908,30497256,6607652,4437550,2170102,1061699,-157224
(주)ES큐브,050120,2018/12,33763508,26036057,7727451,-1211129,-1211129,-6069563,51899,31308873,25693835,5615038,691469,691469,-3840506,-4434,33763508,26036057,7727451,8938580,-1211129,-6069563,51899,31308873,25693835,5615038,4923569,691469,-3840506,-4434
(주)ES큐브,050120,2019/12,43708239,35510791,8197448,-2617071,-2617071,-15380591,-1612842,28527284,22708418,5818867,587700,587700,-12563180,175530,43708239,35510791,8197448,10814519,-2617071,-15380591,-1612842,28527284,22708418,5818867,5231167,587700,-12563180,175530
(주)ES큐브,050120,2020/12,80672425,56530374,24142051,10315988,10315988,-22810669,2481471,30293088,24196912,6096177,1452732,1452732,-29081429,0,80672425,56530374,24142051,13826063,10315988,-22810669,2481471,30293088,24196912,6096177,4643445,1452732,-29081429,0
(주)ES큐브,050120,2021/12,125787293,110501015,15286278,283187,283187,359603,-5016198,41105787,33613448,7492339,2340435,2340435,2990698,-2704300,125787293,110501015,15286278,15003090,283187,359603,-5016198,41105787,33613448,7492339,5151904,2340435,2990698,-2704300
(주)ES큐브,050120,2022/12,75213652,51307649,23906003,15343412,15343412,18726222,2417457,52850390,41864567,10985823,5003596,5003596,5248374,-457007,75213652,51307649,23906003,8562590,15343412,18726222,2417457,52850390,41864567,10985823,5982227,5003596,5248374,-457007
(주)MH에탄올,023150,2012/12,59768175,49030452,10737723,5451733,5451733,1036471,749101,45488675,35478357,10010319,6518758,6518758,3316261,744562,59768175,49030452,10737723,5285990,5451733,1036471,749101,45488675,35478357,10010319,3491561,6518758,3316261,744562
(주)MH에탄올,023150,2013/12,62199887,54316861,7883025,3009741,3009741,708934,-6319300,46298516,33247791,13050724,9650241,9650241,-17949283,-6322072,62199887,54316861,7883025,4873284,3009741,708934,-6319300,46298516,33247791,13050724,3400484,9650241,-17949283,-6322072
(주)MH에탄올,023150,2014/12,48983781,37109977,11873804,8744851,8744851,4569592,-349459,48983781,37109977,11873804,8746818,8746818,4264859,-353473,48983781,37109977,11873804,3128953,8744851,4569592,-349459,48983781,37109977,11873804,3126986,8746818,4264859,-353473
(주)MH에탄올,023150,2015/12,50386203,36425005,13961198,11092013,11092013,10027889,2249295,50386203,36425005,13961198,11094172,11094172,9990317,2245485,50386203,36425005,13961198,2869185,11092013,10027889,2249295,50386203,36425005,13961198,2867026,11094172,9990317,2245485
(주)MH에탄올,023150,2016/12,48897025,33962392,14934634,11874476,11874476,10451380,2306696,48897025,33962392,14934634,11876872,11876872,10440144,2305272,48897025,33962392,14934634,3060158,11874476,10451380,2306696,48897025,33962392,14934634,3057762,11876872,10440144,2305272
(주)MH에탄올,023150,2017/12,51977132,37225576,14751556,8116711,8116711,6611757,2303689,48270464,34577247,13693217,10452914,10452914,8319861,2416752,51977132,37225576,14751556,6634846,8116711,6611757,2303689,48270464,34577247,13693217,3240303,10452914,8319861,2416752
(주)MH에탄올,023150,2018/12,72795863,53524709,19271154,1228204,1228204,-9905435,2127993,46943080,34331318,12611762,9028515,9028515,8252180,1698809,72795863,53524709,19271154,18042950,1228204,-9905435,2127993,46943080,34331318,12611762,3583247,9028515,8252180,1698809
(주)MH에탄올,023150,2019/12,80879342,54219181,26660161,7829103,7829103,-5455052,2096991,46992295,35415661,11576634,7828586,7828586,-3444064,1560871,80879342,54219181,26660161,18831058,7829103,-5455052,2096991,46992295,35415661,11576634,3748048,7828586,-3444064,1560871
(주)MH에탄올,023150,2020/12,94645239,59823958,34821281,15781923,15781923,5062468,1259646,51277355,38908939,12368416,8238755,8238755,2675212,1518826,94645239,59823958,34821281,19039358,15781923,5062468,1259646,51277355,38908939,12368416,4129662,8238755,2675212,1518826
