회사명,거래소코드,회계년도,[U01160000]자본(*)(천원),[U01167200]      *당기순이익(천원),[U01160000]자본(*)(연결)(천원),[U01167200]         *당기순이익(연결)(천원),[U01A600000000]자본(*)(IFRS)(천원),[U01B840000000]당기순이익(손실)(IFRS)(천원),[U01A600000000]자본(*)(IFRS연결)(천원),[U01B840000000]당기순이익(손실)(IFRS연결)(천원)
(주)CMG제약,58820,2012/12,31602540.0,-6892739.0,31590685.0,-6660149.0,31602540.0,-6892739.0,31590685.0,-6660149.0
(주)CMG제약,58820,2013/12,49048213.0,335258.0,48997281.0,296181.0,49048213.0,335258.0,48997281.0,296181.0
(주)CMG제약,58820,2014/12,49067039.0,171502.0,49002644.0,158039.0,49067039.0,171502.0,49002644.0,158039.0
(주)CMG제약,58820,2015/12,46872705.0,-3648668.0,46806888.0,-3650091.0,46872705.0,-3648668.0,46806888.0,-3650091.0
(주)CMG제약,58820,2016/12,101107635.0,1693463.0,101107635.0,1727895.0,101107635.0,1693463.0,101107635.0,1727895.0
(주)CMG제약,58820,2017/12,97944019.0,2834901.0,97944019.0,2834901.0,97944019.0,2834901.0,97944019.0,2834901.0
(주)CMG제약,58820,2018/12,103981846.0,6065026.0,103981846.0,6065026.0,103981846.0,6065026.0,103981846.0,6065026.0
(주)CMG제약,58820,2019/12,180158283.0,3051177.0,180158283.0,3051177.0,180158283.0,3051177.0,180158283.0,3051177.0
(주)CMG제약,58820,2020/12,181131004.0,214996.0,,,181131004.0,214996.0,,
(주)CMG제약,58820,2021/12,184702494.0,3165485.0,,,184702494.0,3165485.0,,
(주)CMG제약,58820,2022/12,184953015.0,-388140.0,,,184953015.0,-388140.0,,
(주)ES큐브,50120,2012/12,39881477.0,516857.0,39859681.0,114643.0,39881477.0,516857.0,39859681.0,-359216.0
(주)ES큐브,50120,2013/12,43712820.0,-14749080.0,42372440.0,-16368231.0,43712820.0,-14749080.0,42372440.0,-16455910.0
(주)ES큐브,50120,2014/12,41226335.0,-2412385.0,49628091.0,479002.0,41226335.0,-2412385.0,49628091.0,-615409.0
(주)ES큐브,50120,2015/12,44872641.0,3610344.0,49654460.0,657615.0,44872641.0,3610344.0,49654460.0,-2307159.0
(주)ES큐브,50120,2016/12,69832373.0,17469014.0,71696122.0,21745579.0,69832373.0,17469014.0,71696122.0,21541047.0
(주)ES큐브,50120,2017/12,71398467.0,1218923.0,72816880.0,1737925.0,71398467.0,1218923.0,72816880.0,1737925.0
(주)ES큐브,50120,2018/12,66518631.0,-3836071.0,70748607.0,-3913018.0,66518631.0,-3836071.0,70748607.0,-6121462.0
(주)ES큐브,50120,2019/12,53986331.0,-12738710.0,74038512.0,-13463346.0,53986331.0,-12738710.0,74038512.0,-13767748.0
(주)ES큐브,50120,2020/12,72949614.0,-29081429.0,69497819.0,-24585317.0,72949614.0,-29081429.0,69497819.0,-25292140.0
(주)ES큐브,50120,2021/12,65297621.0,5694998.0,115855194.0,8969523.0,65297621.0,5694998.0,115855194.0,5375801.0
(주)ES큐브,50120,2022/12,71077621.0,5705382.0,110399253.0,25689042.0,71077621.0,5705382.0,110399253.0,24682689.0
(주)MH에탄올,23150,2012/12,58712944.0,2571700.0,39678259.0,411147.0,58712944.0,2571700.0,39678259.0,287369.0
(주)MH에탄올,23150,2013/12,47119925.0,-11627211.0,45885523.0,7155156.0,47119925.0,-11627211.0,45885523.0,7028234.0
(주)MH에탄올,23150,2014/12,52507884.0,4618332.0,52788681.0,-187519.0,52507884.0,4618332.0,52788681.0,-203193.0
(주)MH에탄올,23150,2015/12,57569789.0,7744832.0,57884347.0,7778593.0,57569789.0,7744832.0,57884347.0,7778593.0
(주)MH에탄올,23150,2016/12,63257513.0,8134873.0,63581883.0,8144684.0,63257513.0,8134873.0,63581883.0,8144684.0
(주)MH에탄올,23150,2017/12,64698932.0,5903108.0,106837344.0,6747166.0,64698932.0,5903108.0,106837344.0,4308068.0
(주)MH에탄올,23150,2018/12,68471529.0,6553371.0,91585473.0,-595827.0,68471529.0,6553371.0,91585473.0,-12033428.0
(주)MH에탄올,23150,2019/12,59477642.0,-5004935.0,79389077.0,-525104.0,59477642.0,-5004935.0,79389077.0,-7552043.0
(주)MH에탄올,23150,2020/12,57609425.0,1156387.0,80425495.0,6825562.0,57609425.0,1156387.0,80425495.0,3802823.0
(주)MH에탄올,23150,2021/12,58057496.0,4938622.0,84703339.0,5910724.0,58057496.0,4938622.0,84703339.0,8688865.0
(주)MH에탄올,23150,2022/12,62445745.0,5685051.0,95397727.0,4985210.0,62445745.0,5685051.0,95397727.0,11905847.0
(주)가온칩스,399720,2018/12,4742174.0,2005794.0,,,,,,
(주)가온칩스,399720,2019/12,8157196.0,3415022.0,,,,,,
(주)가온칩스,399720,2020/12,10874663.0,1851742.0,,,10874663.0,1851742.0,,
