,회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(순금융비용),[U01250010]   이자비용(천원),[U01230000]영업이익(손실)(천원)
0,(주)CMG제약,58820,2012/12,-7.45,-16.25,542880.0,-4045140.0
1,(주)CMG제약,58820,2013/12,0.73,2.07,1133753.0,822547.0
2,(주)CMG제약,58820,2014/12,3.63,999999999.0,122840.0,446018.0
3,(주)CMG제약,58820,2015/12,-32.2,999999999.0,79830.0,-2570878.0
4,(주)CMG제약,58820,2016/12,999999999.0,999999999.0,0.0,1730753.0
5,(주)CMG제약,58820,2017/12,999999999.0,999999999.0,0.0,1558607.0
6,(주)CMG제약,58820,2018/12,999999999.0,999999999.0,0.0,2567820.0
7,(주)CMG제약,58820,2019/12,303.0,999999999.0,8593.0,2603774.0
8,(주)CMG제약,58820,2020/12,79.74,999999999.0,22853.0,1822365.0
9,(주)CMG제약,58820,2021/12,80.23,999999999.0,20695.0,1660476.0
10,(주)CMG제약,58820,2022/12,195.16,999999999.0,15277.0,2981396.0
11,(주)ES큐브,50120,2012/12,20.03,999999999.0,32239.0,645839.0
12,(주)ES큐브,50120,2013/12,9.51,999999999.0,22822.0,217136.0
13,(주)ES큐브,50120,2014/12,999999999.0,999999999.0,0.0,325909.0
14,(주)ES큐브,50120,2015/12,999999999.0,999999999.0,0.0,2370570.0
15,(주)ES큐브,50120,2016/12,11.58,999999999.0,203736.0,2359527.0
16,(주)ES큐브,50120,2017/12,2.76,4.67,785009.0,2170102.0
17,(주)ES큐브,50120,2018/12,0.47,-4.3,1482191.0,691469.0
18,(주)ES큐브,50120,2019/12,0.17,-3.38,3540387.0,587700.0
19,(주)ES큐브,50120,2020/12,0.45,-8.93,3206852.0,1452732.0
20,(주)ES큐브,50120,2021/12,4.39,13.22,533306.0,2340435.0
21,(주)ES큐브,50120,2022/12,34.12,71.43,146656.0,5003596.0
22,(주)MH에탄올,23150,2012/12,1.64,2.18,3983343.0,6518758.0
23,(주)MH에탄올,23150,2013/12,3.44,-6.03,2808886.0,9650241.0
24,(주)MH에탄올,23150,2014/12,5.62,4.43,1555697.0,8746818.0
25,(주)MH에탄올,23150,2015/12,12.7,16.96,873794.0,11094172.0
26,(주)MH에탄올,23150,2016/12,29.42,107.9,403741.0,11876872.0
27,(주)MH에탄올,23150,2017/12,33.29,999999999.0,313976.0,10452914.0
28,(주)MH에탄올,23150,2018/12,8.73,14.16,1033740.0,9028515.0
29,(주)MH에탄올,23150,2019/12,7.59,-3.72,1031751.0,7828586.0
30,(주)MH에탄올,23150,2020/12,9.71,5.68,848071.0,8238755.0
31,(주)MH에탄올,23150,2021/12,5.34,12.99,688541.0,3675428.0
32,(주)MH에탄올,23150,2022/12,0.48,6.91,1226940.0,585536.0
33,(주)가온칩스,399720,2022/12,76.66,999999999.0,51587.0,3954533.0
34,(주)강스템바이오텍,217730,2015/12,-5.41,-5.97,947886.0,-5125201.0
35,(주)강스템바이오텍,217730,2016/12,-18.89,-52.6,482568.0,-9117541.0
36,(주)강스템바이오텍,217730,2017/12,-7.93,-7.52,1403456.0,-11132505.0
37,(주)강스템바이오텍,217730,2018/12,-11.95,-17.95,881052.0,-10525345.0
38,(주)강스템바이오텍,217730,2019/12,-23.34,-56.95,831730.0,-19411148.0
39,(주)강스템바이오텍,217730,2020/12,-45.05,999999999.0,371667.0,-16744948.0
40,(주)강스템바이오텍,217730,2021/12,-58.88,999999999.0,369354.0,-21748206.0
41,(주)강스템바이오텍,217730,2022/12,-60.35,999999999.0,348189.0,-21014565.0
42,(주)강원에너지,114190,2012/12,58.37,999999999.0,198929.0,11611165.0
43,(주)강원에너지,114190,2013/12,18.11,999999999.0,178578.0,3234230.0
44,(주)강원에너지,114190,2014/12,39.01,999999999.0,41685.0,1626297.0
45,(주)강원에너지,114190,2015/12,762.26,999999999.0,1152.0,878120.0
46,(주)강원에너지,114190,2016/12,-166.17,999999999.0,5428.0,-901973.0
47,(주)강원에너지,114190,2017/12,-89.84,999999999.0,60340.0,-5421114.0
48,(주)강원에너지,114190,2018/12,0.35,3.46,1521486.0,532248.0
49,(주)강원에너지,114190,2019/12,-9.33,-22.53,1839180.0,-17150531.0
50,(주)강원에너지,114190,2020/12,-26.41,-5320.03,339931.0,-8978062.0
51,(주)강원에너지,114190,2021/12,8.35,31.71,229393.0,1916422.0
52,(주)강원에너지,114190,2022/12,19.21,16.39,156352.0,3003141.0
53,(주)고려시멘트,198440,2014/12,,,,
54,(주)고려시멘트,198440,2015/12,,,,
55,(주)고려시멘트,198440,2016/12,,,,
56,(주)고려시멘트,198440,2017/12,16.79,999999999.0,179709.0,3017621.0
57,(주)고려시멘트,198440,2018/12,9.2,999999999.0,416976.0,3837563.0
58,(주)고려시멘트,198440,2019/12,-1.08,999999999.0,425258.0,-459627.0
59,(주)고려시멘트,198440,2020/12,41.09,999999999.0,104184.0,4280746.0
60,(주)고려시멘트,198440,2021/12,84.7,999999999.0,43657.0,3697680.0
61,(주)고려시멘트,198440,2022/12,-139.01,999999999.0,90863.0,-12631267.0
62,(주)고바이오랩,348150,2020/12,-14.42,-294.74,708106.0,-10213856.0
63,(주)고바이오랩,348150,2021/12,-72.4,999999999.0,152591.0,-11047248.0
64,(주)고바이오랩,348150,2022/12,-4.93,999999999.0,1188075.0,-5862676.0
65,(주)골드앤에스,35290,2012/12,-1.95,-7.81,1211151.0,-2363142.0
66,(주)골드앤에스,35290,2013/12,-4.6,-15.69,1083779.0,-4982102.0
67,(주)골드앤에스,35290,2014/12,-1.73,-5.25,1343057.0,-2318778.0
68,(주)골드앤에스,35290,2015/12,1.89,-17.09,563197.0,1062021.0
69,(주)골드앤에스,35290,2016/12,2.5,5.78,155685.0,389642.0
70,(주)골드앤에스,35290,2017/12,-27.46,-124.7,134375.0,-3690116.0
71,(주)골드앤에스,35290,2018/12,-4.46,-4.11,1022896.0,-4559128.0
72,(주)골드앤에스,35290,2019/12,-1.46,-4.27,4887799.0,-7142117.0
73,(주)골드앤에스,35290,2020/12,-0.98,1.59,2401604.0,-2343112.0
74,(주)골드앤에스,35290,2021/12,3.57,5.03,379859.0,1355619.0
75,(주)골드앤에스,35290,2022/12,-2.81,-19.51,406991.0,-1144160.0
76,(주)공구우먼,366030,2022/12,927.12,999999999.0,13657.0,12661736.0
77,(주)광명전기,17040,2012/12,4.22,-2.07,844195.0,3566142.0
78,(주)광명전기,17040,2013/12,11.17,18.58,755609.0,8443372.0
79,(주)광명전기,17040,2014/12,17.71,61.04,579924.0,10270079.0
80,(주)광명전기,17040,2015/12,9.32,82.04,411895.0,3839499.0
81,(주)광명전기,17040,2016/12,11.76,530.05,324820.0,3818917.0
82,(주)광명전기,17040,2017/12,14.7,-37.71,255442.0,3754872.0
83,(주)광명전기,17040,2018/12,9.92,28.34,299535.0,2970976.0
84,(주)광명전기,17040,2019/12,22.79,999999999.0,320831.0,7313078.0
85,(주)광명전기,17040,2020/12,32.41,999999999.0,145964.0,4730459.0
86,(주)광명전기,17040,2021/12,13.7,999999999.0,169688.0,2324391.0
87,(주)광명전기,17040,2022/12,19.56,999999999.0,221864.0,4340165.0
88,(주)광무,29480,2012/12,-2.61,-14.91,2148753.0,-5614534.0
89,(주)광무,29480,2013/12,-4.26,-27.3,1617921.0,-6899306.0
90,(주)광무,29480,2014/12,1.12,0.19,1269418.0,1422352.0
91,(주)광무,29480,2015/12,-0.8,-3.82,772292.0,-620363.0
92,(주)광무,29480,2016/12,1.93,1.16,670738.0,1294011.0
93,(주)광무,29480,2017/12,0.32,-5.31,623290.0,199525.0
94,(주)광무,29480,2018/12,-1.6,-14.43,418814.0,-671966.0
95,(주)광무,29480,2019/12,-2.36,-7.63,958464.0,-2260048.0
