,회사명,거래소코드,회계년도,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01440000]투자활동으로 인한 현금흐름(*)(천원),[U01450000]재무활동으로 인한 현금흐름(*)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01440000]투자활동으로 인한 현금흐름(*)(연결)(천원),[U01450000]재무활동으로 인한 현금흐름(*)(연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(IFRS)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(비교)(IFRS)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(비교)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(비교)(IFRS연결)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(비교)(IFRS연결)(천원)
0,(주)가이아코퍼레이션,296520,2017/12,-4792134.0,-733129.0,5240026.0,,,,-4792134.0,-733129.0,5240026.0,-4792134.0,-733129.0,5240026.0,,,,,,
1,(주)가이아코퍼레이션,296520,2018/12,-254065.0,-893220.0,1120333.0,,,,-254065.0,-893220.0,1120333.0,-254065.0,-893220.0,1120333.0,,,,,,
2,(주)가이아코퍼레이션,296520,2019/12,-587682.0,-1364574.0,3259421.0,,,,-587682.0,-1364574.0,3259421.0,-587682.0,-1128141.0,3022987.0,,,,,,
3,(주)가이아코퍼레이션,296520,2020/12,2608206.0,-459868.0,-2860544.0,,,,2608206.0,-459868.0,-2860544.0,2608206.0,-459868.0,-2860544.0,,,,2660862.0,-428367.0,-3044678.0
4,(주)가이아코퍼레이션,296520,2021/12,2186288.0,-353640.0,-2063787.0,2456518.0,-533652.0,-2160782.0,2186288.0,-353640.0,-2063787.0,2186288.0,-353640.0,-2063787.0,2456518.0,-533652.0,-2160782.0,2456518.0,-533652.0,-2160782.0
5,(주)가이아코퍼레이션,296520,2022/12,892761.0,-1698088.0,321217.0,1192379.0,-1840835.0,208179.0,892761.0,-1698088.0,321217.0,,,,1192379.0,-1840835.0,208179.0,,,
6,(주)굿센,243870,2013/12,1541500.0,-1334498.0,12059.0,,,,,,,,,,,,,,,
7,(주)굿센,243870,2014/12,-271254.0,-314156.0,-232622.0,,,,,,,,,,,,,,,
8,(주)굿센,243870,2015/12,173245.0,7997172.0,-343260.0,,,,,,,197931.0,5983507.0,-343260.0,,,,,,
9,(주)굿센,243870,2016/12,-5053863.0,4656642.0,-94714.0,,,,-5053863.0,4656642.0,-94714.0,-4859570.0,4462349.0,-94714.0,,,,,,
10,(주)굿센,243870,2017/12,2392799.0,-992183.0,0.0,,,,2392799.0,-992183.0,0.0,2392799.0,-992183.0,0.0,,,,,,
11,(주)굿센,243870,2018/12,-2317675.0,-134249.0,-5306718.0,,,,-2317675.0,-134249.0,-5306718.0,-2317675.0,-134249.0,-5306718.0,,,,,,
12,(주)굿센,243870,2019/12,-820825.0,218860.0,-1391520.0,,,,-820825.0,218860.0,-1391520.0,-820825.0,218860.0,-1391520.0,,,,,,
13,(주)굿센,243870,2020/12,1852104.0,341516.0,-1361211.0,,,,1852104.0,341516.0,-1361211.0,274727.0,-6049177.0,6020821.0,,,,,,
14,(주)굿센,243870,2021/12,-11085450.0,5026591.0,-1660981.0,,,,-11085450.0,5026591.0,-1660981.0,-11085450.0,5026591.0,-1660981.0,,,,,,
15,(주)굿센,243870,2022/12,4266299.0,-8514238.0,1028417.0,,,,4266299.0,-8514238.0,1028417.0,,,,,,,,,
16,(주)나눔테크,244880,2014/12,635613.0,262835.0,-702812.0,,,,,,,,,,,,,,,
17,(주)나눔테크,244880,2015/12,237199.0,479890.0,-309668.0,,,,,,,,,,,,,,,
18,(주)나눔테크,244880,2016/12,961484.0,-494150.0,-804866.0,,,,,,,,,,,,,,,
19,(주)나눔테크,244880,2017/12,2506606.0,-1294628.0,-635766.0,,,,,,,,,,,,,,,
20,(주)나눔테크,244880,2018/12,2296635.0,-576224.0,-1379653.0,,,,,,,,,,,,,,,
21,(주)나눔테크,244880,2019/12,3371204.0,-2886231.0,-290000.0,,,,,,,,,,,,,,,
22,(주)나눔테크,244880,2020/12,1669748.0,-1882130.0,-300000.0,,,,,,,,,,,,,,,
23,(주)나눔테크,244880,2021/12,1846238.0,-1323859.0,-200000.0,,,,,,,,,,,,,,,
24,(주)나눔테크,244880,2022/12,2252183.0,-2855532.0,600000.0,,,,,,,,,,,,,,,
25,(주)나라소프트,288490,2016/12,-939879.0,-747978.0,1692594.0,,,,,,,,,,,,,,,
26,(주)나라소프트,288490,2017/12,-265254.0,107594.0,143692.0,,,,,,,,,,,,,,,
27,(주)나라소프트,288490,2018/12,755785.0,-324919.0,-385534.0,,,,,,,,,,,,,,,
28,(주)나라소프트,288490,2019/12,-1204428.0,-4580589.0,5903158.0,,,,,,,-651426.0,-4771906.0,5585565.0,,,,,,
29,(주)나라소프트,288490,2020/12,-1297725.0,175202.0,914503.0,,,,-1297725.0,175202.0,914503.0,-1297725.0,175202.0,914503.0,,,,,,
30,(주)나라소프트,288490,2021/12,-1001517.0,-2990032.0,4040409.0,,,,-1001517.0,-2990032.0,4040409.0,-1001517.0,-2990032.0,4040409.0,,,,,,
31,(주)나라소프트,288490,2022/12,235225.0,-80272.0,-193174.0,,,,235225.0,-80272.0,-193174.0,,,,,,,,,
32,(주)나우코스,257990,2015/12,,,,,,,,,,,,,,,,,,
33,(주)나우코스,257990,2016/12,,,,,,,,,,,,,,,,,,
34,(주)나우코스,257990,2017/12,,,,,,,,,,,,,,,,,,
35,(주)나우코스,257990,2018/12,,,,,,,,,,,,,,,,,,
36,(주)나우코스,257990,2019/12,,,,,,,,,,3637933.0,-765473.0,-1518142.0,,,,3576615.0,-772113.0,-1517672.0
37,(주)나우코스,257990,2020/12,676654.0,-4863864.0,6409650.0,992229.0,-4718735.0,6380065.0,676654.0,-4863864.0,6409650.0,676654.0,-4863864.0,6409650.0,992229.0,-4718735.0,6380065.0,992229.0,-4718735.0,6380065.0
38,(주)나우코스,257990,2021/12,133196.0,-522701.0,-2517790.0,20173.0,-493675.0,-2577159.0,133196.0,-522701.0,-2517790.0,133196.0,-522701.0,-2517790.0,20173.0,-493675.0,-2577159.0,20173.0,-493675.0,-2577159.0
39,(주)나우코스,257990,2022/12,1281114.0,-3256201.0,8228404.0,1542124.0,-3335888.0,8159134.0,1281114.0,-3256201.0,8228404.0,,,,1542124.0,-3335888.0,8159134.0,,,
40,(주)노드메이슨,317860,2018/12,-1411577.0,-1002461.0,2524328.0,,,,-1411577.0,-1002461.0,2524328.0,-1411577.0,-1002461.0,2524328.0,,,,,,
41,(주)노드메이슨,317860,2019/12,2029855.0,-596317.0,-271778.0,,,,2029855.0,-596317.0,-271778.0,2029855.0,-596317.0,-271778.0,,,,,,
42,(주)노드메이슨,317860,2020/12,910288.0,-1087546.0,-388755.0,,,,910288.0,-1087546.0,-388755.0,911217.0,-1087546.0,-388755.0,,,,,,
43,(주)노드메이슨,317860,2021/12,939957.0,-1594191.0,957050.0,,,,939957.0,-1594191.0,957050.0,939957.0,-1594191.0,957050.0,,,,939957.0,-1594191.0,957050.0
44,(주)노드메이슨,317860,2022/12,-834284.0,-11183338.0,10996973.0,-1724137.0,-9735042.0,10485274.0,-834284.0,-11183338.0,10996973.0,,,,-1724137.0,-9735042.0,10485274.0,,,
45,(주)노보믹스,283100,2018/12,-3501702.0,-13256996.0,14526235.0,-3519282.0,-12308721.0,14526235.0,-3501702.0,-13256996.0,14526235.0,-3501702.0,-13256996.0,14526235.0,-3519282.0,-12308721.0,14526235.0,-3519282.0,-12308721.0,14526235.0
46,(주)노보믹스,283100,2019/12,-4013296.0,2249044.0,-215465.0,-4060508.0,2228017.0,-215465.0,-4013296.0,2249044.0,-215465.0,-4013296.0,2249044.0,-215465.0,-4060508.0,2228017.0,-215465.0,-4060508.0,2228017.0,-215465.0
47,(주)노보믹스,283100,2020/12,-4849317.0,-141936.0,6202496.0,-4912967.0,-141936.0,6202496.0,-4849317.0,-141936.0,6202496.0,-4849317.0,-141936.0,6202496.0,-4912967.0,-141936.0,6202496.0,-4912967.0,-141936.0,6202496.0
