회사명,거래소코드,회계년도,[U01210000]매출액(영업수익)(*)(천원),[U01110000]자산(*)(천원),[U01140000]부채(*)(천원),[U01160000]자본(*)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01110000]자산(*)(연결)(천원),[U01140000]부채(*)(연결)(천원),[U01160000]자본(*)(연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01A100000000]자산(*)(IFRS)(천원),[U01A800000000]부채(*)(IFRS)(천원),[U01A600000000]자본(*)(IFRS)(천원),[U01B100000000]매출액(수익)(*)(비교)(IFRS)(천원),[U01A100000000]자산(*)(비교)(IFRS)(천원),[U01A800000000]부채(*)(비교)(IFRS)(천원),[U01A600000000]자본(*)(비교)(IFRS)(천원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01A100000000]자산(*)(IFRS연결)(천원),[U01A800000000]부채(*)(IFRS연결)(천원),[U01A600000000]자본(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(비교)(IFRS연결)(천원),[U01A100000000]자산(*)(비교)(IFRS연결)(천원),[U01A800000000]부채(*)(비교)(IFRS연결)(천원),[U01A600000000]자본(*)(비교)(IFRS연결)(천원),자기자본순이익률,자기자본순이익률(IFRS),자기자본순이익률(IFRS연결),매출채권회전률,매출채권회전률(IFRS),매출채권회전률(IFRS연결),종업원수증가율,종업원수증가율(IFRS),종업원수증가율(IFRS연결),설립일,상장일
(주)가이아코퍼레이션,296520,2017/12,32290724.0,18922965.0,12195976.0,6726989.0,,,,,32290724.0,18922965.0,12195976.0,6726989.0,32290724.0,18922965.0,12195976.0,6726989.0,,,,,,,,,,,,,,,,,,2010/08/22,2023/06/20
(주)가이아코퍼레이션,296520,2018/12,32601806.0,19003949.0,14918170.0,4085779.0,,,,,32601806.0,19003949.0,14918170.0,4085779.0,32601806.0,19003949.0,14918170.0,4085779.0,,,,,,,,,-64.64,-64.64,,5.71,5.71,,0.0,0.0,,2010/08/22,2023/06/20
(주)가이아코퍼레이션,296520,2019/12,43168760.0,16971385.0,20040572.0,-3069187.0,,,,,43168760.0,16971385.0,20040572.0,-3069187.0,43168760.0,16971385.0,20040572.0,-3069187.0,,,,,,,,,0.0,0.0,,8.58,8.58,,0.0,0.0,,2010/08/22,2023/06/20
(주)가이아코퍼레이션,296520,2020/12,32823843.0,16668429.0,19614780.0,-2946351.0,,,,,32823843.0,16668429.0,19614780.0,-2946351.0,32823843.0,16668429.0,19614780.0,-2946351.0,,,,,33355485.0,16658291.0,19983065.0,-3324774.0,0.0,0.0,,7.29,7.29,,0.0,0.0,,2010/08/22,2023/06/20
(주)가이아코퍼레이션,296520,2021/12,31864093.0,13047925.0,13993215.0,-945290.0,32011281.0,12712709.0,14183765.0,-1471056.0,31864093.0,13047925.0,13993215.0,-945290.0,31864093.0,13047925.0,13993215.0,-945290.0,32011281.0,12712709.0,14183765.0,-1471056.0,32011281.0,12712709.0,14183765.0,-1471056.0,0.0,0.0,0.0,7.3,7.3,9.57,0.0,0.0,,2010/08/22,2023/06/20
(주)가이아코퍼레이션,296520,2022/12,37651492.0,16032988.0,8679127.0,7353861.0,37747914.0,15455148.0,8798126.0,6657022.0,37651492.0,16032988.0,8679127.0,7353861.0,,,,,37747914.0,15455148.0,8798126.0,6657022.0,,,,,0.0,0.0,26.56,9.14,9.14,10.52,0.0,0.0,,2010/08/22,2023/06/20
(주)굿센,243870,2013/12,12776474.0,19484954.0,2086266.0,17398688.0,,,,,,,,,,,,,,,,,,,,,9.68,,,9.23,,,0.0,,,2004/09/30,2016/10/31
(주)굿센,243870,2014/12,8528816.0,19114325.0,1438824.0,17675501.0,,,,,,,,,,,,,,,,,,,,,1.91,,,5.72,,,0.0,,,2004/09/30,2016/10/31
(주)굿센,243870,2015/12,7390747.0,18554572.0,725427.0,17829145.0,,,,,,,,,7360039.0,18735757.0,919044.0,17816712.0,,,,,,,,,1.55,,,5.46,,,0.0,,,2004/09/30,2016/10/31
(주)굿센,243870,2016/12,28614455.0,25215364.0,4347340.0,20868024.0,,,,,28614455.0,25215364.0,4347340.0,20868024.0,28614455.0,25215364.0,4347340.0,20868024.0,,,,,,,,,6.04,5.6,,7.1,4.19,,0.0,0.0,,2004/09/30,2016/10/31
